"school_code","district_code","district","school","subject","gender","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Female","20","*","*","*","*","*","*","*","*","*","*","541"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Male","10","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Female","20","0","0.0","*","*","*","*","*","*","*","*","543"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Male","10","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Female","26","*","*","*","*","*","*","*","*","*","*","531"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Male","18","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Female","26","*","*","*","*","*","*","0","0.0","*","*","467"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Male","18","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Female","63","*","*","20","31.7","31","49.2","*","*","*","*","486"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Male","71","23","32.4","*","*","31","43.7","*","*","*","*","471"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Female","63","23","36.5","25","39.7","*","*","*","*","15","23.8","455"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Male","71","32","45.1","24","33.8","15","21.1","0","0.0","15","21.1","445"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","Female","131","*","*","*","*","58","44.3","57","43.5","115","87.8","600"
"0046111","0040011","Avon School District","Avon High School","ELA","Male","110","*","*","*","*","44","40.0","59","53.6","103","93.6","617"
"0046111","0040011","Avon School District","Avon High School","Math","Female","131","6","4.6","29","22.1","58","44.3","38","29.0","96","73.3","591"
"0046111","0040011","Avon School District","Avon High School","Math","Male","111","6","5.4","15","13.5","42","37.8","48","43.2","90","81.1","619"
"0076111","0070011","Berlin School District","Berlin High School","ELA","Female","117","*","*","20","17.1","73","62.4","*","*","*","*","546"
"0076111","0070011","Berlin School District","Berlin High School","ELA","Male","112","*","*","18","16.1","73","65.2","*","*","*","*","518"
"0076111","0070011","Berlin School District","Berlin High School","Math","Female","117","13","11.1","41","35.0","50","42.7","13","11.1","63","53.8","534"
"0076111","0070011","Berlin School District","Berlin High School","Math","Male","112","17","15.2","45","40.2","42","37.5","8","7.1","50","44.6","516"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Female","104","6","5.8","12","11.5","60","57.7","26","25.0","86","82.7","558"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Male","90","13","14.4","10","11.1","58","64.4","9","10.0","67","74.4","525"
"0096111","0090011","Bethel School District","Bethel High School","Math","Female","104","11","10.6","37","35.6","45","43.3","11","10.6","56","53.8","531"
"0096111","0090011","Bethel School District","Bethel High School","Math","Male","90","15","16.7","20","22.2","46","51.1","9","10.0","55","61.1","530"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","Female","68","19","27.9","*","*","29","42.6","*","*","*","*","470"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","Male","69","22","31.9","*","*","29","42.0","*","*","*","*","467"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","Female","68","19","27.9","38","55.9","11","16.2","0","0.0","11","16.2","459"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","Male","69","21","30.4","38","55.1","*","*","*","*","10","14.5","457"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Female","14","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Male","14","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Female","14","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Male","14","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","Female","39","*","*","*","*","26","66.7","9","23.1","35","89.7","572"
"0126111","0120011","Bolton School District","Bolton High School","ELA","Male","28","*","*","*","*","14","50.0","6","21.4","20","71.4","533"
"0126111","0120011","Bolton School District","Bolton High School","Math","Female","39","*","*","13","33.3","*","*","*","*","*","*","531"
"0126111","0120011","Bolton School District","Bolton High School","Math","Male","28","*","*","10","35.7","*","*","*","*","*","*","494"
"0146111","0140011","Branford School District","Branford High School","ELA","Female","100","7","7.0","21","21.0","53","53.0","19","19.0","72","72.0","533"
"0146111","0140011","Branford School District","Branford High School","ELA","Male","132","26","19.7","27","20.5","54","40.9","25","18.9","79","59.8","518"
"0146111","0140011","Branford School District","Branford High School","Math","Female","100","15","15.0","51","51.0","25","25.0","9","9.0","34","34.0","503"
"0146111","0140011","Branford School District","Branford High School","Math","Male","132","32","24.2","50","37.9","32","24.2","18","13.6","50","37.9","503"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","Female","17","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","Male","17","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Female","18","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Male","17","*","*","*","*","*","*","*","*","*","*","*"
