school_code,district_code,school,type,district,street,city,state,zip,phone,fax,website,education_program,program_type,inter_district_magnet,pre_kindergarten,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12
150317,None,APT Foundation,Adult Education Providers,,425 Grand Street,Bridgeport,CT,06610,203-337-9943,203-337-4394,,,,,,,,,,,,,,,,,,
800182,None,"ARC of Meriden-Wallingford, Inc.",Nonpublic Elementary and Secondary Schools,,224 Cook Avenue,Meriden,CT,06451,203-238-8362,,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
570182,None,Abilis-Greenwich,Nonpublic Elementary and Secondary Schools,,50 Glenville Street,Greenwich,CT,06831,203-531-1880 x154,203-531-9367,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1350721,None,Abilis-Stamford,Nonpublic Elementary and Secondary Schools,,1150 Summer Street,Stamford,CT,06905,203-324-1880,203-324-4390,,Standard Non-Public,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90182,None,Ability Beyond,Nonpublic Elementary and Secondary Schools,,4 Berkshire Road,Bethel,CT,06801,203-826-3103,,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8250121,None,Academy at Swift River,Nonpublic Elementary and Secondary Schools,,151 South St,Cummington,MA,01026,800-258-1770,,,Standard Non-Public,,,,,,,,,,,,,,,,
846121,None,"Academy of Our Lady of Mercy, Lauralton Hall",Nonpublic Elementary and Secondary Schools,,200 High Street,Milford,CT,06460,203-877-2786,203-876-9760,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
951021,None,Academy of St. Therese,Nonpublic Elementary and Secondary Schools,,7 Hurlbutt Road,New London,CT,06230,860-437-6490,,,Standard Non-Public,,,,,,,,,,,,,,,,
1336121,None,Academy of the Holy Family,Nonpublic Elementary and Secondary Schools,,54 Main Street,Baltic,CT,06330,860-822-9272,860-822-1318,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1670421,None,"Acord, Inc. - Woodbridge",Nonpublic Elementary and Secondary Schools,,214 Amity Road,Woodbridge,CT,06492,203-269-3599,203-269-1980,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
