"school_code","district_code","district","school","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","8.1","3.4","6.1","10.6","10.1"
"2795113","2790013","Amistad Academy District","Amistad Academy","2.6","2.6","3.5","5.3","5.3"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","11.8","19.2","15.3","21.6","15.7"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","14.9","13.8","17.0","14.4"
"0020311","0020011","Ansonia School District","Mead School","12.9","12.4","*","14.5","15.5"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","","","","80.6","75.8"
"0020811","0020011","Ansonia School District","Prendergast School","10.3","11.0","8.2","9.4","9.0"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","17.6","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","39.0","39.9","41.2","38.3","34.2"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","10.8","11.6","13.5","13.4","10.2"
"2449514","2440014","Area Cooperative Educational Services","Village School","29.1","31.4","33.8","32.9","23.5"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","37.7","40.4","45.2","44.4","41.6"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","69.6","72.3","71.3","72.0","74.0"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","25.5","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","7.5","8.3","11.4","8.9","8.4"
"0030111","0030011","Ashford School District","Ashford School","9.1","*","*","6.9","5.2"
"0046111","0040011","Avon School District","Avon High School","2.9","4.2","3.7","4.7","5.2"
"0045111","0040011","Avon School District","Avon Middle School","5.9","4.9","5.1","*","3.3"
"0040411","0040011","Avon School District","Pine Grove School","5.4","5.8","5.0","0.0","3.7"
"0040311","0040011","Avon School District","Roaring Brook School","3.6","*","5.9","*","6.4"
"0040511","0040011","Avon School District","Thompson Brook School","5.1","6.2","4.9","4.5","3.1"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","3.2","4.0","3.5","2.0","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","","","","","*"
"0076111","0070011","Berlin School District","Berlin High School","7.8","7.0","9.4","13.3","6.2"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","7.8","8.2","3.5","3.0","2.7"
"0070411","0070011","Berlin School District","Emma Hart Willard School","2.9","3.7","2.6","2.0","3.4"
"0070511","0070011","Berlin School District","Mary E. Griswold School","3.1","2.3","1.4","1.7","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","2.9","3.4","3.6","2.6","*"
"0080111","0080011","Bethany School District","Bethany Community School","*","*","4.9","5.0","5.2"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","6.1","5.3","3.8","5.5","4.0"
"0096111","0090011","Bethel School District","Bethel High School","7.7","8.6","9.9","3.9","9.7"
"0095111","0090011","Bethel School District","Bethel Middle School","7.4","8.4","4.4","6.3","3.8"
"0090111","0090011","Bethel School District","Frank A. Berry School","2.3","*","*","3.2","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","3.7","5.4","14.8","*","14.0"
"0116111","0110011","Bloomfield School District","Bloomfield High School","10.1","8.3","8.0","10.2","9.0"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","3.1","4.6","*","5.7","4.4"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","9.1","6.2","7.4","7.0","4.0"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","","14.0","10.7","10.6","14.4"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","7.5","","","",""
"0110611","0110011","Bloomfield School District","Laurel School","","7.2","4.3","7.0","9.6"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","","*","*","68.2","*"
"0110511","0110011","Bloomfield School District","Metacomet School","4.0","3.0","2.7","4.8","5.0"
"3480415","0110011","Bloomfield School District","SAGE","","","","","*"
"0116211","0110011","Bloomfield School District","The Big Picture High School","7.1","","","",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","6.2","10.2","22.5","15.7","11.7"
"0120111","0120011","Bolton School District","Bolton Center School","2.4","3.9","5.8","5.9","3.6"
"0126111","0120011","Bolton School District","Bolton High School","3.0","3.1","4.5","5.3","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","","","","30.4","20.2"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","8.4","7.4","*","*"
"0146111","0140011","Branford School District","Branford High School","10.1","10.9","14.4","13.7","10.7"
"0140211","0140011","Branford School District","Branford High School Horizons Program","","","","56.3","74.0"
"3480115","0140011","Branford School District","Bridgeport Detention Center","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","7.7","6.9","6.7","8.3","7.2"
"0141611","0140011","Branford School District","John B. Sliney School","4.2","5.4","4.1","3.9","4.1"
"0141511","0140011","Branford School District","Mary R. Tisko School","4.2","4.9","4.7","2.2","5.6"
"0141411","0140011","Branford School District","Mary T. Murphy School","5.2","5.8","7.0","5.9","9.5"
