"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELL","*","*","*","24.4","14.0"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Non-ELL","*","*","*","9.9","9.9"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELL","*","*","*","10.3","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Non-ELL","*","*","*","4.7","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELL","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Non-ELL","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELL","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Non-ELL","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELL","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Non-ELL","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","ELL","25.9","*","*","30.8","*"
"0020311","0020011","Ansonia School District","Mead School","Non-ELL","12.3","*","*","13.8","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELL","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Non-ELL","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","ELL","*","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Non-ELL","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Non-ELL","17.6","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELL","","","*","",""
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Non-ELL","39.0","39.9","*","38.3","34.2"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELL","*","*","25.0","11.8","23.5"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Non-ELL","*","*","12.7","13.5","9.2"
"2449514","2440014","Area Cooperative Educational Services","Village School","Non-ELL","29.1","31.4","33.8","32.9","23.5"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Non-ELL","37.7","40.4","45.2","44.4","41.6"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Non-ELL","69.6","72.3","71.3","72.0","74.0"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","ELL","","","","","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Non-ELL","25.5","19.1","18.6","16.3","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELL","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Non-ELL","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELL","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Non-ELL","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELL","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Non-ELL","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELL","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Non-ELL","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","ELL","*","*","0.0","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Non-ELL","*","*","5.2","0.0","*"
"0040311","0040011","Avon School District","Roaring Brook School","ELL","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Non-ELL","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","ELL","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Non-ELL","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELL","*","*","*","",""
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Non-ELL","*","*","*","2.0","4.3"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Non-ELL","","","","","*"
"0076111","0070011","Berlin School District","Berlin High School","ELL","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Non-ELL","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELL","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Non-ELL","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELL","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Non-ELL","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELL","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Non-ELL","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELL","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Non-ELL","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELL","*","","","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Non-ELL","*","5.6","4.9","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELL","19.4","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Non-ELL","5.0","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELL","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Non-ELL","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELL","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Non-ELL","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELL","*","*","0.0","0.0","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Non-ELL","*","*","2.2","3.4","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELL","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Non-ELL","*","*","*","*","*"
