"school_code","district_code","district","school","gender","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Female","5.3","1.9","4.6","10.1","10.7"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Male","10.4","4.7","7.5","11.1","9.4"
"2795113","2790013","Amistad Academy District","Amistad Academy","Female","1.9","1.8","2.9","6.4","5.0"
"2795113","2790013","Amistad Academy District","Amistad Academy","Male","3.3","3.3","4.2","4.3","5.7"
"0010111","0010011","Andover School District","Andover Elementary School","Female","*","*","0.0","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Male","0.0","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Female","11.8","17.4","14.1","19.2","16.8"
"0026111","0020011","Ansonia School District","Ansonia High School","Male","11.7","20.9","16.3","23.7","14.7"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Female","13.5","17.3","12.8","12.3","13.0"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Male","18.2","12.8","14.6","21.3","15.7"
"0020311","0020011","Ansonia School District","Mead School","Female","12.4","10.4","8.2","11.9","12.0"
"0020311","0020011","Ansonia School District","Mead School","Male","13.4","14.3","9.6","17.1","18.7"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Female","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Male","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Female","10.0","9.5","6.6","8.6","9.7"
"0020811","0020011","Ansonia School District","Prendergast School","Male","10.6","12.3","9.6","10.0","8.3"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Female","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Male","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Female","30.4","47.8","46.2","46.2","40.0"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Male","40.3","38.7","40.4","37.1","33.1"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Female","10.1","11.7","14.8","13.7","10.8"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Male","11.4","11.5","12.4","13.1","9.6"
"2449514","2440014","Area Cooperative Educational Services","Village School","Female","31.0","34.0","44.4","45.7","24.4"
"2449514","2440014","Area Cooperative Educational Services","Village School","Male","28.4","30.2","29.2","27.2","23.2"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Female","44.8","42.4","58.3","52.8","42.1"
