school_code,district_code,district,school,no,yes,total,year
2795113,2790013,Amistad Academy District,Amistad Academy,547,0,547,2007-08
0010111,0010011,Andover School District,Andover Elementary School,347,0,347,2007-08
0026111,0020011,Ansonia School District,Ansonia High School,751,9,760,2007-08
0025111,0020011,Ansonia School District,Ansonia Middle School,578,18,596,2007-08
0020311,0020011,Ansonia School District,Mead School,574,25,599,2007-08
0020811,0020011,Ansonia School District,Prendergast School,749,27,776,2007-08
2449014,2440014,Area Cooperative Educational Services,A. C. E. S. Special Education Town Campus Learning Center,19,0,19,2007-08
2446114,2440014,Area Cooperative Educational Services,Collaborative Alternative Magnet School,99,0,99,2007-08
2449414,2440014,Area Cooperative Educational Services,Mill Road School,*,*,176,2007-08
2445114,2440014,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,723,29,752,2007-08
2449514,2440014,Area Cooperative Educational Services,Village School,174,0,174,2007-08
2449214,2440014,Area Cooperative Educational Services,Whitney High School East,125,0,125,2007-08
2449114,2440014,Area Cooperative Educational Services,Whitney High School North,*,*,92,2007-08
2449314,2440014,Area Cooperative Educational Services,Whitney High School West,*,*,56,2007-08
2440314,2440014,Area Cooperative Educational Services,Wintergreen Interdistrict  Magnet School,*,*,605,2007-08
0030111,0030011,Ashford School District,Ashford School,*,*,500,2007-08
0046111,0040011,Avon School District,Avon High School,1029,7,1036,2007-08
0045111,0040011,Avon School District,Avon Middle School,*,*,582,2007-08
0040411,0040011,Avon School District,Pine Grove School,603,15,618,2007-08
0040311,0040011,Avon School District,Roaring Brook School,757,19,776,2007-08
0040511,0040011,Avon School District,Thompson Brook School,*,*,590,2007-08
0050111,0050011,Barkhamsted School District,Barkhamsted Elementary School,*,*,328,2007-08
0058011,0050011,Barkhamsted School District,Shared Services Integrated Preschool,30,0,30,2007-08
0076111,0070011,Berlin School District,Berlin High School,1055,8,1063,2007-08
0075111,0070011,Berlin School District,Catherine M. McGee Middle School,765,13,778,2007-08
0070411,0070011,Berlin School District,Emma Hart Willard School,547,30,577,2007-08
0070511,0070011,Berlin School District,Mary E. Griswold School,577,12,589,2007-08
0070111,0070011,Berlin School District,Richard D. Hubbard School,250,13,263,2007-08
0080111,0080011,Bethany School District,Bethany Community School,569,0,569,2007-08
0090411,0090011,Bethel School District,Anna H. Rockwell School,396,29,425,2007-08
0096111,0090011,Bethel School District,Bethel High School,1017,17,1034,2007-08
0095111,0090011,Bethel School District,Bethel Middle School,720,23,743,2007-08
0090111,0090011,Bethel School District,Frank A. Berry School,460,28,488,2007-08
0090511,0090011,Bethel School District,Ralph M. T. Johnson School,433,21,454,2007-08
0116111,0110011,Bloomfield School District,Bloomfield High School,625,0,625,2007-08
0110711,0110011,Bloomfield School District,Carmen Arace Intermediate School,*,*,348,2007-08
0115211,0110011,Bloomfield School District,Carmen Arace Middle School,342,0,342,2007-08
0110311,0110011,Bloomfield School District,J. P. Vincent School,*,*,315,2007-08
0110611,0110011,Bloomfield School District,Laurel School,*,*,268,2007-08
0110511,0110011,Bloomfield School District,Metacomet School,*,*,238,2007-08
0116211,0110011,Bloomfield School District,The Big Picture High School,79,0,79,2007-08
0120111,0120011,Bolton School District,Bolton Center School,597,0,597,2007-08
0126111,0120011,Bolton School District,Bolton High School,275,0,275,2007-08
0130111,0130011,Bozrah School District,Fields Memorial School,*,*,264,2007-08
0146111,0140011,Branford School District,Branford High School,1137,9,1146,2007-08
0145111,0140011,Branford School District,Francis Walsh Intermediate School,1061,21,1082,2007-08
0148011,0140011,Branford School District,Indian Neck School,58,0,58,2007-08
0141611,0140011,Branford School District,John B. Sliney School,335,10,345,2007-08
0141511,0140011,Branford School District,Mary R. Tisko School,422,8,430,2007-08
0141411,0140011,Branford School District,Mary T. Murphy School,383,33,416,2007-08
2850113,2850013,Bridgeport Achievement First District,Achievement First Bridgeport Academy,85,0,85,2007-08
0150111,0150011,Bridgeport School District,Barnum School,252,27,279,2007-08
0156111,0150011,Bridgeport School District,Bassick High School,1118,167,1285,2007-08
0150211,0150011,Bridgeport School District,Beardsley School,542,65,607,2007-08
0150311,0150011,Bridgeport School District,Black Rock School,216,56,272,2007-08
0154011,0150011,Bridgeport School District,Blackham School,1035,142,1177,2007-08
0159011,0150011,Bridgeport School District,Bridgeport Learning Center,*,*,54,2007-08
0150411,0150011,Bridgeport School District,Bryant School,337,76,413,2007-08
0156211,0150011,Bridgeport School District,Central High School,2166,173,2339,2007-08
0151411,0150011,Bridgeport School District,Cesar Batalla School,752,410,1162,2007-08
0152111,0150011,Bridgeport School District,Classical Studies Academy,368,7,375,2007-08
