school_code,district_code,district,school,free,non_subsidized,reduced,total,year
2795113,2790013,Amistad Academy District,Amistad Academy,235,238,74,547,2007-08
0010111,0010011,Andover School District,Andover Elementary School,*,333,*,347,2007-08
0026111,0020011,Ansonia School District,Ansonia High School,287,436,37,760,2007-08
0025111,0020011,Ansonia School District,Ansonia Middle School,249,287,60,596,2007-08
0020311,0020011,Ansonia School District,Mead School,234,312,53,599,2007-08
0020811,0020011,Ansonia School District,Prendergast School,326,386,64,776,2007-08
2449014,2440014,Area Cooperative Educational Services,A. C. E. S. Special Education Town Campus Learning Center,*,*,0,19,2007-08
2446114,2440014,Area Cooperative Educational Services,Collaborative Alternative Magnet School,25,61,13,99,2007-08
2449414,2440014,Area Cooperative Educational Services,Mill Road School,86,78,12,176,2007-08
2445114,2440014,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,194,485,73,752,2007-08
2449514,2440014,Area Cooperative Educational Services,Village School,41,122,11,174,2007-08
2449214,2440014,Area Cooperative Educational Services,Whitney High School East,87,32,6,125,2007-08
2449114,2440014,Area Cooperative Educational Services,Whitney High School North,50,*,*,92,2007-08
2449314,2440014,Area Cooperative Educational Services,Whitney High School West,37,19,0,56,2007-08
2440314,2440014,Area Cooperative Educational Services,Wintergreen Interdistrict  Magnet School,103,437,65,605,2007-08
0030111,0030011,Ashford School District,Ashford School,50,429,21,500,2007-08
0046111,0040011,Avon School District,Avon High School,7,1017,12,1036,2007-08
0045111,0040011,Avon School District,Avon Middle School,*,572,*,582,2007-08
0040411,0040011,Avon School District,Pine Grove School,*,593,*,618,2007-08
0040311,0040011,Avon School District,Roaring Brook School,12,757,7,776,2007-08
0040511,0040011,Avon School District,Thompson Brook School,15,565,10,590,2007-08
0050111,0050011,Barkhamsted School District,Barkhamsted Elementary School,*,311,*,328,2007-08
0058011,0050011,Barkhamsted School District,Shared Services Integrated Preschool,0,30,0,30,2007-08
0076111,0070011,Berlin School District,Berlin High School,34,1006,23,1063,2007-08
0075111,0070011,Berlin School District,Catherine M. McGee Middle School,35,718,25,778,2007-08
0070411,0070011,Berlin School District,Emma Hart Willard School,26,535,16,577,2007-08
0070511,0070011,Berlin School District,Mary E. Griswold School,24,556,9,589,2007-08
0070111,0070011,Berlin School District,Richard D. Hubbard School,*,254,*,263,2007-08
0080111,0080011,Bethany School District,Bethany Community School,6,553,10,569,2007-08
0090411,0090011,Bethel School District,Anna H. Rockwell School,26,391,8,425,2007-08
0096111,0090011,Bethel School District,Bethel High School,36,959,39,1034,2007-08
0095111,0090011,Bethel School District,Bethel Middle School,40,674,29,743,2007-08
0090111,0090011,Bethel School District,Frank A. Berry School,18,460,10,488,2007-08
0090511,0090011,Bethel School District,Ralph M. T. Johnson School,29,398,27,454,2007-08
0116111,0110011,Bloomfield School District,Bloomfield High School,151,410,64,625,2007-08
0110711,0110011,Bloomfield School District,Carmen Arace Intermediate School,120,190,38,348,2007-08
0115211,0110011,Bloomfield School District,Carmen Arace Middle School,93,200,49,342,2007-08
0110311,0110011,Bloomfield School District,J. P. Vincent School,78,200,37,315,2007-08
0110611,0110011,Bloomfield School District,Laurel School,86,154,28,268,2007-08
0110511,0110011,Bloomfield School District,Metacomet School,87,133,18,238,2007-08
0116211,0110011,Bloomfield School District,The Big Picture High School,25,43,11,79,2007-08
0120111,0120011,Bolton School District,Bolton Center School,26,559,12,597,2007-08
0126111,0120011,Bolton School District,Bolton High School,*,263,*,275,2007-08
0130111,0130011,Bozrah School District,Fields Memorial School,22,228,14,264,2007-08
0146111,0140011,Branford School District,Branford High School,69,1025,52,1146,2007-08
0145111,0140011,Branford School District,Francis Walsh Intermediate School,94,936,52,1082,2007-08
0148011,0140011,Branford School District,Indian Neck School,*,53,*,58,2007-08
0141611,0140011,Branford School District,John B. Sliney School,29,294,22,345,2007-08
0141511,0140011,Branford School District,Mary R. Tisko School,35,386,9,430,2007-08
0141411,0140011,Branford School District,Mary T. Murphy School,53,325,38,416,2007-08
2850113,2850013,Bridgeport Achievement First District,Achievement First Bridgeport Academy,50,24,11,85,2007-08
0150111,0150011,Bridgeport School District,Barnum School,*,0,*,279,2007-08
0156111,0150011,Bridgeport School District,Bassick High School,1223,16,46,1285,2007-08
0150211,0150011,Bridgeport School District,Beardsley School,590,*,*,607,2007-08
0150311,0150011,Bridgeport School District,Black Rock School,261,*,*,272,2007-08
0154011,0150011,Bridgeport School District,Blackham School,1080,46,51,1177,2007-08
0159011,0150011,Bridgeport School District,Bridgeport Learning Center,54,0,0,54,2007-08
0150411,0150011,Bridgeport School District,Bryant School,*,0,*,413,2007-08
0156211,0150011,Bridgeport School District,Central High School,2054,86,199,2339,2007-08
0151411,0150011,Bridgeport School District,Cesar Batalla School,1127,9,26,1162,2007-08
0152111,0150011,Bridgeport School District,Classical Studies Academy,348,9,18,375,2007-08
0150511,0150011,Bridgeport School District,Columbus School,754,0,9,763,2007-08
0153911,0150011,Bridgeport School District,Cross School,378,8,20,406,2007-08
0154211,0150011,Bridgeport School District,Curiale School,560,10,22,592,2007-08
0154111,0150011,Bridgeport School District,Dunbar School,343,0,20,363,2007-08
0150711,0150011,Bridgeport School District,Edison School,389,*,*,408,2007-08
0150911,0150011,Bridgeport School District,Garfield School,*,0,*,278,2007-08
0153211,0150011,Bridgeport School District,Geraldine Johnson School,*,0,*,196,2007-08
0151111,0150011,Bridgeport School District,Hall School,328,*,*,344,2007-08
0151211,0150011,Bridgeport School District,Hallen School,296,8,18,322,2007-08
0156311,0150011,Bridgeport School District,Harding High School,1649,14,59,1722,2007-08
0154511,0150011,Bridgeport School District,High Horizons Magnet School,361,73,10,444,2007-08
0151311,0150011,Bridgeport School District,Hooker School,402,20,28,450,2007-08
0152211,0150011,Bridgeport School District,Jettie S. Tisdale School,322,*,*,329,2007-08
0151911,0150011,Bridgeport School District,Longfellow School,462,*,*,475,2007-08
0151011,0150011,Bridgeport School District,Luis Munoz Marin School,830,0,16,846,2007-08
0152011,0150011,Bridgeport School District,Madison School,547,*,*,562,2007-08
0159511,0150011,Bridgeport School District,Make The Grade,*,0,*,37,2007-08
0154311,0150011,Bridgeport School District,Maplewood Annex,*,0,*,187,2007-08
0154611,0150011,Bridgeport School District,Multicultural Magnet School,435,15,25,475,2007-08
0159411,0150011,Bridgeport School District,New Start Program,14,0,0,14,2007-08
0159211,0150011,Bridgeport School District,Park City Academy,*,0,*,30,2007-08
0151711,0150011,Bridgeport School District,Park City Magnet School,424,42,35,501,2007-08
0152511,0150011,Bridgeport School District,Read School,847,14,43,904,2007-08
0152611,0150011,Bridgeport School District,Roosevelt School,708,*,*,727,2007-08
0154411,0150011,Bridgeport School District,Skane Center,219,0,0,219,2007-08
0159111,0150011,Bridgeport School District,The University School,*,0,*,46,2007-08
0153011,0150011,Bridgeport School District,Waltersville School,432,9,15,456,2007-08
0153611,0150011,Bridgeport School District,Winthrop School,642,36,80,758,2007-08
0179011,0170011,Bristol School District,Alternative Special Education Program (ASEP),*,13,*,23,2007-08
0176111,0170011,Bristol School District,Bristol Central High School,278,1060,127,1465,2007-08
0176211,0170011,Bristol School District,Bristol Eastern High School,209,1042,82,1333,2007-08
0175111,0170011,Bristol School District,Chippens Hill Middle School,278,567,84,929,2007-08
0170711,0170011,Bristol School District,Clara T. O'Connell School,210,106,39,355,2007-08
0170111,0170011,Bristol School District,Clarence A. Bingham School,85,151,17,253,2007-08
0170311,0170011,Bristol School District,Edgewood School,99,237,20,356,2007-08
0171411,0170011,Bristol School District,Ellen P. Hubbell School,121,310,59,490,2007-08
0170511,0170011,Bristol School District,Greene-Hills School,100,268,28,396,2007-08
0171911,0170011,Bristol School District,Ivy Drive School,94,275,33,402,2007-08
0170611,0170011,Bristol School District,John J. Jennings School,55,303,16,374,2007-08
0175311,0170011,Bristol School District,Memorial Boulevard Middle School,142,337,63,542,2007-08
0171711,0170011,Bristol School District,Mountain View School,62,269,38,369,2007-08
0175211,0170011,Bristol School District,Northeast Middle School,89,427,42,558,2007-08
0171111,0170011,Bristol School District,South Side School,146,388,46,580,2007-08
0171211,0170011,Bristol School District,Stafford School,121,324,52,497,2007-08
0186111,0180011,Brookfield School District,Brookfield High School,10,1001,9,1020,2007-08
0180311,0180011,Brookfield School District,Center Elementary School,*,359,*,374,2007-08
0180411,0180011,Brookfield School District,Huckleberry Hill Elementary School,*,590,*,604,2007-08
0185311,0180011,Brookfield School District,Whisconier Middle School,14,925,12,951,2007-08
0190111,0190011,Brooklyn School District,Brooklyn Elementary School,67,478,35,580,2007-08
0195111,0190011,Brooklyn School District,Brooklyn Middle School,39,342,25,406,2007-08
0210111,0210011,Canaan School District,Lee H. Kellogg School,12,89,0,101,2007-08
0220211,0220011,Canterbury School District,Canterbury Elementary School,37,267,12,316,2007-08
0225111,0220011,Canterbury School District,Dr. Helen Baldwin Middle School,27,221,14,262,2007-08
0236111,0230011,Canton School District,Canton High School,*,497,*,514,2007-08
0230311,0230011,Canton School District,Canton Intermediate School,*,395,*,405,2007-08
0235111,0230011,Canton School District,Canton Middle School,*,259,*,270,2007-08
0230211,0230011,Canton School District,Cherry Brook Primary School,*,529,*,538,2007-08
2410114,2410014,Capitol Region Education Council,Glastonbury/East Hartford Magnet School,19,220,18,257,2007-08
2416314,2410014,Capitol Region Education Council,Great Path Academy at MCC,25,80,6,111,2007-08
2416414,2410014,Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,18,25,0,43,2007-08
2419014,2410014,Capitol Region Education Council,John J. Allison Polaris Center,*,284,*,389,2007-08
2416114,2410014,Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,133,479,64,676,2007-08
2413114,2410014,Capitol Region Education Council,Montessori Magnet School,26,234,69,329,2007-08
2415014,2410014,Capitol Region Education Council,Two Rivers Magnet Middle School,126,406,50,582,2007-08
2410214,2410014,Capitol Region Education Council,University of Hartford Magnet School,78,284,44,406,2007-08
0240211,0240011,Chaplin School District,Chaplin Elementary School,28,169,13,210,2007-08
0250111,0250011,Cheshire School District,Chapman School,*,323,*,332,2007-08
0256111,0250011,Cheshire School District,Cheshire High School,24,1571,17,1612,2007-08
0250211,0250011,Cheshire School District,Darcey School,0,393,0,393,2007-08
0255111,0250011,Cheshire School District,Dodd Middle School,20,791,13,824,2007-08
0250611,0250011,Cheshire School District,Doolittle School,21,505,11,537,2007-08
0250411,0250011,Cheshire School District,Highland School,21,867,20,908,2007-08
