american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year
*,,*,362,,Amistad Academy District,2790013,172,,,0,Amistad Academy,2795113,547,,,10,2007-08
0,,11,*,,Andover School District,0010011,*,,,0,Andover Elementary School,0010111,347,,,327,2007-08
*,,*,175,,Ansonia School District,0020011,140,,,0,Ansonia High School,0026111,760,,,431,2007-08
*,,*,126,,Ansonia School District,0020011,129,,,0,Ansonia Middle School,0025111,596,,,331,2007-08
*,,*,125,,Ansonia School District,0020011,127,,,0,Mead School,0020311,599,,,334,2007-08
*,,*,147,,Ansonia School District,0020011,199,,,0,Prendergast School,0020811,776,,,412,2007-08
0,,*,0,,Area Cooperative Educational Services,2440014,*,,,0,A. C. E. S. Special Education Town Campus Learning Center,2449014,19,,,15,2007-08
0,,0,27,,Area Cooperative Educational Services,2440014,13,,,0,Collaborative Alternative Magnet School,2446114,99,,,59,2007-08
0,,*,90,,Area Cooperative Educational Services,2440014,44,,,0,Mill Road School,2449414,176,,,*,2007-08
*,,*,115,,Area Cooperative Educational Services,2440014,257,,,0,Thomas Edison Magnet Middle School,2445114,752,,,360,2007-08
0,,*,38,,Area Cooperative Educational Services,2440014,*,,,0,Village School,2449514,174,,,101,2007-08
0,,*,44,,Area Cooperative Educational Services,2440014,*,,,0,Whitney High School East,2449214,125,,,52,2007-08
0,,0,37,,Area Cooperative Educational Services,2440014,30,,,0,Whitney High School North,2449114,92,,,25,2007-08
0,,*,*,,Area Cooperative Educational Services,2440014,14,,,0,Whitney High School West,2449314,56,,,30,2007-08
*,,*,268,,Area Cooperative Educational Services,2440014,74,,,0,Wintergreen Interdistrict  Magnet School,2440314,605,,,217,2007-08
*,,*,10,,Ashford School District,0030011,20,,,0,Ashford School,0030111,500,,,460,2007-08
*,,61,33,,Avon School District,0040011,*,,,0,Avon High School,0046111,1036,,,912,2007-08
0,,38,9,,Avon School District,0040011,14,,,0,Avon Middle School,0045111,582,,,521,2007-08
0,,57,26,,Avon School District,0040011,26,,,0,Pine Grove School,0040411,618,,,509,2007-08
*,,73,*,,Avon School District,0040011,47,,,0,Roaring Brook School,0040311,776,,,630,2007-08
0,,51,11,,Avon School District,0040011,22,,,0,Thompson Brook School,0040511,590,,,506,2007-08
0,,*,*,,Barkhamsted School District,0050011,*,,,0,Barkhamsted Elementary School,0050111,328,,,320,2007-08
0,,0,0,,Barkhamsted School District,0050011,0,,,0,Shared Services Integrated Preschool,0058011,30,,,30,2007-08
*,,40,*,,Berlin School District,0070011,19,,,0,Berlin High School,0076111,1063,,,997,2007-08
*,,23,*,,Berlin School District,0070011,22,,,0,Catherine M. McGee Middle School,0075111,778,,,723,2007-08
*,,39,*,,Berlin School District,0070011,16,,,0,Emma Hart Willard School,0070411,577,,,511,2007-08
*,,16,*,,Berlin School District,0070011,21,,,0,Mary E. Griswold School,0070511,589,,,544,2007-08
*,,*,7,,Berlin School District,0070011,7,,,0,Richard D. Hubbard School,0070111,263,,,241,2007-08
*,,37,16,,Bethany School District,0080011,*,,,0,Bethany Community School,0080111,569,,,508,2007-08
0,,42,8,,Bethel School District,0090011,46,,,0,Anna H. Rockwell School,0090411,425,,,329,2007-08
