district,district_code,school,school_code,female,male,total,year,group
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,543,520,1063,2015,gender
Amistad Academy District,2790013,Amistad Academy,2795113,536,500,1036,2015,gender
Andover School District,0010011,Andover Elementary School,0010111,118,132,250,2015,gender
Ansonia School District,0020011,Ansonia High School,0026111,274,323,597,2015,gender
Ansonia School District,0020011,Ansonia Middle School,0025111,204,242,446,2015,gender
Ansonia School District,0020011,Mead School,0020311,287,308,595,2015,gender
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,12,23,35,2015,gender
Ansonia School District,0020011,Prendergast School,0020811,340,348,688,2015,gender
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,7,31,38,2015,gender
Area Cooperative Educational Services,2440014,Mill Road School,2449414,23,144,167,2015,gender
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,352,374,726,2015,gender
Area Cooperative Educational Services,2440014,Village School,2449514,42,93,135,2015,gender
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,36,77,113,2015,gender
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,26,69,95,2015,gender
Area Cooperative Educational Services,2440014,Whitney High School West,2449314,7,35,42,2015,gender
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,316,316,632,2015,gender
Ashford School District,0030011,Ashford School,0030111,194,203,397,2015,gender
Avon School District,0040011,Avon High School,0046111,526,512,1038,2015,gender
Avon School District,0040011,Avon Middle School,0045111,256,289,545,2015,gender
Avon School District,0040011,Avon Public Schools Pre-K,0040111,26,19,45,2015,gender
Avon School District,0040011,Pine Grove School,0040411,302,297,599,2015,gender
Avon School District,0040011,Roaring Brook School,0040311,236,261,497,2015,gender
Avon School District,0040011,Thompson Brook School,0040511,272,278,550,2015,gender
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,130,125,255,2015,gender
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,*,*,*,2015,gender
Barkhamsted School District,0050011,Shared Services Integrated Preschool,0058011,11,17,28,2015,gender
Berlin School District,0070011,Berlin High School,0076111,445,508,953,2015,gender
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,303,369,672,2015,gender
Berlin School District,0070011,Emma Hart Willard School,0070411,246,257,503,2015,gender
Berlin School District,0070011,Mary E. Griswold School,0070511,232,265,497,2015,gender
Berlin School District,0070011,Richard D. Hubbard School,0070111,118,120,238,2015,gender
Bethany School District,0080011,Bethany Community School,0080111,191,192,383,2015,gender
Bethel School District,0090011,Anna H. Rockwell School,0090411,204,216,420,2015,gender
Bethel School District,0090011,Bethel High School,0096111,425,472,897,2015,gender
Bethel School District,0090011,Bethel Middle School,0095111,317,341,658,2015,gender
Bethel School District,0090011,Frank A. Berry School,0090111,243,318,561,2015,gender
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,202,224,426,2015,gender
Bloomfield School District,0110011,Bloomfield High School,0116111,221,295,516,2015,gender
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,104,116,220,2015,gender
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,89,104,193,2015,gender
Bloomfield School District,0110011,Global Experience Magnet School,0116311,126,92,218,2015,gender
Bloomfield School District,0110011,Laurel School,0110611,181,154,335,2015,gender
Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,*,*,10,2015,gender
Bloomfield School District,0110011,Metacomet School,0110511,131,123,254,2015,gender
Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,142,180,322,2015,gender
Bolton School District,0120011,Bolton Center School,0120111,252,255,507,2015,gender
Bolton School District,0120011,Bolton High School,0126111,163,144,307,2015,gender
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,81,99,180,2015,gender
Bozrah School District,0130011,Fields Memorial School,0130111,97,104,201,2015,gender
Branford School District,0140011,Branford High School,0146111,447,467,914,2015,gender
Branford School District,0140011,Branford High School Horizons Program,0140211,14,26,40,2015,gender
Branford School District,0140011,Francis Walsh Intermediate School,0145111,470,442,912,2015,gender
Branford School District,0140011,Indian Neck School,0148011,13,27,40,2015,gender
Branford School District,0140011,John B. Sliney School,0141611,161,188,349,2015,gender
Branford School District,0140011,Mary R. Tisko School,0141511,178,188,366,2015,gender
Branford School District,0140011,Mary T. Murphy School,0141411,180,244,424,2015,gender
Brass City Charter School District,2900013,Brass City Charter School,2900113,110,76,186,2015,gender
Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,525,491,1016,2015,gender
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",0150811,166,328,494,2015,gender
Bridgeport School District,0150011,Barnum School,0150111,283,335,618,2015,gender
Bridgeport School District,0150011,Bassick High School,0156111,418,533,951,2015,gender
Bridgeport School District,0150011,Beardsley School,0150211,170,184,354,2015,gender
Bridgeport School District,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",0150611,348,141,489,2015,gender
Bridgeport School District,0150011,Black Rock School,0150311,216,253,469,2015,gender
Bridgeport School District,0150011,Blackham School,0154011,503,628,1131,2015,gender
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,11,50,61,2015,gender
Bridgeport School District,0150011,Bridgeport Military Academy,0151611,113,157,270,2015,gender
Bridgeport School District,0150011,Bryant School,0150411,185,200,385,2015,gender
Bridgeport School District,0150011,Career and Craftsmanship,0152711,11,16,27,2015,gender
Bridgeport School District,0150011,Central High School,0156211,765,752,1517,2015,gender
Bridgeport School District,0150011,Cesar Batalla School,0151411,535,661,1196,2015,gender
Bridgeport School District,0150011,Classical Studies Academy,0152111,206,187,393,2015,gender
Bridgeport School District,0150011,Columbus School,0150511,420,432,852,2015,gender
Bridgeport School District,0150011,Cross School,0153911,183,214,397,2015,gender
Bridgeport School District,0150011,Curiale School,0154211,334,364,698,2015,gender
Bridgeport School District,0150011,Discovery Interdistrict Magnet School,0153711,245,261,506,2015,gender
Bridgeport School District,0150011,Dunbar School,0154111,204,212,416,2015,gender
Bridgeport School District,0150011,Edison School,0150711,120,150,270,2015,gender
Bridgeport School District,0150011,Geraldine Johnson School,0153211,373,421,794,2015,gender
Bridgeport School District,0150011,Hall School,0151111,115,125,240,2015,gender
Bridgeport School District,0150011,Hallen School,0151211,156,159,315,2015,gender
Bridgeport School District,0150011,Harding High School,0156311,513,547,1060,2015,gender
Bridgeport School District,0150011,High Horizons Magnet School,0154511,228,180,408,2015,gender
Bridgeport School District,0150011,Hooker School,0151311,167,184,351,2015,gender
Bridgeport School District,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,0151511,175,317,492,2015,gender
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,245,261,506,2015,gender
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,283,366,649,2015,gender
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,414,422,836,2015,gender
Bridgeport School District,0150011,Madison School,0152011,230,282,512,2015,gender
Bridgeport School District,0150011,Multicultural Magnet School,0154611,264,196,460,2015,gender
Bridgeport School District,0150011,Opportunities for Self-Discovery Community Partnership,0152811,*,*,7,2015,gender
Bridgeport School District,0150011,Park City Magnet School,0151711,257,226,483,2015,gender
Bridgeport School District,0150011,Read School,0152511,418,473,891,2015,gender
Bridgeport School District,0150011,Roosevelt School,0152611,306,317,623,2015,gender
Bridgeport School District,0150011,Skane Center,0154411,88,136,224,2015,gender
Bridgeport School District,0150011,Waltersville School,0153011,252,251,503,2015,gender
Bridgeport School District,0150011,Winthrop School,0153611,319,354,673,2015,gender
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,*,*,20,2015,gender
Bristol School District,0170011,Bristol Central High School,0176111,560,607,1167,2015,gender
Bristol School District,0170011,Bristol Early Childhood Center-BECC,0170411,26,37,63,2015,gender
Bristol School District,0170011,Bristol Eastern High School,0176211,597,624,1221,2015,gender
Bristol School District,0170011,Bristol Preparatory Academy,0173311,23,25,48,2015,gender
Bristol School District,0170011,CHMS GOAL,0173411,0,7,7,2015,gender
Bristol School District,0170011,Chippens Hill Middle School,0175111,324,380,704,2015,gender
Bristol School District,0170011,Chippens Hill Middle School Functional Program,0171011,*,*,12,2015,gender
Bristol School District,0170011,Community/Vocational Program,0179211,6,6,12,2015,gender
Bristol School District,0170011,Edgewood School,0170311,164,176,340,2015,gender
Bristol School District,0170011,Ellen P. Hubbell School,0171411,233,218,451,2015,gender
Bristol School District,0170011,Greene-Hills GOAL,0170911,0,*,*,2015,gender
Bristol School District,0170011,Greene-Hills School,0170511,467,460,927,2015,gender
Bristol School District,0170011,Hubbell/Extended Resource,0172111,*,*,6,2015,gender
Bristol School District,0170011,Ivy Drive GOAL,0172611,*,*,*,2015,gender
Bristol School District,0170011,Ivy Drive Medically Fragile,0172311,*,*,*,2015,gender
Bristol School District,0170011,Ivy Drive School,0171911,194,201,395,2015,gender
Bristol School District,0170011,Mountain View School,0171711,190,182,372,2015,gender
Bristol School District,0170011,Mt. View GOAL,0172511,*,*,8,2015,gender
Bristol School District,0170011,Northeast MS/Extended Resource,0172711,*,*,*,2015,gender
Bristol School District,0170011,Northeast MS/GOAL,0172811,*,*,*,2015,gender
Bristol School District,0170011,Northeast Middle School,0175211,203,219,422,2015,gender
Bristol School District,0170011,PreK Autism,0172911,*,*,10,2015,gender
Bristol School District,0170011,South Side Extended Resource,0173011,0,*,*,2015,gender
Bristol School District,0170011,South Side GOAL,0173111,0,*,*,2015,gender
Bristol School District,0170011,South Side School,0171111,250,241,491,2015,gender
Bristol School District,0170011,Stafford Autism,0173211,*,*,24,2015,gender
Bristol School District,0170011,Stafford School,0171211,222,214,436,2015,gender
Bristol School District,0170011,West Bristol School,0172011,457,465,922,2015,gender
Brookfield School District,0180011,Brookfield High School,0186111,445,435,880,2015,gender
Brookfield School District,0180011,Center Elementary School,0180311,175,193,368,2015,gender
Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,280,297,577,2015,gender
