district,type,2010_11,2011_12,2012_13,2013_14,2014_15,district_code,check_dist_col,school_code
Achievement First Hartford Academy Inc. District,Instructional Staff and Services,3797374.0,5606717.0,5783041.0,6717091.0,6863137.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Instructional Supplies and Equipment,572368.0,246664.0,287779.0,638398.0,646646.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Instruction and Educational Media Services,1037685.0,146205.0,261499.0,167419.0,310629.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Student Support Services,304577.0,198894.0,654782.0,162108.0,1086042.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Administration and Support Services,1307992.0,1843391.0,2363489.0,2638821.0,3699477.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Plant Operation and Maintenance,54251.0,27695.0,37713.0,83107.0,83095.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Transportation,10016.0,34513.0,26792.0,44960.0,98398.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Students Tuitioned Out,,,,,,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Other,30907.0,38346.0,39594.0,31346.0,17440.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Achievement First Hartford Academy Inc. District,Total Expenditures,7115170.0,8142425.0,9454689.0,10483250.0,12804864.0,2880013,Achievement First Hartford Academy Inc. District,2880013
Amistad Academy District,Instructional Staff and Services,5124861.0,6664053.0,5821710.0,6610454.0,6249225.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Instructional Supplies and Equipment,664047.0,343104.0,338218.0,339082.0,355875.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Instruction and Educational Media Services,1487414.0,552144.0,467735.0,408911.0,466714.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Student Support Services,1565054.0,1185400.0,1004385.0,822835.0,1218680.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Administration and Support Services,1813450.0,2159797.0,2069216.0,3035797.0,2523973.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Plant Operation and Maintenance,183148.0,424536.0,434951.0,451599.0,512598.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Transportation,34872.0,105098.0,101092.0,114853.0,191428.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Students Tuitioned Out,,,,,,2790013,Amistad Academy District,2790013
Amistad Academy District,Other,489099.0,528689.0,515610.0,521168.0,590732.0,2790013,Amistad Academy District,2790013
Amistad Academy District,Total Expenditures,11361945.0,11962821.0,10752917.0,12304699.0,12109225.0,2790013,Amistad Academy District,2790013
Andover School District,Instructional Staff and Services,2668054.0,2614956.0,2628879.0,2740679.0,2712516.0,0010011,Andover School District,0010011
Andover School District,Instructional Supplies and Equipment,107496.0,119862.0,83663.0,104999.0,122533.0,0010011,Andover School District,0010011
Andover School District,Instruction and Educational Media Services,74433.0,78502.0,78788.0,82287.0,84239.0,0010011,Andover School District,0010011
Andover School District,Student Support Services,155855.0,157650.0,156723.0,163260.0,157766.0,0010011,Andover School District,0010011
Andover School District,Administration and Support Services,584057.0,575755.0,609305.0,664002.0,615105.0,0010011,Andover School District,0010011
Andover School District,Plant Operation and Maintenance,454282.0,426314.0,439659.0,452540.0,489907.0,0010011,Andover School District,0010011
Andover School District,Transportation,199487.0,202872.0,253379.0,259261.0,192339.0,0010011,Andover School District,0010011
Andover School District,Students Tuitioned Out,98500.0,116908.0,228437.0,221859.0,67287.0,0010011,Andover School District,0010011
Andover School District,Other,0.0,0.0,0.0,0.0,0.0,0010011,Andover School District,0010011
Andover School District,Total Expenditures,4342164.0,4292819.0,4478833.0,4688887.0,4441692.0,0010011,Andover School District,0010011
Ansonia School District,Instructional Staff and Services,17155560.0,17318439.0,17067803.0,17277476.0,18603903.0,0020011,Ansonia School District,0020011
Ansonia School District,Instructional Supplies and Equipment,1031329.0,922445.0,930038.0,1681633.0,523762.0,0020011,Ansonia School District,0020011
Ansonia School District,Instruction and Educational Media Services,742401.0,482368.0,498703.0,557803.0,517593.0,0020011,Ansonia School District,0020011
Ansonia School District,Student Support Services,1596978.0,1466214.0,1269947.0,1137741.0,1523838.0,0020011,Ansonia School District,0020011
Ansonia School District,Administration and Support Services,3135683.0,3540175.0,3699976.0,3921772.0,3968787.0,0020011,Ansonia School District,0020011
Ansonia School District,Plant Operation and Maintenance,2807990.0,2660666.0,6856789.0,2815904.0,2915289.0,0020011,Ansonia School District,0020011
Ansonia School District,Transportation,1646977.0,1899704.0,1828625.0,1877652.0,2239547.0,0020011,Ansonia School District,0020011
Ansonia School District,Students Tuitioned Out,2654469.0,2781509.0,3204191.0,3656009.0,4120043.0,0020011,Ansonia School District,0020011
Ansonia School District,Other,753577.0,520247.0,556760.0,688317.0,601798.0,0020011,Ansonia School District,0020011
Ansonia School District,Total Expenditures,31524964.0,31591767.0,35912832.0,33614307.0,35014560.0,0020011,Ansonia School District,0020011
Ashford School District,Instructional Staff and Services,4523087.0,4521864.0,4401741.0,4502683.0,4435066.0,0030011,Ashford School District,0030011
Ashford School District,Instructional Supplies and Equipment,154631.0,289086.0,347458.0,305786.0,414340.0,0030011,Ashford School District,0030011
Ashford School District,Instruction and Educational Media Services,60156.0,76964.0,61423.0,63764.0,74245.0,0030011,Ashford School District,0030011
Ashford School District,Student Support Services,218756.0,228005.0,245823.0,259379.0,270144.0,0030011,Ashford School District,0030011
Ashford School District,Administration and Support Services,749377.0,803439.0,818106.0,877580.0,913197.0,0030011,Ashford School District,0030011
Ashford School District,Plant Operation and Maintenance,490706.0,576139.0,589430.0,744651.0,637922.0,0030011,Ashford School District,0030011
Ashford School District,Transportation,682905.0,625841.0,629916.0,440977.0,443685.0,0030011,Ashford School District,0030011
Ashford School District,Students Tuitioned Out,275469.0,189869.0,207689.0,225216.0,349950.0,0030011,Ashford School District,0030011
Ashford School District,Other,28354.0,39155.0,65097.0,34032.0,63305.0,0030011,Ashford School District,0030011
Ashford School District,Total Expenditures,7183441.0,7350362.0,7366683.0,7454068.0,7601854.0,0030011,Ashford School District,0030011
Avon School District,Instructional Staff and Services,26598773.0,28312129.0,30476287.0,30147184.0,30874408.0,0040011,Avon School District,0040011
Avon School District,Instructional Supplies and Equipment,777325.0,1347112.0,895188.0,812467.0,1015549.0,0040011,Avon School District,0040011
Avon School District,Instruction and Educational Media Services,1221985.0,1004708.0,1090239.0,874568.0,1077534.0,0040011,Avon School District,0040011
Avon School District,Student Support Services,3390880.0,2974318.0,3624913.0,3608843.0,3666632.0,0040011,Avon School District,0040011
Avon School District,Administration and Support Services,4274196.0,4260952.0,4734968.0,5417351.0,6175923.0,0040011,Avon School District,0040011
Avon School District,Plant Operation and Maintenance,4530219.0,4738027.0,4345690.0,4708992.0,4535271.0,0040011,Avon School District,0040011
Avon School District,Transportation,2080192.0,2207861.0,2378017.0,2618100.0,2518388.0,0040011,Avon School District,0040011
Avon School District,Students Tuitioned Out,1891919.0,2260334.0,2111569.0,2348859.0,2681073.0,0040011,Avon School District,0040011
Avon School District,Other,983637.0,632470.0,101129.0,814054.0,1064743.0,0040011,Avon School District,0040011
Avon School District,Total Expenditures,45749126.0,47737911.0,49758000.0,51350418.0,53609521.0,0040011,Avon School District,0040011
Barkhamsted School District,Instructional Staff and Services,2513004.0,2474983.0,2557613.0,2530127.0,2609535.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Instructional Supplies and Equipment,52197.0,53432.0,40472.0,72868.0,43321.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Instruction and Educational Media Services,154229.0,142720.0,158624.0,197217.0,192124.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Student Support Services,52131.0,53424.0,52808.0,53743.0,58613.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Administration and Support Services,408337.0,417162.0,442772.0,462787.0,494930.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Plant Operation and Maintenance,349664.0,428282.0,400895.0,425058.0,437061.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Transportation,286405.0,281032.0,295329.0,270010.0,295868.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Students Tuitioned Out,72913.0,70796.0,54088.0,128148.0,105726.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Other,348.0,0.0,0.0,444.0,3387.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Total Expenditures,3889228.0,3921831.0,4002601.0,4140402.0,4240565.0,0050011,Barkhamsted School District,0050011
Berlin School District,Instructional Staff and Services,22155615.0,22630456.0,22995835.0,23332208.0,23529251.0,0070011,Berlin School District,0070011
Berlin School District,Instructional Supplies and Equipment,1113711.0,1234527.0,1133391.0,1570577.0,981028.0,0070011,Berlin School District,0070011
Berlin School District,Instruction and Educational Media Services,1051149.0,966752.0,1273767.0,1263609.0,1754985.0,0070011,Berlin School District,0070011
Berlin School District,Student Support Services,3864780.0,3945559.0,4265593.0,5111618.0,4781649.0,0070011,Berlin School District,0070011
Berlin School District,Administration and Support Services,4415231.0,4480878.0,4841171.0,4587408.0,4710563.0,0070011,Berlin School District,0070011
