district,school,english_learner_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,ELL,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Non-ELL,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Amistad Academy District,Amistad Academy,ELL,,*,,*,*,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,Non-ELL,71.4,*,82.6,*,*,2795113,Amistad Academy,Amistad Academy District
Ansonia School District,Ansonia High School,ELL,*,*,*,*,*,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Non-ELL,77.3,77.0,*,*,*,0026111,Ansonia High School,Ansonia School District
Avon School District,Avon High School,ELL,*,*,,*,*,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Non-ELL,*,*,*,*,*,0046111,Avon High School,Avon School District
Berlin School District,Berlin High School,ELL,*,*,*,*,*,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Non-ELL,*,*,*,*,*,0076111,Berlin High School,Berlin School District
Bethel School District,Bethel High School,ELL,*,*,*,*,*,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel High School,Non-ELL,*,*,*,*,*,0096111,Bethel High School,Bethel School District
Bloomfield School District,Bloomfield High School,ELL,,*,*,*,*,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,Non-ELL,83.3,91.1,90.7,87.7,93.2,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,ELL,,,,*,,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,Non-ELL,,*,*,100.0,100.0,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,ELL,,*,,,,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,Non-ELL,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,The Big Picture High School,Non-ELL,*,,,,,0116211,The Big Picture High School,Bloomfield School District
Bolton School District,Bolton High School,ELL,,,,,,0126111,Bolton High School,Bolton School District
Bolton School District,Bolton High School,Non-ELL,90.4,*,95.0,*,94.0,0126111,Bolton High School,Bolton School District
Branford School District,Branford High School,ELL,*,*,*,*,*,0146111,Branford High School,Branford School District
Branford School District,Branford High School,Non-ELL,*,*,*,*,94.9,0146111,Branford High School,Branford School District
Bridgeport Achievement First District,Achievement First Bridgeport Academy,ELL,,,,*,*,2850113,Achievement First Bridgeport Academy,Bridgeport Achievement First District
Bridgeport Achievement First District,Achievement First Bridgeport Academy,Non-ELL,,,,*,*,2850113,Achievement First Bridgeport Academy,Bridgeport Achievement First District
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",ELL,,,,,*,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Non-ELL,,,,,81.8,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Bassick High School,ELL,40.0,56.4,61.7,52.8,50.9,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,Bassick High School,Non-ELL,50.2,59.8,62.4,60.6,63.1,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",ELL,,,,,*,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Non-ELL,,,,,92.6,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Central High School,ELL,69.5,72.3,62.3,84.9,71.4,0156211,Central High School,Bridgeport School District
Bridgeport School District,Central High School,Non-ELL,79.5,78.1,82.5,75.9,76.6,0156211,Central High School,Bridgeport School District
Bridgeport School District,Harding High School,ELL,62.9,50.0,62.1,47.6,59.8,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Harding High School,Non-ELL,66.9,63.5,71.7,56.4,55.7,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,ELL,,,,,*,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Bridgeport School District
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Non-ELL,,,,,94.9,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Bridgeport School District
Bristol School District,Bristol Central High School,ELL,*,*,*,*,*,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Central High School,Non-ELL,86.0,82.8,83.0,82.1,83.3,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Eastern High School,ELL,*,*,*,*,*,0176211,Bristol Eastern High School,Bristol School District
Bristol School District,Bristol Eastern High School,Non-ELL,87.1,82.6,85.1,87.1,91.8,0176211,Bristol Eastern High School,Bristol School District
Brookfield School District,Brookfield High School,ELL,*,*,*,*,*,0186111,Brookfield High School,Brookfield School District
Brookfield School District,Brookfield High School,Non-ELL,*,*,*,*,*,0186111,Brookfield High School,Brookfield School District
Canton School District,Canton High School,ELL,,,,*,*,0236111,Canton High School,Canton School District
Canton School District,Canton High School,Non-ELL,97.5,95.1,94.8,*,*,0236111,Canton High School,Canton School District
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc.,Non-ELL,,,,,*,2970113,Capital Preparatory Harbor School Inc.,Capital Preparatory Harbor School Inc. District
Capitol Region Education Council,Academy of Aerospace and Engineering,ELL,,*,,*,*,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Aerospace and Engineering,Non-ELL,,84.8,*,81.6,92.3,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,ELL,,,,,*,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Non-ELL,,,,97.5,88.1,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,ELL,*,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Non-ELL,80.3,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,ELL,*,*,,*,*,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Non-ELL,87.6,82.4,84.2,90.7,90.6,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,ELL,,,*,,,,,
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Non-ELL,,,93.3,,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,ELL,*,,,,*,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Non-ELL,94.7,94.5,95.8,96.3,98.9,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,ELL,,,,,*,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Non-ELL,,,84.4,88.9,82.8,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,ELL,,,,,*,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Non-ELL,,,,,98.6,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Cheshire School District,Cheshire High School,ELL,*,*,*,*,*,0256111,Cheshire High School,Cheshire School District
Cheshire School District,Cheshire High School,Non-ELL,*,*,*,*,*,0256111,Cheshire High School,Cheshire School District
Clinton School District,The Morgan School,ELL,*,*,*,*,*,0276111,The Morgan School,Clinton School District
Clinton School District,The Morgan School,Non-ELL,*,*,*,*,*,0276111,The Morgan School,Clinton School District
Colchester School District,Bacon Academy,ELL,*,*,*,*,*,0286111,Bacon Academy,Colchester School District
Colchester School District,Bacon Academy,Non-ELL,*,*,*,*,*,0286111,Bacon Academy,Colchester School District
Common Ground High School District,Common Ground High School,ELL,*,*,,,*,2686113,Common Ground High School,Common Ground High School District
Common Ground High School District,Common Ground High School,Non-ELL,*,*,*,100.0,*,2686113,Common Ground High School,Common Ground High School District
Connecticut Technical High School System,A. I. Prince Technical High School,ELL,*,*,*,*,*,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,A. I. Prince Technical High School,Non-ELL,94.7,88.1,95.5,97.1,98.2,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,ELL,*,*,*,*,*,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Non-ELL,94.5,96.7,91.8,95.7,97.3,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,ELL,*,*,*,*,*,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Non-ELL,94.0,95.8,94.8,96.6,98.5,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,ELL,*,75.0,*,100.0,95.0,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Non-ELL,93.5,85.4,91.3,88.0,90.2,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,ELL,*,*,*,*,*,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Non-ELL,93.7,97.8,94.4,95.9,95.9,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,ELL,*,*,*,*,*,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Non-ELL,96.9,96.5,96.0,100.0,97.2,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,ELL,*,*,,*,*,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Non-ELL,97.0,99.4,96.6,99.4,98.9,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,ELL,,,*,,*,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Non-ELL,96.2,100.0,96.4,96.5,95.2,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,ELL,*,*,*,*,*,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Non-ELL,96.7,97.9,95.7,99.2,97.2,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,ELL,*,*,*,*,*,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Non-ELL,97.9,97.0,99.3,95.5,95.2,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,ELL,,,,*,,9002016,Norwich Technical High School,Connecticut Technical High School System
