district,school,gender,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Female,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Male,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Amistad Academy District,Amistad Academy,Female,*,*,*,*,*,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,Male,*,*,*,*,*,2795113,Amistad Academy,Amistad Academy District
Ansonia School District,Ansonia High School,Female,82.8,89.4,80.6,89.4,96.5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Male,70.5,62.9,79.5,88.5,82.4,0026111,Ansonia High School,Ansonia School District
Avon School District,Avon High School,Female,97.9,95.9,*,96.4,97.4,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Male,95.1,97.1,*,96.3,97.6,0046111,Avon High School,Avon School District
Berlin School District,Berlin High School,Female,96.6,*,96.5,100.0,95.6,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Male,93.9,*,94.2,89.5,94.8,0076111,Berlin High School,Berlin School District
Bethel School District,Bethel High School,Female,96.9,92.3,94.9,97.1,96.5,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel High School,Male,92.7,94.0,90.6,94.5,95.5,0096111,Bethel High School,Bethel School District
Bloomfield School District,Bloomfield High School,Female,87.2,93.3,93.8,87.5,97.8,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,Male,*,89.2,87.0,86.7,90.5,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,Female,,*,*,*,*,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,Male,,*,*,*,*,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,Female,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,Male,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,The Big Picture High School,Female,*,,,,,0116211,The Big Picture High School,Bloomfield School District
