district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Non-Special Education,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Amistad Academy District,Amistad Academy,Non-Special Education,71.4,*,*,*,90.0,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,Special Education,,*,*,*,,2795113,Amistad Academy,Amistad Academy District
Ansonia School District,Ansonia High School,Non-Special Education,77.8,77.0,82.8,91.3,*,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Special Education,66.7,68.2,*,*,*,0026111,Ansonia High School,Ansonia School District
Avon School District,Avon High School,Non-Special Education,98.0,97.4,*,*,99.0,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Special Education,86.1,90.3,*,*,87.1,0046111,Avon High School,Avon School District
Berlin School District,Berlin High School,Non-Special Education,96.9,97.1,98.0,96.6,97.7,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Special Education,86.8,87.5,78.1,80.6,74.1,0076111,Berlin High School,Berlin School District
Bethel School District,Bethel High School,Non-Special Education,97.1,96.2,94.4,97.3,97.7,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel High School,Special Education,77.8,61.9,80.6,85.7,84.4,0096111,Bethel High School,Bethel School District
Bloomfield School District,Bloomfield High School,Non-Special Education,85.4,92.9,93.3,93.6,96.2,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,Special Education,*,*,*,56.5,*,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,Non-Special Education,,*,*,100.0,*,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,Special Education,,*,*,*,*,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,Non-Special Education,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,Special Education,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
