district,language,students,els,district_code,check_dist_col
Andover School District,Spanish,<=5,<=5,0010011,Andover School District
Andover School District,Italian,<=5,<=5,0010011,Andover School District
Andover School District,Polish,7,<=5,0010011,Andover School District
Andover School District,Ukrainian,<=5,<=5,0010011,Andover School District
Andover School District,Bangla,<=5,<=5,0010011,Andover School District
Ansonia School District,Spanish,141,44,0020011,Ansonia School District
Ansonia School District,Portuguese,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Lao,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Hmong,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Polish,24,<=5,0020011,Ansonia School District
Ansonia School District,Albanian,22,<=5,0020011,Ansonia School District
Ansonia School District,Arabic,7,<=5,0020011,Ansonia School District
Ansonia School District,Bengali,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Farsi,<=5,<=5,0020011,Ansonia School District
Ansonia School District,French,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Gujarati,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Creole-Haitian,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Lithuanian,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Russian,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Serbo-Croatian,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Pilipino (Filipino),<=5,<=5,0020011,Ansonia School District
Ansonia School District,Tamil,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Turkish,8,<=5,0020011,Ansonia School District
Ansonia School District,Ukrainian,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Urdu,10,<=5,0020011,Ansonia School District
Ansonia School District,Vietnamese,10,<=5,0020011,Ansonia School District
Ansonia School District,Cantonese,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Mandarin,6,<=5,0020011,Ansonia School District
Ansonia School District,Visayan,<=5,<=5,0020011,Ansonia School District
Ansonia School District,Persian,<=5,<=5,0020011,Ansonia School District
Ashford School District,Spanish,7,<=5,0030011,Ashford School District
Ashford School District,Portuguese,<=5,<=5,0030011,Ashford School District
Ashford School District,Polish,<=5,<=5,0030011,Ashford School District
Ashford School District,Arabic,<=5,<=5,0030011,Ashford School District
Ashford School District,Gujarati,<=5,<=5,0030011,Ashford School District
Ashford School District,Russian,<=5,<=5,0030011,Ashford School District
Avon School District,Spanish,27,10,0040011,Avon School District
Avon School District,Portuguese,10,<=5,0040011,Avon School District
Avon School District,Italian,<=5,<=5,0040011,Avon School District
Avon School District,Polish,14,<=5,0040011,Avon School District
Avon School District,Albanian,<=5,<=5,0040011,Avon School District
Avon School District,Arabic,7,<=5,0040011,Avon School District
Avon School District,Assyrian,<=5,<=5,0040011,Avon School District
Avon School District,Bengali,<=5,<=5,0040011,Avon School District
Avon School District,Danish,<=5,<=5,0040011,Avon School District
Avon School District,French,<=5,<=5,0040011,Avon School District
Avon School District,German,10,<=5,0040011,Avon School District
Avon School District,Gujarati,6,<=5,0040011,Avon School District
Avon School District,Hindi,16,<=5,0040011,Avon School District
Avon School District,Japanese,11,8,0040011,Avon School District
Avon School District,Kannada,<=5,<=5,0040011,Avon School District
Avon School District,Korean,27,7,0040011,Avon School District
Avon School District,Malayalam,<=5,<=5,0040011,Avon School District
Avon School District,Marathi,<=5,<=5,0040011,Avon School District
Avon School District,Rumanian,<=5,<=5,0040011,Avon School District
Avon School District,Russian,23,8,0040011,Avon School District
Avon School District,Gaelic-Scottish,<=5,<=5,0040011,Avon School District
Avon School District,Slovak,<=5,<=5,0040011,Avon School District
Avon School District,Tamil,20,<=5,0040011,Avon School District
Avon School District,Telugu,21,<=5,0040011,Avon School District
Avon School District,Turkish,<=5,<=5,0040011,Avon School District
Avon School District,Twi/Fante,<=5,<=5,0040011,Avon School District
Avon School District,Ukrainian,<=5,<=5,0040011,Avon School District
Avon School District,Urdu,<=5,<=5,0040011,Avon School District
Avon School District,Vietnamese,<=5,<=5,0040011,Avon School District
Avon School District,Taiwanese,<=5,<=5,0040011,Avon School District
Avon School District,Cantonese,9,<=5,0040011,Avon School District
Avon School District,Mandarin,32,11,0040011,Avon School District
Avon School District,Tulu,<=5,<=5,0040011,Avon School District
Avon School District,Persian,<=5,<=5,0040011,Avon School District
Barkhamsted School District,Greek,<=5,<=5,0050011,Barkhamsted School District
Barkhamsted School District,Thai,<=5,<=5,0050011,Barkhamsted School District
Berlin School District,Spanish,37,18,0070011,Berlin School District
Berlin School District,Portuguese,6,<=5,0070011,Berlin School District
Berlin School District,Lao,<=5,<=5,0070011,Berlin School District
Berlin School District,Italian,<=5,<=5,0070011,Berlin School District
Berlin School District,Polish,109,21,0070011,Berlin School District
Berlin School District,Greek,<=5,<=5,0070011,Berlin School District
Berlin School District,Albanian,<=5,<=5,0070011,Berlin School District
Berlin School District,Arabic,10,<=5,0070011,Berlin School District
Berlin School District,Armenian,<=5,<=5,0070011,Berlin School District
Berlin School District,Assyrian,<=5,<=5,0070011,Berlin School District
Berlin School District,French,<=5,<=5,0070011,Berlin School District
Berlin School District,German,<=5,<=5,0070011,Berlin School District
Berlin School District,Gujarati,25,<=5,0070011,Berlin School District
Berlin School District,Hungarian,<=5,<=5,0070011,Berlin School District
Berlin School District,Marathi,<=5,<=5,0070011,Berlin School District
Berlin School District,Russian,<=5,<=5,0070011,Berlin School District
Berlin School District,Serbo-Croatian,<=5,<=5,0070011,Berlin School District
Berlin School District,Thai,<=5,<=5,0070011,Berlin School District
Berlin School District,Turkish,<=5,<=5,0070011,Berlin School District
Berlin School District,Ukrainian,<=5,<=5,0070011,Berlin School District
Berlin School District,Urdu,11,<=5,0070011,Berlin School District
Berlin School District,Yoruba,<=5,<=5,0070011,Berlin School District
Berlin School District,Vietnamese,6,<=5,0070011,Berlin School District
Berlin School District,Mandarin,9,<=5,0070011,Berlin School District
Berlin School District,Tagalog,<=5,<=5,0070011,Berlin School District
Bethany School District,Polish,<=5,<=5,0080011,Bethany School District
Bethany School District,Albanian,<=5,<=5,0080011,Bethany School District
Bethany School District,Japanese,<=5,<=5,0080011,Bethany School District
Bethany School District,Korean,<=5,<=5,0080011,Bethany School District
Bethany School District,Pilipino (Filipino),<=5,<=5,0080011,Bethany School District
Bethany School District,Ukrainian,<=5,<=5,0080011,Bethany School District
Bethel School District,Spanish,120,46,0090011,Bethel School District
Bethel School District,Portuguese,59,30,0090011,Bethel School District
Bethel School District,Lao,<=5,<=5,0090011,Bethel School District
Bethel School District,Khmer(Cambodian),<=5,<=5,0090011,Bethel School District
Bethel School District,Polish,<=5,<=5,0090011,Bethel School District
Bethel School District,Albanian,<=5,<=5,0090011,Bethel School District
Bethel School District,Arabic,<=5,<=5,0090011,Bethel School District
Bethel School District,Bengali,<=5,<=5,0090011,Bethel School District
Bethel School District,Gujarati,<=5,<=5,0090011,Bethel School District
Bethel School District,Hindi,<=5,<=5,0090011,Bethel School District
Bethel School District,Japanese,<=5,<=5,0090011,Bethel School District
Bethel School District,Punjabi,<=5,<=5,0090011,Bethel School District
Bethel School District,Russian,6,<=5,0090011,Bethel School District
Bethel School District,Serbo-Croatian,<=5,<=5,0090011,Bethel School District
Bethel School District,Tamil,<=5,<=5,0090011,Bethel School District
Bethel School District,Telugu,<=5,<=5,0090011,Bethel School District
Bethel School District,Thai,<=5,<=5,0090011,Bethel School District
Bethel School District,Urdu,6,<=5,0090011,Bethel School District
Bethel School District,Vietnamese,13,<=5,0090011,Bethel School District
Bethel School District,Cantonese,6,<=5,0090011,Bethel School District
Bethel School District,Mandarin,<=5,<=5,0090011,Bethel School District
Bloomfield School District,Spanish,34,19,0110011,Bloomfield School District
Bloomfield School District,Portuguese,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Albanian,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Arabic,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Bengali,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,French,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Creole-Haitian,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Hausa,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Tamil,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Telugu,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Twi/Fante,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Urdu,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Yoruba,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Samoan,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Cantonese,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Ewe,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Mandarin,<=5,<=5,0110011,Bloomfield School District
Bloomfield School District,Patois,8,<=5,0110011,Bloomfield School District
Bolton School District,Spanish,<=5,<=5,0120011,Bolton School District
Bolton School District,Polish,<=5,<=5,0120011,Bolton School District
Bolton School District,Bulgarian,<=5,<=5,0120011,Bolton School District
Bolton School District,Gujarati,<=5,<=5,0120011,Bolton School District
Bolton School District,Korean,<=5,<=5,0120011,Bolton School District
Bolton School District,Ukrainian,<=5,<=5,0120011,Bolton School District
Bolton School District,Tibetan,<=5,<=5,0120011,Bolton School District
Bozrah School District,Spanish,<=5,<=5,0130011,Bozrah School District
Bozrah School District,Armenian,<=5,<=5,0130011,Bozrah School District
Branford School District,Spanish,81,38,0140011,Branford School District
Branford School District,Portuguese,<=5,<=5,0140011,Branford School District
Branford School District,Italian,6,<=5,0140011,Branford School District
Branford School District,Polish,<=5,<=5,0140011,Branford School District
Branford School District,Albanian,<=5,<=5,0140011,Branford School District
Branford School District,Arabic,16,9,0140011,Branford School District
Branford School District,Bengali,<=5,<=5,0140011,Branford School District
Branford School District,French,<=5,<=5,0140011,Branford School District
Branford School District,Ganda,<=5,<=5,0140011,Branford School District
Branford School District,German,<=5,<=5,0140011,Branford School District
Branford School District,Gujarati,14,7,0140011,Branford School District
Branford School District,Hindi,<=5,<=5,0140011,Branford School District
Branford School District,Japanese,<=5,<=5,0140011,Branford School District
Branford School District,Kannada,<=5,<=5,0140011,Branford School District
Branford School District,Korean,11,<=5,0140011,Branford School District
Branford School District,Malayalam,<=5,<=5,0140011,Branford School District
Branford School District,Marathi,<=5,<=5,0140011,Branford School District
Branford School District,Punjabi,9,<=5,0140011,Branford School District
Branford School District,Russian,<=5,<=5,0140011,Branford School District
Branford School District,Serbo-Croatian,13,<=5,0140011,Branford School District
Branford School District,Sindhi,<=5,<=5,0140011,Branford School District
Branford School District,Pilipino (Filipino),<=5,<=5,0140011,Branford School District
Branford School District,Tamil,<=5,<=5,0140011,Branford School District
Branford School District,Telugu,<=5,<=5,0140011,Branford School District
Branford School District,Thai,7,<=5,0140011,Branford School District
Branford School District,Turkish,6,<=5,0140011,Branford School District
Branford School District,Urdu,17,6,0140011,Branford School District
Branford School District,Vietnamese,14,7,0140011,Branford School District
Branford School District,Nepali,31,11,0140011,Branford School District
Branford School District,Cantonese,<=5,<=5,0140011,Branford School District
Branford School District,Mandarin,20,<=5,0140011,Branford School District
Branford School District,Fujianese,<=5,<=5,0140011,Branford School District
Branford School District,Tagalog,<=5,<=5,0140011,Branford School District
Bridgeport School District,Spanish,6303,2421,0150011,Bridgeport School District
Bridgeport School District,Portuguese,584,155,0150011,Bridgeport School District
Bridgeport School District,Lao,28,<=5,0150011,Bridgeport School District
Bridgeport School District,Khmer(Cambodian),52,7,0150011,Bridgeport School District
Bridgeport School District,Italian,7,<=5,0150011,Bridgeport School District
Bridgeport School District,Polish,13,<=5,0150011,Bridgeport School District
Bridgeport School District,Greek,6,<=5,0150011,Bridgeport School District
Bridgeport School District,Afrikaans,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Albanian,27,8,0150011,Bridgeport School District
Bridgeport School District,Arabic,62,19,0150011,Bridgeport School District
Bridgeport School District,Benba,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Bengali,95,37,0150011,Bridgeport School District
Bridgeport School District,Farsi,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,French,92,31,0150011,Bridgeport School District
Bridgeport School District,Ganda,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,German,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Gujarati,25,7,0150011,Bridgeport School District
Bridgeport School District,Creole-Haitian,402,128,0150011,Bridgeport School District
Bridgeport School District,Hausa,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Hindi,7,<=5,0150011,Bridgeport School District
Bridgeport School District,Hungarian,6,<=5,0150011,Bridgeport School District
Bridgeport School District,Japanese,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Korean,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Lithuanian,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Malay(Indonesian),<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Malayalam,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Pashto,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Punjabi,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Akan,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Rumanian,7,<=5,0150011,Bridgeport School District
Bridgeport School District,Russian,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Serbo-Croatian,9,<=5,0150011,Bridgeport School District
Bridgeport School District,Shona,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Slovak,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Somali,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Swahili,12,8,0150011,Bridgeport School District
Bridgeport School District,Pilipino (Filipino),6,<=5,0150011,Bridgeport School District
Bridgeport School District,Tamil,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Telugu,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Thai,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Tigrinya,8,7,0150011,Bridgeport School District
Bridgeport School District,Turkish,20,6,0150011,Bridgeport School District
Bridgeport School District,Twi/Fante,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Ukrainian,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Urdu,18,<=5,0150011,Bridgeport School District
Bridgeport School District,Yoruba,6,<=5,0150011,Bridgeport School District
Bridgeport School District,Vietnamese,131,34,0150011,Bridgeport School District
Bridgeport School District,Amharic,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Igbo,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Creole-Cape Verdean,27,9,0150011,Bridgeport School District
Bridgeport School District,Nepali,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Zulu,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Ashanti,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Bangla,15,<=5,0150011,Bridgeport School District
Bridgeport School District,Cantonese,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Ewe,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Kinyarwanda,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Kurdish,43,26,0150011,Bridgeport School District
Bridgeport School District,Lingala,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Mandarin,21,6,0150011,Bridgeport School District
Bridgeport School District,Visayan,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Wolof,<=5,<=5,0150011,Bridgeport School District
Bridgeport School District,Persian,<=5,<=5,0150011,Bridgeport School District
