drg,district_code,district,type,amount,year,pct,state_pct,school_code
,2880013,Achievement First Hartford Academy Inc. District,Instructional Staff and Services,3797374.0,2010-11,0.533701092173,0.555348246945,2880013
,2790013,Amistad Academy District,Instructional Staff and Services,5124861.0,2010-11,0.451054903012,0.555348246945,2790013
C,0010011,Andover School District,Instructional Staff and Services,2668054.0,2010-11,0.614452609344,0.555348246945,0010011
H,0020011,Ansonia School District,Instructional Staff and Services,17155560.0,2010-11,0.544189677742,0.555348246945,0020011
E,0030011,Ashford School District,Instructional Staff and Services,4523087.0,2010-11,0.629654646012,0.555348246945,0030011
B,0040011,Avon School District,Instructional Staff and Services,26598773.0,2010-11,0.581405052416,0.555348246945,0040011
C,0050011,Barkhamsted School District,Instructional Staff and Services,2513004.0,2010-11,0.646144684755,0.555348246945,0050011
D,0070011,Berlin School District,Instructional Staff and Services,22155615.0,2010-11,0.523111859437,0.555348246945,0070011
C,0080011,Bethany School District,Instructional Staff and Services,4022479.0,2010-11,0.589931643835,0.555348246945,0080011
D,0090011,Bethel School District,Instructional Staff and Services,24276902.0,2010-11,0.570917790799,0.555348246945,0090011
G,0110011,Bloomfield School District,Instructional Staff and Services,22290689.0,2010-11,0.514241096689,0.555348246945,0110011
C,0120011,Bolton School District,Instructional Staff and Services,7380262.0,2010-11,0.569867833192,0.555348246945,0120011
,2950013,Booker T. Washington Academy District,Instructional Staff and Services,,2010-11,,0.555348246945,2950013
E,0130011,Bozrah School District,Instructional Staff and Services,2230586.0,2010-11,0.532930897022,0.555348246945,0130011
D,0140011,Branford School District,Instructional Staff and Services,29515869.0,2010-11,0.579719424845,0.555348246945,0140011
,2900013,Brass City Charter School District,Instructional Staff and Services,,2010-11,,0.555348246945,2900013
,2850013,Bridgeport Achievement First District,Instructional Staff and Services,2184618.0,2010-11,0.393639120984,0.555348246945,2850013
I,0150011,Bridgeport School District,Instructional Staff and Services,177852907.0,2010-11,0.614185710631,0.555348246945,0150011
G,0170011,Bristol School District,Instructional Staff and Services,65291611.0,2010-11,0.587587952205,0.555348246945,0170011
B,0180011,Brookfield School District,Instructional Staff and Services,23070966.0,2010-11,0.609823020751,0.555348246945,0180011
E,0190011,Brooklyn School District,Instructional Staff and Services,7453096.0,2010-11,0.604672754801,0.555348246945,0190011
E,0210011,Canaan School District,Instructional Staff and Services,1339639.0,2010-11,0.621233164798,0.555348246945,0210011
F,0220011,Canterbury School District,Instructional Staff and Services,4599938.0,2010-11,0.510046046691,0.555348246945,0220011
C,0230011,Canton School District,Instructional Staff and Services,11856616.0,2010-11,0.498212206111,0.555348246945,0230011
E,0240011,Chaplin School District,Instructional Staff and Services,1967652.0,2010-11,0.5820071202,0.555348246945,0240011
,,Charter School for Young Children on Asylum Hill District,Instructional Staff and Services,1781595.0,2010-11,0.552401041305,0.555348246945,
B,0250011,Cheshire School District,Instructional Staff and Services,36182060.0,2010-11,0.577489748066,0.555348246945,0250011
E,0260011,Chester School District,Instructional Staff and Services,2415990.0,2010-11,0.551974585303,0.555348246945,0260011
D,0270011,Clinton School District,Instructional Staff and Services,19165924.0,2010-11,0.61558061726,0.555348246945,0270011
D,0280011,Colchester School District,Instructional Staff and Services,22105615.0,2010-11,0.583088544511,0.555348246945,0280011
E,0290011,Colebrook School District,Instructional Staff and Services,1113986.0,2010-11,0.588812423358,0.555348246945,0290011
C,0300011,Columbia School District,Instructional Staff and Services,4022799.0,2010-11,0.44379898112,0.555348246945,0300011
,2680013,Common Ground High School District,Instructional Staff and Services,1017957.0,2010-11,0.441993500945,0.555348246945,2680013
C,0310011,Cornwall School District,Instructional Staff and Services,1598146.0,2010-11,0.539782890648,0.555348246945,0310011
E,0320011,Coventry School District,Instructional Staff and Services,15363830.0,2010-11,0.588318996952,0.555348246945,0320011
D,0330011,Cromwell School District,Instructional Staff and Services,16783007.0,2010-11,0.599700046477,0.555348246945,0330011
H,0340011,Danbury School District,Instructional Staff and Services,85003933.0,2010-11,0.659147227796,0.555348246945,0340011
A,0350011,Darien School District,Instructional Staff and Services,50062528.0,2010-11,0.644683436303,0.555348246945,0350011
E,0360011,Deep River School District,Instructional Staff and Services,2820864.0,2010-11,0.515876447029,0.555348246945,0360011
