district,school,race,count,pct_of_total,year,school_code,check_sch_col,check_dist_col
Amistad Academy District,Amistad Academy,American Indian,1,5.0,2002-03,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,Black or African American,3,15.0,2002-03,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,Hispanic,2,10.0,2002-03,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,White,14,70.0,2002-03,2795113,Amistad Academy,Amistad Academy District
Andover School District,Andover Elementary School,White,33,100.0,2002-03,0010111,Andover Elementary School,Andover School District
Ansonia School District,Ansonia High School,Black or African American,1,2.0,2002-03,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Hispanic,1,2.0,2002-03,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,White,48,96.0,2002-03,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia Middle School,Black or African American,4,8.9,2002-03,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,White,41,91.1,2002-03,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Mead School,Black or African American,1,2.6,2002-03,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,White,37,94.9,2002-03,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Asian,1,2.6,2002-03,0020311,Mead School,Ansonia School District
Ansonia School District,Prendergast School,White,47,100.0,2002-03,0020811,Prendergast School,Ansonia School District
Area Cooperative Educational Services,A. C. E. S. Special Education Town Campus Learning Center,Black or African American,4,2.9,2002-03,,,
Area Cooperative Educational Services,A. C. E. S. Special Education Town Campus Learning Center,Hispanic,2,1.4,2002-03,,,
Area Cooperative Educational Services,A. C. E. S. Special Education Town Campus Learning Center,White,132,95.7,2002-03,,,
Area Cooperative Educational Services,Collaborative Alternative Magnet School,Black or African American,1,7.7,2002-03,,,
Area Cooperative Educational Services,Collaborative Alternative Magnet School,Hispanic,1,7.7,2002-03,,,
Area Cooperative Educational Services,Collaborative Alternative Magnet School,White,11,84.6,2002-03,,,
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Black or African American,6,8.2,2002-03,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Hispanic,4,5.5,2002-03,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,White,63,86.3,2002-03,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Black or African American,4,7.1,2002-03,,,
Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Hispanic,2,3.6,2002-03,,,
Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,White,50,89.3,2002-03,,,
Ashford School District,Ashford School,White,49,100.0,2002-03,0030111,Ashford School,Ashford School District
Avon School District,Avon High School,White,78,100.0,2002-03,0046111,Avon High School,Avon School District
Avon School District,Avon Middle School,White,56,100.0,2002-03,0045111,Avon Middle School,Avon School District
Avon School District,Pine Grove School,White,47,100.0,2002-03,0040411,Pine Grove School,Avon School District
Avon School District,Roaring Brook School,White,52,100.0,2002-03,0040311,Roaring Brook School,Avon School District
Avon School District,Thompson Brook School,Black or African American,1,2.3,2002-03,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,White,43,97.7,2002-03,0040511,Thompson Brook School,Avon School District
Barkhamsted School District,Barkhamsted Elementary School,White,32,100.0,2002-03,0050111,Barkhamsted Elementary School,Barkhamsted School District
Berlin School District,Berlin High School,Hispanic,2,2.2,2002-03,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,White,90,97.8,2002-03,0076111,Berlin High School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,White,71,98.6,2002-03,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Asian,1,1.4,2002-03,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Emma Hart Willard School,White,50,100.0,2002-03,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Mary E. Griswold School,Black or African American,1,2.1,2002-03,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,White,46,97.9,2002-03,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Richard D. Hubbard School,White,27,100.0,2002-03,0070111,Richard D. Hubbard School,Berlin School District
Bethany School District,Bethany Community School,White,47,100.0,2002-03,0080111,Bethany Community School,Bethany School District
Bethel School District,Anna H. Rockwell School,Black or African American,1,2.7,2002-03,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,White,36,97.3,2002-03,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Bethel High School,White,71,100.0,2002-03,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel Middle School,Hispanic,2,2.7,2002-03,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,White,72,97.3,2002-03,0095111,Bethel Middle School,Bethel School District
Bethel School District,Frank A. Berry School,Black or African American,1,2.4,2002-03,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Hispanic,1,2.4,2002-03,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,White,39,95.1,2002-03,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,White,47,100.0,2002-03,0090511,Ralph M. T. Johnson School,Bethel School District
Bloomfield School District,Bloomfield High School,Black or African American,17,22.7,2002-03,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,Hispanic,2,2.7,2002-03,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,White,54,72.0,2002-03,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,Asian,2,2.7,2002-03,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Carmen Arace Middle School,Black or African American,21,29.6,2002-03,0115211,Carmen Arace Middle School,Bloomfield School District
Bloomfield School District,Carmen Arace Middle School,White,49,69.0,2002-03,0115211,Carmen Arace Middle School,Bloomfield School District
Bloomfield School District,Carmen Arace Middle School,Asian,1,1.4,2002-03,0115211,Carmen Arace Middle School,Bloomfield School District
Bloomfield School District,J. P. Vincent School,Black or African American,8,21.1,2002-03,,,
Bloomfield School District,J. P. Vincent School,Hispanic,1,2.6,2002-03,,,
Bloomfield School District,J. P. Vincent School,White,29,76.3,2002-03,,,
Bloomfield School District,Laurel School,Black or African American,5,16.7,2002-03,0110611,Laurel School,Bloomfield School District
Bloomfield School District,Laurel School,White,25,83.3,2002-03,0110611,Laurel School,Bloomfield School District
Bloomfield School District,Metacomet School,Black or African American,6,22.2,2002-03,0110511,Metacomet School,Bloomfield School District
Bloomfield School District,Metacomet School,White,21,77.8,2002-03,0110511,Metacomet School,Bloomfield School District
Bolton School District,Bolton Center School,Hispanic,1,1.5,2002-03,0120111,Bolton Center School,Bolton School District
Bolton School District,Bolton Center School,White,65,97.0,2002-03,0120111,Bolton Center School,Bolton School District
Bolton School District,Bolton Center School,Asian,1,1.5,2002-03,0120111,Bolton Center School,Bolton School District
Bolton School District,Bolton High School,White,35,100.0,2002-03,0126111,Bolton High School,Bolton School District
Bozrah School District,Fields Memorial School,Hispanic,1,3.6,2002-03,0130111,Fields Memorial School,Bozrah School District
Bozrah School District,Fields Memorial School,White,27,96.4,2002-03,0130111,Fields Memorial School,Bozrah School District
Branford School District,Branford High School,Black or African American,1,1.0,2002-03,0146111,Branford High School,Branford School District
Branford School District,Branford High School,Hispanic,3,3.0,2002-03,0146111,Branford High School,Branford School District
Branford School District,Branford High School,White,97,96.0,2002-03,0146111,Branford High School,Branford School District
Branford School District,Francis Walsh Intermediate School,White,100,99.0,2002-03,0145111,Francis Walsh Intermediate School,Branford School District
Branford School District,Francis Walsh Intermediate School,Asian,1,1.0,2002-03,0145111,Francis Walsh Intermediate School,Branford School District
Branford School District,Indian Neck School,White,5,100.0,2002-03,0148011,Indian Neck School,Branford School District
Branford School District,John B. Sliney School,Black or African American,1,2.9,2002-03,0141611,John B. Sliney School,Branford School District
Branford School District,John B. Sliney School,White,34,97.1,2002-03,0141611,John B. Sliney School,Branford School District
Branford School District,Mary R. Tisko School,White,38,100.0,2002-03,0141511,Mary R. Tisko School,Branford School District
Branford School District,Mary T. Murphy School,Black or African American,1,2.5,2002-03,0141411,Mary T. Murphy School,Branford School District
Branford School District,Mary T. Murphy School,White,39,97.5,2002-03,0141411,Mary T. Murphy School,Branford School District
Bridgeport School District,Barnum School,Black or African American,3,8.1,2002-03,0150111,Barnum School,Bridgeport School District
Bridgeport School District,Barnum School,Hispanic,10,27.0,2002-03,0150111,Barnum School,Bridgeport School District
Bridgeport School District,Barnum School,White,23,62.2,2002-03,0150111,Barnum School,Bridgeport School District
