drg,year,total,school,grade_4,district,grade_8,pre_kindergarten,kindergarten,grade_12,grade_11,grade_10,grade_9,district_code,grade_7,grade_6,grade_5,school_code,grade_3,grade_2,grade_1
A,2007-08,30362.0,,2415.0,,2377.0,383.0,1922.0,1668.0,2235.0,2221.0,2351.0,51470485,2058.0,2403.0,2339.0,51584585,2372.0,2297.0,2257.0
A,2008-09,30470.0,,2181.0,,2420.0,401.0,2012.0,2232.0,2182.0,2316.0,2329.0,51470485,2402.0,2394.0,2391.0,51584585,2413.0,2185.0,2212.0
A,2009-10,30244.0,,2420.0,,2410.0,401.0,2015.0,2194.0,2253.0,2293.0,2395.0,51470485,2386.0,2415.0,2283.0,51584585,2234.0,2202.0,2226.0
A,2010-11,30319.0,,2354.0,,2377.0,424.0,2063.0,2261.0,2265.0,2358.0,2384.0,51040485,2412.0,2040.0,2397.0,51162985,2211.0,2275.0,2120.0
A,2011-12,30137.0,,2250.0,,2400.0,398.0,1932.0,2260.0,2323.0,2348.0,2341.0,51040485,2423.0,2443.0,2360.0,51162985,2324.0,2193.0,2142.0
A,2012-13,30020.0,,2320.0,,2419.0,380.0,1936.0,2294.0,2326.0,2160.0,2386.0,51040485,2440.0,2405.0,2251.0,51162985,2257.0,2200.0,2009.0
A,2013-14,29884.0,,2295.0,,2443.0,349.0,1846.0,2297.0,2130.0,2367.0,2428.0,51040485,2421.0,2288.0,2407.0,51162985,2270.0,2082.0,2040.0
A,2014-15,29639.0,,2317.0,,2385.0,388.0,1851.0,2294.0,2317.0,2396.0,2397.0,53830507,2297.0,2444.0,2276.0,53961107,2161.0,2110.0,1943.0
A,2015-16,29202.0,,2186.0,,2307.0,371.0,1751.0,2335.0,2346.0,2361.0,2343.0,63290584,2441.0,2298.0,2326.0,63424784,2160.0,2021.0,1930.0
A,2016-17,28774.0,,2209.0,,2444.0,348.0,1790.0,2346.0,2310.0,2322.0,2272.0,61680573,2288.0,2324.0,2179.0,61815673,2067.0,1947.0,1853.0
B,2007-08,100227.0,,7733.0,,7905.0,1442.0,6457.0,7666.0,7617.0,7914.0,7820.0,143441748,7918.0,7821.0,7688.0,143813548,7286.0,7364.0,7255.0
B,2008-09,99653.0,,7495.0,,7961.0,1484.0,6554.0,7569.0,7764.0,7763.0,7872.0,147511781,7989.0,7602.0,7745.0,147909781,7379.0,7259.0,6904.0
B,2009-10,99188.0,,7531.0,,8019.0,1490.0,6312.0,7781.0,7690.0,7762.0,7973.0,147301781,7505.0,7717.0,7489.0,147700681,7411.0,7005.0,6846.0
B,2010-11,98243.0,,7465.0,,7883.0,1558.0,5910.0,7722.0,7696.0,7913.0,7938.0,147301781,7843.0,7538.0,7454.0,147700681,7092.0,7050.0,6924.0
B,2011-12,96701.0,,7164.0,,7858.0,1514.0,5614.0,7684.0,7820.0,7806.0,7764.0,148971792,7611.0,7460.0,7507.0,149388292,7192.0,6936.0,6478.0
B,2012-13,95237.0,,7277.0,,7681.0,1478.0,5687.0,7780.0,7758.0,7695.0,7691.0,148621792,7579.0,7381.0,7197.0,149047292,7054.0,6588.0,6345.0
B,2013-14,93537.0,,7098.0,,7585.0,1510.0,5753.0,7759.0,7626.0,7518.0,7489.0,149161803,7499.0,7115.0,7357.0,149587403,6637.0,6424.0,6021.0
B,2014-15,91866.0,,6770.0,,7513.0,1514.0,5447.0,7606.0,7446.0,7349.0,7452.0,169012056,7215.0,7321.0,7189.0,169487056,6578.0,6262.0,5960.0
B,2015-16,90509.0,,6686.0,,7267.0,1554.0,5394.0,7457.0,7377.0,7314.0,7417.0,165752002,7381.0,7205.0,6750.0,166222402,6379.0,6160.0,5673.0
B,2016-17,90005.0,,6593.0,,7417.0,1668.0,5523.0,7476.0,7309.0,7317.0,7169.0,169482024,7346.0,6882.0,6869.0,169944924,6436.0,5980.0,5729.0
C,2007-08,39604.0,,3016.0,,3254.0,740.0,2481.0,2717.0,2804.0,2903.0,3061.0,126501032,3248.0,2954.0,3043.0,126766732,3038.0,2951.0,2902.0
C,2008-09,39648.0,,3050.0,,3241.0,792.0,2700.0,2794.0,2872.0,2981.0,3069.0,128571044,3321.0,3046.0,3018.0,128846144,2993.0,2947.0,2781.0
C,2009-10,39536.0,,3003.0,,3341.0,884.0,2422.0,2855.0,2960.0,2996.0,3069.0,128571044,3126.0,3048.0,2938.0,128846144,2983.0,2807.0,2801.0
C,2010-11,39252.0,,3021.0,,3127.0,859.0,2514.0,2907.0,2997.0,3035.0,3128.0,127651033,3141.0,3090.0,3033.0,127917133,2835.0,2870.0,2652.0
C,2011-12,38335.0,,2854.0,,3122.0,793.0,2240.0,2974.0,3018.0,3044.0,2897.0,127651033,3114.0,3034.0,3041.0,127917133,2884.0,2645.0,2572.0
C,2012-13,37514.0,,2931.0,,3106.0,826.0,2142.0,3046.0,3017.0,2844.0,2904.0,129731045,3079.0,3006.0,2875.0,130003345,2478.0,2596.0,2386.0
