drg,year,white_not_of_hispanic_origin,asian,total,hispanic_latino_of_any_race,district,oth_total,other,black,not_reported,white,oth_tot_check,tot_check,native_hawaiian_or_other_pacific_islander,two_or_more_races,hispanic_latino,black_not_of_hispanic_origin,district_code,school_code,black_or_african_american,school,american_indian,american_indian_or_alaska_native,hispanic
A,2007-08,28175.0,1059.0,30362.0,0.0,,331.0,7.0,150.0,0.0,28175.0,0.0,324.0,0.0,0.0,647.0,150.0,51470485,51584585,0.0,,7.0,0.0,647.0
A,2008-09,28203.0,1106.0,30470.0,0.0,,340.0,6.0,148.0,0.0,28203.0,0.0,334.0,0.0,0.0,673.0,148.0,51470485,51584585,0.0,,6.0,0.0,673.0
A,2009-10,27851.0,1175.0,30244.0,0.0,,373.0,7.0,141.0,0.0,27851.0,0.0,366.0,0.0,0.0,704.0,141.0,51470485,51584585,0.0,,7.0,0.0,704.0
A,2010-11,0.0,1277.0,30319.0,1017.0,,561.0,229.0,173.0,0.0,27291.0,0.0,332.0,0.0,229.0,0.0,0.0,51040485,51162985,173.0,,0.0,0.0,1017.0
A,2011-12,0.0,1322.0,30137.0,972.0,,695.0,316.0,188.0,0.0,26960.0,0.0,379.0,0.0,316.0,0.0,0.0,51040485,51162985,188.0,,0.0,0.0,972.0
A,2012-13,0.0,1423.0,30020.0,1095.0,,662.0,334.0,214.0,0.0,26626.0,0.0,328.0,0.0,334.0,0.0,0.0,51040485,51162985,214.0,,0.0,0.0,1095.0
A,2013-14,0.0,1475.0,29884.0,1133.0,,858.0,487.0,201.0,0.0,26217.0,0.0,371.0,0.0,481.0,0.0,0.0,51040485,51162985,201.0,,0.0,6.0,1133.0
A,2014-15,0.0,1606.0,29639.0,1240.0,,937.0,515.0,188.0,0.0,25668.0,0.0,422.0,0.0,506.0,0.0,0.0,53830507,53961107,188.0,,0.0,9.0,1240.0
A,2015-16,0.0,1671.0,29202.0,1310.0,,1076.0,672.0,174.0,0.0,24971.0,0.0,404.0,0.0,672.0,0.0,0.0,63290584,63424784,174.0,,0.0,0.0,1310.0
A,2016-17,0.0,1742.0,28774.0,1321.0,,1185.0,828.0,203.0,0.0,24323.0,0.0,357.0,0.0,828.0,0.0,0.0,61680573,61815673,203.0,,0.0,0.0,1321.0
B,2007-08,84586.0,5554.0,100227.0,0.0,,2562.0,7.0,2328.0,0.0,84586.0,0.0,2555.0,0.0,0.0,5197.0,2328.0,143441748,143813548,0.0,,7.0,0.0,5197.0
B,2008-09,83405.0,5961.0,99653.0,0.0,,2808.0,9.0,2211.0,0.0,83405.0,0.0,2799.0,0.0,0.0,5268.0,2211.0,147511781,147909781,0.0,,9.0,0.0,5268.0
B,2009-10,82335.0,6582.0,99188.0,0.0,,2604.0,31.0,2161.0,0.0,82335.0,0.0,2573.0,0.0,0.0,5506.0,2161.0,147301781,147700681,0.0,,31.0,0.0,5506.0
B,2010-11,0.0,6494.0,98243.0,7213.0,,2595.0,1127.0,2806.0,0.0,79135.0,0.0,1468.0,9.0,1099.0,0.0,0.0,147301781,147700681,2806.0,,0.0,19.0,7213.0
B,2011-12,0.0,6661.0,96701.0,7453.0,,2655.0,1126.0,2731.0,0.0,77201.0,0.0,1529.0,9.0,1105.0,0.0,0.0,148971792,149388292,2731.0,,0.0,12.0,7453.0
B,2012-13,0.0,6997.0,95237.0,7740.0,,2824.0,1249.0,2668.0,0.0,75008.0,0.0,1575.0,0.0,1249.0,0.0,0.0,148621792,149047292,2668.0,,0.0,0.0,7740.0
B,2013-14,0.0,7236.0,93537.0,7809.0,,2940.0,1596.0,2735.0,0.0,72817.0,0.0,1344.0,0.0,1589.0,0.0,0.0,149161803,149587403,2735.0,,0.0,7.0,7809.0
B,2014-15,0.0,7464.0,91866.0,7980.0,,3252.0,1680.0,2712.0,0.0,70458.0,0.0,1572.0,0.0,1680.0,0.0,0.0,169012056,169487056,2712.0,,0.0,0.0,7980.0
B,2015-16,0.0,7672.0,90509.0,8276.0,,3355.0,1974.0,2896.0,0.0,68310.0,0.0,1381.0,0.0,1974.0,0.0,0.0,165752002,166222402,2896.0,,0.0,0.0,8276.0
B,2016-17,0.0,7944.0,90005.0,8796.0,,3719.0,2182.0,2853.0,0.0,66693.0,0.0,1537.0,0.0,2182.0,0.0,0.0,169482024,169944924,2853.0,,0.0,0.0,8796.0
C,2007-08,36823.0,826.0,39604.0,0.0,,896.0,10.0,432.0,0.0,36823.0,0.0,886.0,0.0,0.0,627.0,432.0,126501032,126766732,0.0,,10.0,0.0,627.0
C,2008-09,36852.0,901.0,39648.0,0.0,,758.0,7.0,439.0,0.0,36852.0,0.0,751.0,0.0,0.0,698.0,439.0,128571044,128846144,0.0,,7.0,0.0,698.0
C,2009-10,36482.0,917.0,39536.0,0.0,,906.0,6.0,463.0,0.0,36482.0,0.0,900.0,0.0,0.0,768.0,463.0,128571044,128846144,0.0,,6.0,0.0,768.0
C,2010-11,0.0,838.0,39252.0,1189.0,,1121.0,275.0,454.0,0.0,35650.0,0.0,846.0,0.0,275.0,0.0,0.0,127651033,127917133,454.0,,0.0,0.0,1189.0
C,2011-12,0.0,912.0,38335.0,1305.0,,976.0,331.0,389.0,0.0,34753.0,0.0,645.0,0.0,331.0,0.0,0.0,127651033,127917133,389.0,,0.0,0.0,1305.0
C,2012-13,0.0,929.0,37514.0,1406.0,,1017.0,370.0,434.0,0.0,33728.0,0.0,647.0,0.0,370.0,0.0,0.0,129731045,130003345,434.0,,0.0,0.0,1406.0
C,2013-14,0.0,934.0,36301.0,1356.0,,1089.0,378.0,495.0,0.0,32427.0,0.0,711.0,6.0,372.0,0.0,0.0,125491021,125744421,495.0,,0.0,0.0,1356.0
C,2014-15,0.0,910.0,35091.0,1396.0,,1099.0,386.0,506.0,0.0,31180.0,0.0,713.0,0.0,386.0,0.0,0.0,132561078,132800878,506.0,,0.0,0.0,1396.0
C,2015-16,0.0,963.0,34237.0,1498.0,,1026.0,410.0,529.0,0.0,30221.0,0.0,616.0,0.0,410.0,0.0,0.0,140901147,141142847,529.0,,0.0,0.0,1498.0
C,2016-17,0.0,979.0,33571.0,1603.0,,1161.0,368.0,550.0,0.0,29278.0,0.0,793.0,0.0,368.0,0.0,0.0,142101137,142342137,550.0,,0.0,0.0,1603.0
D,2007-08,72477.0,3728.0,87475.0,0.0,,2367.0,191.0,3733.0,0.0,72477.0,0.0,2176.0,0.0,0.0,5170.0,3733.0,149821705,150233305,0.0,,191.0,0.0,5170.0
D,2008-09,71002.0,3983.0,86303.0,0.0,,2166.0,215.0,3781.0,0.0,71002.0,0.0,1951.0,0.0,0.0,5371.0,3781.0,146351683,146765683,0.0,,215.0,0.0,5371.0
D,2009-10,69592.0,4118.0,85146.0,0.0,,2209.0,219.0,3701.0,0.0,69592.0,0.0,1990.0,0.0,0.0,5526.0,3701.0,147311694,147734694,0.0,,219.0,0.0,5526.0
D,2010-11,0.0,4243.0,83542.0,6571.0,,2261.0,760.0,3751.0,0.0,66716.0,0.0,1501.0,0.0,618.0,0.0,0.0,149431705,149872005,3751.0,,0.0,142.0,6571.0
D,2011-12,0.0,4167.0,81809.0,6786.0,,2452.0,923.0,3646.0,0.0,64758.0,0.0,1529.0,0.0,754.0,0.0,0.0,146871683,147303783,3646.0,,0.0,169.0,6786.0
D,2012-13,0.0,4400.0,80472.0,7025.0,,2432.0,1060.0,3642.0,0.0,62973.0,0.0,1372.0,0.0,894.0,0.0,0.0,145231672,145662772,3642.0,,0.0,166.0,7025.0
D,2013-14,0.0,4394.0,78708.0,7234.0,,2594.0,1159.0,3421.0,0.0,61065.0,0.0,1435.0,0.0,1032.0,0.0,0.0,147971694,148403094,3421.0,,0.0,127.0,7234.0
D,2014-15,0.0,4375.0,77248.0,7397.0,,2772.0,1290.0,3321.0,0.0,59383.0,0.0,1482.0,0.0,1174.0,0.0,0.0,167881892,168326192,3321.0,,0.0,116.0,7397.0
D,2015-16,0.0,4447.0,76368.0,7727.0,,3171.0,1637.0,3226.0,0.0,57797.0,0.0,1534.0,0.0,1526.0,0.0,0.0,183812024,184264124,3226.0,,0.0,111.0,7727.0
D,2016-17,0.0,4262.0,75296.0,8114.0,,3337.0,1721.0,3361.0,0.0,56222.0,0.0,1616.0,0.0,1633.0,0.0,0.0,193572123,194033523,3361.0,,0.0,88.0,8114.0
E,2007-08,24460.0,183.0,26159.0,0.0,,614.0,51.0,309.0,0.0,24460.0,0.0,563.0,0.0,0.0,593.0,309.0,83280814,83454814,0.0,,51.0,0.0,593.0
E,2008-09,23989.0,214.0,25674.0,0.0,,540.0,53.0,300.0,0.0,23989.0,0.0,487.0,0.0,0.0,631.0,300.0,84010825,84190825,0.0,,53.0,0.0,631.0
E,2009-10,23249.0,230.0,25091.0,0.0,,625.0,54.0,275.0,0.0,23249.0,0.0,571.0,0.0,0.0,712.0,275.0,84990836,85180036,0.0,,54.0,0.0,712.0
E,2010-11,0.0,135.0,24463.0,905.0,,991.0,330.0,162.0,0.0,22270.0,0.0,661.0,8.0,304.0,0.0,0.0,81940813,82121513,162.0,,0.0,18.0,905.0
E,2011-12,0.0,196.0,23560.0,927.0,,979.0,335.0,161.0,0.0,21297.0,0.0,644.0,8.0,310.0,0.0,0.0,80960802,81132502,161.0,,0.0,17.0,927.0
E,2012-13,0.0,229.0,22821.0,925.0,,898.0,341.0,171.0,0.0,20598.0,0.0,557.0,6.0,306.0,0.0,0.0,84010825,84199625,171.0,,0.0,29.0,925.0
E,2013-14,0.0,252.0,22075.0,927.0,,1053.0,332.0,129.0,0.0,19714.0,0.0,721.0,0.0,318.0,0.0,0.0,83280814,83463614,129.0,,0.0,14.0,927.0
E,2014-15,0.0,216.0,21435.0,1023.0,,931.0,366.0,163.0,0.0,19102.0,0.0,565.0,6.0,340.0,0.0,0.0,87930859,88105559,163.0,,0.0,20.0,1023.0
E,2015-16,0.0,243.0,21051.0,1095.0,,1030.0,426.0,181.0,0.0,18502.0,0.0,604.0,0.0,419.0,0.0,0.0,89390861,89564161,181.0,,0.0,7.0,1095.0
E,2016-17,0.0,271.0,20684.0,1154.0,,950.0,412.0,190.0,0.0,18119.0,0.0,538.0,0.0,400.0,0.0,0.0,88320850,88481450,190.0,,0.0,12.0,1154.0
F,2007-08,26334.0,475.0,30458.0,0.0,,801.0,161.0,1429.0,0.0,26334.0,0.0,640.0,0.0,0.0,1419.0,1429.0,66570716,66756016,0.0,,161.0,0.0,1419.0
F,2008-09,25654.0,564.0,29970.0,0.0,,833.0,166.0,1442.0,0.0,25654.0,0.0,667.0,0.0,0.0,1477.0,1442.0,65950716,66145016,0.0,,166.0,0.0,1477.0
F,2009-10,24597.0,627.0,29007.0,0.0,,816.0,130.0,1390.0,0.0,24597.0,0.0,686.0,0.0,0.0,1577.0,1390.0,65950716,66145016,0.0,,130.0,0.0,1577.0
F,2010-11,0.0,673.0,28413.0,1902.0,,1393.0,854.0,1138.0,0.0,23307.0,0.0,539.0,0.0,793.0,0.0,0.0,65950716,66145016,1138.0,,0.0,61.0,1902.0
F,2011-12,0.0,631.0,27521.0,2071.0,,1439.0,870.0,1071.0,0.0,22309.0,0.0,569.0,0.0,828.0,0.0,0.0,64970694,65162094,1071.0,,0.0,42.0,2071.0
F,2012-13,0.0,708.0,26821.0,2144.0,,1473.0,970.0,972.0,0.0,21524.0,0.0,503.0,0.0,917.0,0.0,0.0,63730683,63921583,972.0,,0.0,53.0,2144.0
F,2013-14,0.0,698.0,25983.0,2219.0,,1430.0,961.0,956.0,0.0,20680.0,0.0,469.0,0.0,929.0,0.0,0.0,64840694,65038694,956.0,,0.0,32.0,2219.0
F,2014-15,0.0,684.0,25454.0,2350.0,,1528.0,980.0,918.0,0.0,19974.0,0.0,548.0,0.0,957.0,0.0,0.0,75590815,75785815,918.0,,0.0,23.0,2350.0
F,2015-16,0.0,597.0,25051.0,2560.0,,1588.0,1031.0,935.0,0.0,19371.0,0.0,557.0,0.0,1012.0,0.0,0.0,78450859,78648859,935.0,,0.0,19.0,2560.0
F,2016-17,0.0,665.0,24659.0,2691.0,,1563.0,1003.0,910.0,0.0,18830.0,0.0,560.0,0.0,988.0,0.0,0.0,77340848,77527748,910.0,,0.0,15.0,2691.0
G,2007-08,45803.0,1582.0,69564.0,0.0,,2110.0,216.0,11525.0,0.0,45803.0,0.0,1894.0,0.0,0.0,8544.0,11525.0,133981628,134389928,0.0,,216.0,0.0,8544.0
G,2008-09,44413.0,1718.0,68608.0,0.0,,2188.0,197.0,11566.0,0.0,44413.0,0.0,1991.0,0.0,0.0,8723.0,11566.0,130531595,130920495,0.0,,197.0,0.0,8723.0
G,2009-10,43762.0,1868.0,68435.0,0.0,,2146.0,210.0,11493.0,0.0,43762.0,0.0,1936.0,0.0,0.0,9166.0,11493.0,134581650,134990650,0.0,,210.0,0.0,9166.0
G,2010-11,0.0,2635.0,67460.0,10659.0,,2686.0,1517.0,10410.0,0.0,41070.0,0.0,1169.0,53.0,1302.0,0.0,0.0,134741617,135174917,10410.0,,0.0,162.0,10659.0
G,2011-12,0.0,2714.0,65940.0,10965.0,,2816.0,1648.0,10052.0,0.0,39393.0,0.0,1168.0,53.0,1474.0,0.0,0.0,134801617,135243517,10052.0,,0.0,121.0,10965.0
G,2012-13,0.0,2520.0,64628.0,11215.0,,3030.0,1725.0,9766.0,0.0,38097.0,0.0,1305.0,56.0,1596.0,0.0,0.0,133101584,133530884,9766.0,,0.0,73.0,11215.0
G,2013-14,0.0,2584.0,63667.0,11415.0,,3130.0,1915.0,9484.0,0.0,37054.0,0.0,1215.0,0.0,1840.0,0.0,0.0,135251606,135681806,9484.0,,0.0,75.0,11415.0
