year,2015_16,school,2007_08,2012_13,district,2011_12,district_code,2010_11,2009_10,2008_09,2013_14,2014_15,total,school_code,drg,2016_17
2007-08,,,570852.0,,,,1365272750,,,,,,570852.0,1368483050,,
2008-09,,,,,,,1396512949,,,567053.0,,,567053.0,1399850649,,
2009-10,,,,,,,1403833117,,563829.0,,,,563829.0,1407305817,,
2010-11,,,,,,,1393023003,560319.0,,,,,560319.0,1396514203,,
2011-12,,,,,,554343.0,1383142911,,,,,,554343.0,1386639411,,
2012-13,,,,550918.0,,,1390172911,,,,,,550918.0,1393688911,,
2013-14,,,,,,,1410273089,,,,546198.0,,546198.0,1413773889,,
2014-15,,,,,,,1575444728,,,,,542454.0,542454.0,1579121328,,
2015-16,537624.0,,,,,,1698225674,,,,,,537624.0,1702044774,,
2016-17,,,,,,,1773056180,,,,,,534857.0,1776934780,,534857.0
