2009_10_entrance_pct,2009_10_persistence_pct,2010_11_entrance_pct,2010_11_persistence_pct,2011_12_entrance_pct,2011_12_persistence_pct,2012_13_entrance_pct,2012_13_persistence_pct,2013_14_entrance_pct,2013_14_persistence_pct,district,district_code,drg,four_y_percent,group,race_ethnicity,school,school_code
71.1,74.1,55.6,85.0,64.3,*,63.9,78.3,57.7,*,Ansonia School District,0020011,H,63.9,race,Black or African American,Ansonia High School,0026111
52.2,*,,*,57.9,81.8,55.0,63.6,58.3,61.9,Ansonia School District,0020011,H,56.45,race,Hispanic or Latino,Ansonia High School,0026111
67.4,92.2,61.0,95.7,61.9,89.2,55.3,82.7,61.4,90.7,Ansonia School District,0020011,H,61.4,race,White,Ansonia High School,0026111
,*,,*,,*,78.3,*,,*,Avon School District,0040011,B,78.3,race,Asian,Avon High School,0046111
81.5,97.0,83.7,95.4,85.9,94.8,87.0,95.7,89.1,94.8,Avon School District,0040011,B,85.9,race,White,Avon High School,0046111
75.9,94.0,83.5,92.5,81.9,92.7,83.4,96.8,87.8,94.2,Berlin School District,0070011,D,83.4,race,White,Berlin High School,0076111
,*,,*,,*,,*,77.3,*,Bethel School District,0090011,D,77.3,race,Asian,Bethel High School,0096111
56.5,*,,*,69.2,*,81.8,*,60.7,*,Bethel School District,0090011,D,64.95,race,Hispanic or Latino,Bethel High School,0096111
79.1,89.0,82.2,91.4,78.1,91.3,69.3,91.1,81.1,87.3,Bethel School District,0090011,D,79.1,race,White,Bethel High School,0096111
67.2,77.4,76.2,86.9,68.8,77.9,71.1,84.0,72.7,82.5,Bloomfield School District,0110011,G,71.1,race,Black or African American,Bloomfield High School,0116111
,,,,,,58.3,*,85.0,*,Bloomfield School District,0110011,G,71.65,race,Black or African American,Global Experience Magnet School,0116311
85.7,*,89.1,93.0,,*,88.3,94.1,86.0,93.2,Bolton School District,0120011,C,87.15,race,White,Bolton High School,0126111
,*,,*,,*,,*,81.8,*,Branford School District,0140011,D,81.8,race,Asian,Branford High School,0146111
,*,,*,,*,,*,71.4,*,Branford School District,0140011,D,71.4,race,Hispanic or Latino,Branford High School,0146111
80.4,94.7,77.9,90.9,78.7,89.3,77.6,91.8,71.3,91.2,Branford School District,0140011,D,77.9,race,White,Branford High School,0146111
55.8,69.0,55.6,75.4,51.4,78.9,54.5,76.7,45.5,68.6,Bridgeport School District,0150011,I,54.5,race,Black or African American,Bassick High School,0156111
44.1,73.3,31.5,57.1,34.3,75.0,43.4,52.8,34.0,74.3,Bridgeport School District,0150011,I,34.3,race,Hispanic or Latino,Bassick High School,0156111
,,74.1,88.4,72.1,84.1,67.9,*,,*,Bridgeport School District,0150011,I,72.1,race,American Indian or Alaska Native,Central High School,0156211
81.8,*,73.9,*,,*,,*,,*,Bridgeport School District,0150011,I,77.85,race,Asian,Central High School,0156211
68.8,85.5,69.8,81.6,67.2,85.5,66.1,81.3,70.1,84.7,Bridgeport School District,0150011,I,68.8,race,Black or African American,Central High School,0156211
57.6,79.3,61.1,79.1,56.7,80.0,58.9,78.9,53.2,79.2,Bridgeport School District,0150011,I,57.6,race,Hispanic or Latino,Central High School,0156211
59.7,91.9,54.3,*,60.0,83.3,72.7,87.5,47.1,87.5,Bridgeport School District,0150011,I,59.7,race,White,Central High School,0156211
58.3,76.2,62.9,75.8,48.4,74.6,53.0,71.0,58.2,75.0,Bridgeport School District,0150011,I,58.2,race,Black or African American,Harding High School,0156311
41.1,82.4,41.2,72.5,45.5,78.6,34.4,71.0,31.9,86.1,Bridgeport School District,0150011,I,41.1,race,Hispanic or Latino,Harding High School,0156311
,*,,*,57.1,*,,*,,*,Bristol School District,0170011,G,57.1,race,Black or African American,Bristol Central High School,0176111
56.3,*,55.9,*,53.7,86.2,39.5,*,44.2,*,Bristol School District,0170011,G,53.7,race,Hispanic or Latino,Bristol Central High School,0176111
67.5,85.8,67.3,90.8,65.1,90.8,72.6,88.7,67.9,90.3,Bristol School District,0170011,G,67.5,race,White,Bristol Central High School,0176111
,*,,*,,*,50.0,*,78.3,*,Bristol School District,0170011,G,64.15,race,Black or African American,Bristol Eastern High School,0176211
,*,55.6,80.0,52.2,*,53.1,*,50.0,*,Bristol School District,0170011,G,52.65,race,Hispanic or Latino,Bristol Eastern High School,0176211
75.8,86.5,74.9,85.1,67.3,93.2,69.0,87.9,68.6,90.7,Bristol School District,0170011,G,69.0,race,White,Bristol Eastern High School,0176211
85.5,91.5,80.5,89.5,84.1,91.6,89.4,94.8,87.1,93.4,Brookfield School District,0180011,B,85.5,race,White,Brookfield High School,0186111
82.4,90.3,74.8,92.2,84.0,94.4,78.0,91.8,78.4,89.8,Canton School District,0230011,C,78.4,race,White,Canton High School,0236111
80.0,100.0,80.0,100.0,94.3,97.0,78.3,*,84.4,100.0,Cheshire School District,0250011,B,80.0,race,Asian,Cheshire High School,0256111
87.9,94.8,90.4,94.9,88.0,95.0,87.1,95.7,85.0,93.2,Cheshire School District,0250011,B,87.9,race,White,Cheshire High School,0256111
76.0,90.5,70.9,90.4,67.0,97.1,76.6,91.8,77.1,91.7,Clinton School District,0270011,D,76.0,race,White,The Morgan School,0276111
79.5,89.8,79.3,89.2,79.4,86.5,75.8,87.7,77.7,91.0,Colchester School District,0280011,D,79.3,race,White,Bacon Academy,0286111
