district_code,district,grand_total,drg,drg_grand_total,state_grand_total,school_code
,Achievement First Hartford Academy Inc.,52769.5,,,68786.73711,
2790013,Amistad Academy District,56243.54667,,,68786.73711,2790013
0010011,Andover School District,59970.76923,C,64867.747545,68786.73711,0010011
0020011,Ansonia School District,55331.25,H,70578.3952,68786.73711,0020011
2440014,Area Cooperative Educational Services,67315.08403,,,68786.73711,2440014
0030011,Ashford School District,56571.79487,E,63440.823205,68786.73711,0030011
0040011,Avon School District,80123.66197,B,71772.56028,68786.73711,0040011
0050011,Barkhamsted School District,67363.52174,C,64867.747545,68786.73711,0050011
0070011,Berlin School District,69066.94686,D,67826.620525,68786.73711,0070011
0080011,Bethany School District,55983.76316,C,64867.747545,68786.73711,0080011
0090011,Bethel School District,65158.45771,D,67826.620525,68786.73711,0090011
0110011,Bloomfield School District,63843.14595,G,64659.69474,68786.73711,0110011
0120011,Bolton School District,64111.9375,C,64867.747545,68786.73711,0120011
0130011,Bozrah School District,65408.36842,E,63440.823205,68786.73711,0130011
0140011,Branford School District,68425.67068,D,67826.620525,68786.73711,0140011
,Bridgeport Achievement First,48332.93878,,,68786.73711,
0150011,Bridgeport School District,64103.01487,I,61782.33333,68786.73711,0150011
0170011,Bristol School District,74802.1797,G,64659.69474,68786.73711,0170011
0180011,Brookfield School District,70815.98361,B,71772.56028,68786.73711,0180011
0190011,Brooklyn School District,68185.50847,E,63440.823205,68786.73711,0190011
0210011,Canaan School District,56128.28571,E,63440.823205,68786.73711,0210011
0220011,Canterbury School District,63730.12821,F,63686.00568,68786.73711,0220011
0230011,Canton School District,64232.82569,C,64867.747545,68786.73711,0230011
2410014,Capitol Region Education Council,65441.36952,,,68786.73711,2410014
0240011,Chaplin School District,63901.88235,E,63440.823205,68786.73711,0240011
0250011,Cheshire School District,74066.59574,B,71772.56028,68786.73711,0250011
0260011,Chester School District,59282.04545,E,63440.823205,68786.73711,0260011
0270011,Clinton School District,67522.38621,D,67826.620525,68786.73711,0270011
0280011,Colchester School District,68130.85484,D,67826.620525,68786.73711,0280011
0290011,Colebrook School District,48025.18182,E,63440.823205,68786.73711,0290011
0300011,Columbia School District,70022.05263,C,64867.747545,68786.73711,0300011
2680013,Common Ground High School District,41118.31579,,,68786.73711,2680013
9000016,Connecticut Technical High School System,71335.55659,,,68786.73711,9000016
2430014,Cooperative Educational Services,53995.56863,,,68786.73711,2430014
0310011,Cornwall School District,60831.5,C,64867.747545,68786.73711,0310011
0320011,Coventry School District,62161.50806,E,63440.823205,68786.73711,0320011
0330011,Cromwell School District,64253.00746,D,67826.620525,68786.73711,0330011
0340011,Danbury School District,70813.56312,H,70578.3952,68786.73711,0340011
0350011,Darien School District,75990.29619,A,79662.70323,68786.73711,0350011
0360011,Deep River School District,63081.31034,E,63440.823205,68786.73711,0360011
0370011,Derby School District,59297.57303,H,70578.3952,68786.73711,0370011
0400011,East Granby School District,70669.37879,D,67826.620525,68786.73711,0400011
0410011,East Haddam School District,66419.84783,E,63440.823205,68786.73711,0410011
0420011,East Hampton School District,73364.48361,D,67826.620525,68786.73711,0420011
0430011,East Hartford School District,70578.3952,H,70578.3952,68786.73711,0430011
0440011,East Haven School District,63697.30918,G,64659.69474,68786.73711,0440011
0450011,East Lyme School District,62302.2657,D,67826.620525,68786.73711,0450011
0470011,East Windsor School District,66805.16842,F,63686.00568,68786.73711,0470011
,Eastern Connecticut Regional Educational Service C,39018.02941,,,68786.73711,
0390011,Eastford School District,61076.0,E,63440.823205,68786.73711,0390011
0460011,Easton School District,71318.29851,A,79662.70323,68786.73711,0460011
,Education Connection,50295.8,,,68786.73711,
0480011,Ellington School District,66160.30675,C,64867.747545,68786.73711,0480011
,Elm City College Preparatory School,49414.05,,,68786.73711,
0490011,Enfield School District,71287.61619,F,63686.00568,68786.73711,0490011
0500011,Essex School District,60575.82051,C,64867.747545,68786.73711,0500011
