drg,race_ethnicity,four_y_percent
A,All,86.7
A,Asian,95.65
A,White,87.2
B,All,85.0
B,Asian,85.4
B,Black or African American,82.9
B,Hispanic or Latino,73.1
B,White,85.9
C,All,80.9
C,Asian,76.1
C,Hispanic or Latino,85.0
C,White,81.1
D,All,78.1
D,Asian,87.45
D,Black or African American,70.4
D,Hispanic or Latino,67.6
D,White,78.8
E,All,75.9
E,Asian,70.0
E,White,77.2
F,All,69.6
F,Hispanic or Latino,69.6
F,White,67.2
G,All,68.3
G,Asian,81.275
G,Black or African American,62.35
G,Hispanic or Latino,62.6
G,Native Hawaiian or Other Pacific Islander,75.0
G,Two or More Races,59.1
G,White,71.0
H,All,64.4
H,Asian,79.2
H,Black or African American,66.7
H,Hispanic or Latino,59.45
H,White,76.45
I,All,58.7
I,American Indian or Alaska Native,72.1
I,Asian,77.85
I,Black or African American,63.05
I,Hispanic or Latino,49.35
I,White,71.4
