year,subject,drg,race,total_numberwith_scored_tests,weight,average_score
2015-16,ELA,A,Asian,23.0,14122.0,614.0
2015-16,ELA,A,White,1998.0,1207089.0,604.148648649
2015-16,ELA,B,Asian,437.0,266547.0,609.947368421
2015-16,ELA,B,Black or African American,102.0,50325.0,493.382352941
2015-16,ELA,B,Hispanic/Latino of any race,433.0,223585.0,516.362586605
2015-16,ELA,B,White,5539.0,3205099.0,578.642173678
2015-16,ELA,C,Hispanic/Latino of any race,21.0,10668.0,508.0
2015-16,ELA,C,White,2417.0,1359972.0,562.669424907
2015-16,ELA,D,Asian,68.0,39719.0,584.102941176
2015-16,ELA,D,Black or African American,126.0,59346.0,471.0
2015-16,ELA,D,Hispanic/Latino of any race,401.0,197085.0,491.483790524
2015-16,ELA,D,White,4399.0,2391438.0,543.632189134
2015-16,ELA,E,Asian,42.0,21210.0,505.0
2015-16,ELA,E,White,1271.0,684830.0,538.811959087
2015-16,ELA,F,Hispanic/Latino of any race,42.0,19956.0,475.142857143
2015-16,ELA,F,White,1174.0,606355.0,516.48637138
2015-16,ELA,G,Asian,122.0,62990.0,516.31147541
2015-16,ELA,G,Black or African American,587.0,269445.0,459.02044293
2015-16,ELA,G,Hispanic/Latino of any race,598.0,278885.0,466.362876254
2015-16,ELA,G,White,2628.0,1370129.0,521.358066971
2015-16,ELA,H,Asian,89.0,47043.0,528.573033708
2015-16,ELA,H,Black or African American,745.0,338894.0,454.891275168
2015-16,ELA,H,Hispanic/Latino of any race,1374.0,622156.0,452.806404658
2015-16,ELA,H,White,1375.0,728366.0,529.720727273
2015-16,ELA,I,Black or African American,1674.0,727050.0,434.318996416
2015-16,ELA,I,Hispanic/Latino of any race,1988.0,845055.0,425.077967807
2015-16,ELA,I,White,674.0,343233.0,509.247774481
2015-16,Math,A,Asian,23.0,15157.0,659.0
2015-16,Math,A,White,1997.0,1200423.0,601.113169755
2015-16,Math,B,Asian,437.0,279303.0,639.137299771
2015-16,Math,B,Black or African American,102.0,48788.0,478.31372549
2015-16,Math,B,Hispanic/Latino of any race,433.0,218813.0,505.341801386
2015-16,Math,B,White,5537.0,3139185.0,566.946902655
2015-16,Math,C,Hispanic/Latino of any race,21.0,10395.0,495.0
2015-16,Math,C,White,2416.0,1313963.0,543.858857616
2015-16,Math,D,Asian,68.0,40194.0,591.088235294
2015-16,Math,D,Black or African American,126.0,56700.0,450.0
2015-16,Math,D,Hispanic/Latino of any race,401.0,190413.0,474.845386534
2015-16,Math,D,White,4397.0,2294548.0,521.843984535
2015-16,Math,E,Asian,42.0,27636.0,658.0
2015-16,Math,E,White,1270.0,650573.0,512.262204724
2015-16,Math,F,Hispanic/Latino of any race,42.0,19420.0,462.380952381
2015-16,Math,F,White,1174.0,587543.0,500.462521295
2015-16,Math,G,Asian,121.0,67749.0,559.909090909
2015-16,Math,G,Black or African American,586.0,257644.0,439.66552901
2015-16,Math,G,Hispanic/Latino of any race,597.0,262762.0,440.137353434
2015-16,Math,G,White,2624.0,1287970.0,490.84222561
2015-16,Math,H,Asian,89.0,47097.0,529.179775281
2015-16,Math,H,Black or African American,745.0,324848.0,436.037583893
2015-16,Math,H,Hispanic/Latino of any race,1374.0,598600.0,435.662299854
2015-16,Math,H,White,1374.0,693197.0,504.510189229
2015-16,Math,I,Black or African American,1671.0,691468.0,413.804907241
2015-16,Math,I,Hispanic/Latino of any race,1986.0,806356.0,406.020140987
2015-16,Math,I,White,673.0,328691.0,488.396731055
