drg,year,race,count,pct
A,2011-12,All,391.0,2.15
A,2011-12,American Indian or Alaska Native,0.0,
A,2011-12,Asian,0.0,
A,2011-12,Black or African American,0.0,
A,2011-12,Hispanic/Latino of any race,0.0,
A,2011-12,Native Hawaiian or Other Pacific Islander,0.0,
A,2011-12,Two or More Races,0.0,
A,2011-12,White,247.0,1.9
A,2012-13,All,249.0,2.2
A,2012-13,American Indian or Alaska Native,0.0,
A,2012-13,Asian,0.0,
A,2012-13,Black or African American,0.0,
A,2012-13,Hispanic/Latino of any race,0.0,
A,2012-13,Native Hawaiian or Other Pacific Islander,0.0,
A,2012-13,Two or More Races,0.0,
A,2012-13,White,147.0,2.1
A,2013-14,All,362.0,1.85
A,2013-14,American Indian or Alaska Native,0.0,
A,2013-14,Asian,0.0,
A,2013-14,Black or African American,0.0,
A,2013-14,Hispanic/Latino of any race,0.0,
A,2013-14,Native Hawaiian or Other Pacific Islander,0.0,
A,2013-14,Two or More Races,0.0,
A,2013-14,White,229.0,1.8
A,2014-15,All,317.0,2.1
A,2014-15,American Indian or Alaska Native,0.0,
A,2014-15,Asian,0.0,
A,2014-15,Black or African American,0.0,
A,2014-15,Hispanic/Latino of any race,7.0,8.5
A,2014-15,Native Hawaiian or Other Pacific Islander,0.0,
A,2014-15,Two or More Races,0.0,
A,2014-15,White,177.0,1.9
A,2015-16,All,323.0,2.1
A,2015-16,American Indian or Alaska Native,0.0,
A,2015-16,Asian,0.0,
A,2015-16,Black or African American,0.0,
A,2015-16,Hispanic/Latino of any race,0.0,
A,2015-16,Native Hawaiian or Other Pacific Islander,0.0,
A,2015-16,Two or More Races,0.0,
A,2015-16,White,210.0,2.15
B,2011-12,All,2499.0,3.4
B,2011-12,American Indian or Alaska Native,0.0,
B,2011-12,Asian,15.0,5.15
B,2011-12,Black or African American,146.0,19.6
B,2011-12,Hispanic/Latino of any race,286.0,11.1
B,2011-12,Native Hawaiian or Other Pacific Islander,0.0,
B,2011-12,Two or More Races,0.0,
B,2011-12,White,1505.0,3.35
B,2012-13,All,2101.0,3.3
B,2012-13,American Indian or Alaska Native,0.0,
B,2012-13,Asian,6.0,4.2
B,2012-13,Black or African American,173.0,14.8
B,2012-13,Hispanic/Latino of any race,207.0,10.35
B,2012-13,Native Hawaiian or Other Pacific Islander,0.0,
B,2012-13,Two or More Races,0.0,
B,2012-13,White,1296.0,3.2
B,2013-14,All,1969.0,3.2
B,2013-14,American Indian or Alaska Native,0.0,
B,2013-14,Asian,6.0,4.4
B,2013-14,Black or African American,166.0,18.9
B,2013-14,Hispanic/Latino of any race,217.0,9.85
B,2013-14,Native Hawaiian or Other Pacific Islander,0.0,
B,2013-14,Two or More Races,0.0,
B,2013-14,White,1097.0,2.7
B,2014-15,All,1856.0,3.3
B,2014-15,American Indian or Alaska Native,0.0,
B,2014-15,Asian,0.0,
B,2014-15,Black or African American,124.0,18.1
B,2014-15,Hispanic/Latino of any race,246.0,10.1
B,2014-15,Native Hawaiian or Other Pacific Islander,0.0,
B,2014-15,Two or More Races,0.0,
B,2014-15,White,1085.0,2.75
B,2015-16,All,1950.0,3.0
B,2015-16,American Indian or Alaska Native,0.0,
B,2015-16,Asian,10.0,7.5
B,2015-16,Black or African American,172.0,18.9
B,2015-16,Hispanic/Latino of any race,238.0,11.85
B,2015-16,Native Hawaiian or Other Pacific Islander,0.0,
B,2015-16,Two or More Races,0.0,
B,2015-16,White,1097.0,3.2
C,2011-12,All,1399.0,5.2
C,2011-12,American Indian or Alaska Native,0.0,
C,2011-12,Asian,0.0,
C,2011-12,Black or African American,16.0,39.1
C,2011-12,Hispanic/Latino of any race,31.0,32.4
C,2011-12,Native Hawaiian or Other Pacific Islander,0.0,
C,2011-12,Two or More Races,6.0,23.1
C,2011-12,White,856.0,5.5
C,2012-13,All,1152.0,3.65
C,2012-13,American Indian or Alaska Native,0.0,
C,2012-13,Asian,0.0,
C,2012-13,Black or African American,28.0,32.0
C,2012-13,Hispanic/Latino of any race,15.0,15.35
C,2012-13,Native Hawaiian or Other Pacific Islander,0.0,
C,2012-13,Two or More Races,0.0,
C,2012-13,White,715.0,4.0
C,2013-14,All,1032.0,3.3
C,2013-14,American Indian or Alaska Native,0.0,
C,2013-14,Asian,0.0,
C,2013-14,Black or African American,8.0,29.6
C,2013-14,Hispanic/Latino of any race,0.0,
C,2013-14,Native Hawaiian or Other Pacific Islander,0.0,
C,2013-14,Two or More Races,0.0,
C,2013-14,White,632.0,4.35
C,2014-15,All,962.0,4.4
C,2014-15,American Indian or Alaska Native,0.0,
C,2014-15,Asian,0.0,
C,2014-15,Black or African American,16.0,26.7
C,2014-15,Hispanic/Latino of any race,15.0,22.55
C,2014-15,Native Hawaiian or Other Pacific Islander,0.0,
C,2014-15,Two or More Races,6.0,23.1
C,2014-15,White,681.0,4.1
C,2015-16,All,1084.0,4.3
C,2015-16,American Indian or Alaska Native,0.0,
C,2015-16,Asian,0.0,
C,2015-16,Black or African American,22.0,27.1
C,2015-16,Hispanic/Latino of any race,28.0,19.4
C,2015-16,Native Hawaiian or Other Pacific Islander,0.0,
C,2015-16,Two or More Races,0.0,
C,2015-16,White,718.0,4.3
D,2011-12,All,4623.0,6.8
D,2011-12,American Indian or Alaska Native,10.0,22.2
D,2011-12,Asian,15.0,15.25
D,2011-12,Black or African American,527.0,28.85
D,2011-12,Hispanic/Latino of any race,535.0,17.9
D,2011-12,Native Hawaiian or Other Pacific Islander,0.0,
D,2011-12,Two or More Races,0.0,
D,2011-12,White,3010.0,6.8
D,2012-13,All,4230.0,6.0
D,2012-13,American Indian or Alaska Native,0.0,
D,2012-13,Asian,0.0,
D,2012-13,Black or African American,436.0,25.0
D,2012-13,Hispanic/Latino of any race,484.0,18.5
D,2012-13,Native Hawaiian or Other Pacific Islander,0.0,
D,2012-13,Two or More Races,0.0,
D,2012-13,White,2725.0,6.4
D,2013-14,All,3945.0,5.0
D,2013-14,American Indian or Alaska Native,0.0,
D,2013-14,Asian,8.0,9.3
D,2013-14,Black or African American,418.0,23.3
D,2013-14,Hispanic/Latino of any race,479.0,16.7
D,2013-14,Native Hawaiian or Other Pacific Islander,0.0,
D,2013-14,Two or More Races,0.0,
D,2013-14,White,2424.0,5.1
D,2014-15,All,3728.0,5.6
D,2014-15,American Indian or Alaska Native,0.0,
D,2014-15,Asian,0.0,
D,2014-15,Black or African American,361.0,23.35
D,2014-15,Hispanic/Latino of any race,453.0,12.95
D,2014-15,Native Hawaiian or Other Pacific Islander,0.0,
D,2014-15,Two or More Races,17.0,36.05
D,2014-15,White,2270.0,5.9
D,2015-16,All,3666.0,6.1
D,2015-16,American Indian or Alaska Native,20.0,5.6
D,2015-16,Asian,0.0,
D,2015-16,Black or African American,400.0,23.5
D,2015-16,Hispanic/Latino of any race,440.0,12.7
D,2015-16,Native Hawaiian or Other Pacific Islander,0.0,
D,2015-16,Two or More Races,24.0,38.1
D,2015-16,White,2206.0,5.9
E,2011-12,All,1135.0,6.5
E,2011-12,American Indian or Alaska Native,0.0,
E,2011-12,Asian,0.0,
E,2011-12,Black or African American,0.0,
