american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year,tot_check,hispanic,other,black,oth_total,oth_tot_check
0.0,0.0,0.0,362.0,0.0,Amistad Academy District,2790013,172.0,0.0,0.0,0.0,Amistad Academy,2795113,547,0.0,10.0,10.0,2007-08,3.0,172.0,0.0,362.0,3.0,0.0
0.0,0.0,11.0,0.0,0.0,Andover School District,0010011,0.0,0.0,0.0,0.0,Andover Elementary School,0010111,347,0.0,327.0,327.0,2007-08,9.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,175.0,0.0,Ansonia School District,0020011,140.0,0.0,0.0,0.0,Ansonia High School,0026111,760,0.0,431.0,431.0,2007-08,14.0,140.0,0.0,175.0,14.0,0.0
0.0,0.0,0.0,126.0,0.0,Ansonia School District,0020011,129.0,0.0,0.0,0.0,Ansonia Middle School,0025111,596,0.0,331.0,331.0,2007-08,10.0,129.0,0.0,126.0,10.0,0.0
0.0,0.0,0.0,125.0,0.0,Ansonia School District,0020011,127.0,0.0,0.0,0.0,Mead School,0020311,599,0.0,334.0,334.0,2007-08,13.0,127.0,0.0,125.0,13.0,0.0
0.0,0.0,0.0,147.0,0.0,Ansonia School District,0020011,199.0,0.0,0.0,0.0,Prendergast School,0020811,776,0.0,412.0,412.0,2007-08,18.0,199.0,0.0,147.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,Area Cooperative Educational Services,2440014,0.0,0.0,0.0,0.0,A. C. E. S. Special Education Town Campus Learning Center,2449014,19,0.0,15.0,15.0,2007-08,4.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,0.0,27.0,0.0,Area Cooperative Educational Services,2440014,13.0,0.0,0.0,0.0,Collaborative Alternative Magnet School,2446114,99,0.0,59.0,59.0,2007-08,0.0,13.0,0.0,27.0,0.0,0.0
0.0,0.0,0.0,90.0,0.0,Area Cooperative Educational Services,2440014,44.0,0.0,0.0,0.0,Mill Road School,2449414,176,0.0,0.0,0.0,2007-08,42.0,44.0,0.0,90.0,42.0,0.0
0.0,0.0,0.0,115.0,0.0,Area Cooperative Educational Services,2440014,257.0,0.0,0.0,0.0,Thomas Edison Magnet Middle School,2445114,752,0.0,360.0,360.0,2007-08,20.0,257.0,0.0,115.0,20.0,0.0
0.0,0.0,0.0,38.0,0.0,Area Cooperative Educational Services,2440014,0.0,0.0,0.0,0.0,Village School,2449514,174,0.0,101.0,101.0,2007-08,35.0,0.0,0.0,38.0,35.0,0.0
