district_code,district,school_code,school,grade,diff,drg,year
0600011,Guilford School District,0600711,A. Baldwin Middle School,88.4927366849,-8.4138530195,B,2014-15
0600011,Guilford School District,0600711,A. Baldwin Middle School,80.0788836654,-8.4138530195,B,2015-16
9000016,Connecticut Technical High School System,9001516,A. I. Prince Technical High School,64.9411066821,-5.55132257044,,2015-16
9000016,Connecticut Technical High School System,9001516,A. I. Prince Technical High School,70.4924292526,-5.55132257044,,2014-15
0600011,Guilford School District,0600611,A. W. Cox School,80.4137618383,-5.23636776534,B,2015-16
0600011,Guilford School District,0600611,A. W. Cox School,85.6501296036,-5.23636776534,B,2014-15
1390011,Suffield School District,1390411,A. Ward Spaulding School,75.8046814713,-24.1953185287,C,2015-16
1390011,Suffield School District,1390411,A. Ward Spaulding School,100.0,-24.1953185287,C,2014-15
0270011,Clinton School District,0270111,Abraham Pierson School,78.3066157012,-10.0956178005,D,2015-16
0270011,Clinton School District,0270111,Abraham Pierson School,88.4022335017,-10.0956178005,D,2014-15
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,73.2230462222,-6.26811004311,,2015-16
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,79.4911562653,-6.26811004311,,2014-15
2410014,Capitol Region Education Council,2410714,Academy of Aerospace and Engineering Elementary,46.0857872798,36.7524539465,,2015-16
2410014,Capitol Region Education Council,2410714,Academy of Aerospace and Engineering Elementary,9.33333333333,36.7524539465,,2014-15
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,66.7725168431,-4.22993776941,,2015-16
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,71.0024546125,-4.22993776941,,2014-15
2850013,Bridgeport Achievement First District,2850113,Achievement First Bridgeport Academy,72.4953582431,7.56643476452,,2014-15
2850013,Bridgeport Achievement First District,2850113,Achievement First Bridgeport Academy,80.0617930076,7.56643476452,,2015-16
2880013,Achievement First Hartford Academy Inc. District,2880113,Achievement First Hartford Academy Inc.,71.5967295384,1.43224245563,,2015-16
2880013,Achievement First Hartford Academy Inc. District,2880113,Achievement First Hartford Academy Inc.,70.1644870828,1.43224245563,,2014-15
0150011,Bridgeport School District,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",61.9059127763,6.91925634459,I,2015-16
0150011,Bridgeport School District,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",54.9866564317,6.91925634459,I,2014-15
1550011,West Hartford School District,1551611,Aiken School,87.5639654189,-0.928388219684,B,2014-15
1550011,West Hartford School District,1551611,Aiken School,86.6355771992,-0.928388219684,B,2015-16
1190011,Rocky Hill School District,1195111,Albert D. Griswold Middle School,83.2339528547,-11.4353571263,D,2014-15
1190011,Rocky Hill School District,1195111,Albert D. Griswold Middle School,71.7985957283,-11.4353571263,D,2015-16
1660011,Wolcott School District,1660611,Alcott School,83.6500074364,-3.72877971176,F,2015-16
1660011,Wolcott School District,1660611,Alcott School,87.3787871481,-3.72877971176,F,2014-15
1590011,Wethersfield School District,1590811,Alfred W. Hanmer School,84.5003041361,5.08635190872,D,2014-15
1590011,Wethersfield School District,1590811,Alfred W. Hanmer School,89.5866560449,5.08635190872,D,2015-16
0400011,East Granby School District,0400111,Allgrove School,60.7142857143,1.27467218772,D,2015-16
0400011,East Granby School District,0400111,Allgrove School,59.4396135266,1.27467218772,D,2014-15
1560011,West Haven School District,1560811,Alma E. Pagels School,76.2239121912,0.646045385148,H,2014-15
1560011,West Haven School District,1560811,Alma E. Pagels School,76.8699575763,0.646045385148,H,2015-16
0340011,Danbury School District,0346211,Alternative Center For Excellence,28.1508877036,5.50794982205,H,2014-15
0340011,Danbury School District,0346211,Alternative Center For Excellence,33.6588375256,5.50794982205,H,2015-16
2790013,Amistad Academy District,2795113,Amistad Academy,78.1938720738,-1.50922612798,,2015-16
2790013,Amistad Academy District,2795113,Amistad Academy,79.7030982018,-1.50922612798,,2014-15
2050012,Regional School District 05,2055112,Amity Middle School: Bethany,75.8314412344,-9.17412662508,B,2015-16
2050012,Regional School District 05,2055112,Amity Middle School: Bethany,85.0055678594,-9.17412662508,B,2014-15
2050012,Regional School District 05,2055212,Amity Middle School: Orange,75.3623695086,-10.7229122161,B,2015-16
2050012,Regional School District 05,2055212,Amity Middle School: Orange,86.0852817246,-10.7229122161,B,2014-15
2050012,Regional School District 05,2056112,Amity Regional High School,79.9577639266,8.93258416255,B,2014-15
2050012,Regional School District 05,2056112,Amity Regional High School,88.8903480891,8.93258416255,B,2015-16
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts Elementary School,49.6894409938,30.1796714089,,2014-15
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts Elementary School,79.8691124027,30.1796714089,,2015-16
0010011,Andover School District,0010111,Andover Elementary School,78.96366203,-16.258514353,C,2015-16
0010011,Andover School District,0010111,Andover Elementary School,95.2221763829,-16.258514353,C,2014-15
0880011,Naugatuck School District,0880811,Andrew Avenue School,66.2475914302,-20.096196527,G,2015-16
