district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,ELA,F,269,268,99.6,268,66,24.6,73,27.2,91,34.0,38,14.2,129,48.1,2014-15
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,ELA,M,282,280,99.3,279,113,40.5,67,24.0,75,26.9,24,8.6,99,35.5,2014-15
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,Math,F,269,268,99.6,268,115,42.9,80,29.9,58,21.6,15,5.6,73,27.2,2014-15
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,Math,M,282,279,98.9,278,127,45.7,83,29.9,50,18.0,18,6.5,68,24.5,2014-15
Amistad Academy District,2790013,Amistad Academy,2795113,ELA,F,268,266,99.3,266,47,17.7,73,27.4,85,32.0,61,22.9,146,54.9,2014-15
Amistad Academy District,2790013,Amistad Academy,2795113,ELA,M,276,275,99.6,275,80,29.1,76,27.6,79,28.7,40,14.5,119,43.3,2014-15
Amistad Academy District,2790013,Amistad Academy,2795113,Math,F,268,265,98.9,265,75,28.3,97,36.6,58,21.9,35,13.2,93,35.1,2014-15
Amistad Academy District,2790013,Amistad Academy,2795113,Math,M,276,275,99.6,275,94,34.2,88,32.0,59,21.5,34,12.4,93,33.8,2014-15
Andover School District,0010011,Andover Elementary School,0010111,ELA,F,78,76,97.4,76,*,*,*,*,19,25.0,48,63.2,67,88.2,2014-15
Andover School District,0010011,Andover Elementary School,0010111,ELA,M,89,87,97.8,87,*,*,*,*,24,27.6,39,44.8,63,72.4,2014-15
Andover School District,0010011,Andover Elementary School,0010111,Math,F,78,78,100.0,78,*,*,*,*,21,26.9,32,41.0,53,67.9,2014-15
