,district,school,category,type,2010-11,2011-12,2012-13,2013-14,2014-15,school_code,check_sch_col,check_dist_col
0,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Administrators  Coordinators and Department Chairs - School Level,Certified,6.9,7.8,12.0,15.0,1.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
1,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Counselors  Social Workers  and School Psychologists,Certified,2,2.0,1.0,1.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
2,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,General Education - Paraprofessional Instructional Assistants,Non-Certified,0,0.0,0.0,0.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
3,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,General Education - Teachers and Instructors,Certified,50.6,59.2,57.6,69.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
4,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
5,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,35,31.0,1025.0,31.0,44.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
6,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,School Nurses,Non-Certified,1.5,1.0,1.0,1.0,1.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
7,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0,0.0,0.0,0.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
8,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education - Teachers and Instructors,Certified,1.5,2.0,8.0,6.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
9,Amistad Academy District,Amistad Academy,Administrators  Coordinators and Department Chairs - School Level,Certified,7.8,13.1,14.3,16.1,11.6,2795113,Amistad Academy,Amistad Academy District
10,Amistad Academy District,Amistad Academy,Counselors  Social Workers  and School Psychologists,Certified,3,2.5,3.0,4.8,3.8,2795113,Amistad Academy,Amistad Academy District
11,Amistad Academy District,Amistad Academy,General Education - Paraprofessional Instructional Assistants,Non-Certified,1,5.0,7.0,13.0,10.5,2795113,Amistad Academy,Amistad Academy District
12,Amistad Academy District,Amistad Academy,General Education - Teachers and Instructors,Certified,72.1,71.4,71.1,89.3,84.2,2795113,Amistad Academy,Amistad Academy District
13,Amistad Academy District,Amistad Academy,Library/Media - Support Staff,Non-Certified,0,1.0,1.0,1.0,0.5,2795113,Amistad Academy,Amistad Academy District
14,Amistad Academy District,Amistad Academy,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,21,27.0,41.0,26.0,50.8,2795113,Amistad Academy,Amistad Academy District
15,Amistad Academy District,Amistad Academy,School Nurses,Non-Certified,3,2.0,3.0,3.0,4.5,2795113,Amistad Academy,Amistad Academy District
16,Amistad Academy District,Amistad Academy,Special Education - Paraprofessional Instructional Assistants,Non-Certified,4,7.0,0.0,0.0,0.0,2795113,Amistad Academy,Amistad Academy District
17,Amistad Academy District,Amistad Academy,Special Education - Teachers and Instructors,Certified,3,4.0,4.0,11.0,5.8,2795113,Amistad Academy,Amistad Academy District
18,Amistad Academy District,Amistad Academy,Instructional Specialists Who Support Teachers,Certified,3.5,0.3,0.0,0.0,0.0,2795113,Amistad Academy,Amistad Academy District
19,Amistad Academy District,Amistad Academy,Library/Media - Specialists (Certified),Certified,0,0.5,0.5,0.5,0.0,2795113,Amistad Academy,Amistad Academy District
20,Andover School District,Andover Elementary School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.0,2.0,2.0,2.0,0010111,Andover Elementary School,Andover School District
21,Andover School District,Andover Elementary School,General Education - Paraprofessional Instructional Assistants,Non-Certified,2.5,0.5,3.5,3.0,2.0,0010111,Andover Elementary School,Andover School District
22,Andover School District,Andover Elementary School,General Education - Teachers and Instructors,Certified,26.3,25.2,24.7,24.7,19.7,0010111,Andover Elementary School,Andover School District
23,Andover School District,Andover Elementary School,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,0010111,Andover Elementary School,Andover School District
24,Andover School District,Andover Elementary School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,15.4,15.4,15.4,15.4,15.4,0010111,Andover Elementary School,Andover School District
25,Andover School District,Andover Elementary School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0010111,Andover Elementary School,Andover School District
26,Andover School District,Andover Elementary School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,7,7.5,4.0,4.5,6.0,0010111,Andover Elementary School,Andover School District
27,Andover School District,Andover Elementary School,Special Education - Teachers and Instructors,Certified,3,3.0,3.0,3.0,3.0,0010111,Andover Elementary School,Andover School District
28,Andover School District,Andover Elementary School,Instructional Specialists Who Support Teachers,Certified,1.2,1.4,1.4,1.4,1.4,0010111,Andover Elementary School,Andover School District
29,Andover School District,Andover Elementary School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,0010111,Andover Elementary School,Andover School District
30,Ansonia School District,Ansonia High School,Administrators  Coordinators and Department Chairs - School Level,Certified,3,2.2,2.0,1.0,1.3,0026111,Ansonia High School,Ansonia School District
31,Ansonia School District,Ansonia High School,Counselors  Social Workers  and School Psychologists,Certified,5.6,5.6,5.6,5.0,5.0,0026111,Ansonia High School,Ansonia School District
32,Ansonia School District,Ansonia High School,General Education - Paraprofessional Instructional Assistants,Non-Certified,6,5.0,4.0,4.0,3.0,0026111,Ansonia High School,Ansonia School District
33,Ansonia School District,Ansonia High School,General Education - Teachers and Instructors,Certified,45.3,43.3,43.9,45.3,44.0,0026111,Ansonia High School,Ansonia School District
34,Ansonia School District,Ansonia High School,Library/Media - Support Staff,Non-Certified,1,1.0,1.0,1.0,1.0,0026111,Ansonia High School,Ansonia School District
35,Ansonia School District,Ansonia High School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,23,23.0,22.0,22.0,19.5,0026111,Ansonia High School,Ansonia School District
36,Ansonia School District,Ansonia High School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0026111,Ansonia High School,Ansonia School District
37,Ansonia School District,Ansonia High School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,9,8.5,7.5,7.0,5.0,0026111,Ansonia High School,Ansonia School District
