"category","count","school_id","year"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1001","0010111","201314"
"Days of Instruction","183","0010111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","906","0010111","201415"
"Days of Instruction","182","0010111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","920","0010111","201516"
"Days of Instruction","182","0010111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","990","0020311","201314"
"Days of Instruction","181","0020311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","955","0020311","201415"
"Days of Instruction","181","0020311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","962","0020311","201516"
"Days of Instruction","181","0020311","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","955","0020811","201314"
"Days of Instruction","181","0020811","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","955","0020811","201415"
"Days of Instruction","181","0020811","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","962","0020811","201516"
"Days of Instruction","181","0020811","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1020","0025111","201314"
"Days of Instruction","181","0025111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1020","0025111","201415"
"Days of Instruction","181","0025111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1020","0025111","201516"
"Days of Instruction","181","0025111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","999","0026111","201314"
"Days of Instruction","181","0026111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","999","0026111","201415"
"Days of Instruction","181","0026111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","999","0026111","201516"
"Days of Instruction","181","0026111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","960","0030111","201314"
"Days of Instruction","180","0030111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","960","0030111","201415"
"Days of Instruction","180","0030111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1048","0030111","201516"
"Days of Instruction","180","0030111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1010","0040311","201314"
"Half/Extended Day Kindergarten ","480","0040311","201314"
"Days of Instruction","180","0040311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1010","0040311","201415"
"Half/Extended Day Kindergarten ","480","0040311","201415"
"Days of Instruction","180","0040311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1010","0040311","201516"
"Half/Extended Day Kindergarten ","480","0040311","201516"
"Days of Instruction","180","0040311","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1010","0040411","201314"
