"","category","percent","school_id","year"
"1","School ",100,"0010111","201314"
"2","State High Poverty Quartile Schools ",97.8,"0010111","201314"
"3","State Low Poverty Quartile Schools ",99.5,"0010111","201314"
"4","School ",97,"0010111","201415"
"5","State High Poverty Quartile Schools ",97.9,"0010111","201415"
"6","State Low Poverty Quartile Schools ",99.6,"0010111","201415"
"7","School ",95,"0010111","201516"
"8","State High Poverty Quartile Schools ",97.6,"0010111","201516"
"9","State Low Poverty Quartile Schools ",99.6,"0010111","201516"
"10","School ",100,"0020311","201314"
"11","State High Poverty Quartile Schools ",97.8,"0020311","201314"
"12","State Low Poverty Quartile Schools ",99.5,"0020311","201314"
"13","School ",98.7,"0020311","201415"
"14","State High Poverty Quartile Schools ",97.9,"0020311","201415"
"15","State Low Poverty Quartile Schools ",99.6,"0020311","201415"
"16","School ",100,"0020311","201516"
"17","State High Poverty Quartile Schools ",97.6,"0020311","201516"
"18","State Low Poverty Quartile Schools ",99.6,"0020311","201516"
"19","School ",100,"0020811","201314"
"20","State High Poverty Quartile Schools ",97.8,"0020811","201314"
"21","State Low Poverty Quartile Schools ",99.5,"0020811","201314"
"22","School ",100,"0020811","201415"
"23","State High Poverty Quartile Schools ",97.9,"0020811","201415"
"24","State Low Poverty Quartile Schools ",99.6,"0020811","201415"
"25","School ",100,"0020811","201516"
"26","State High Poverty Quartile Schools ",97.6,"0020811","201516"
"27","State Low Poverty Quartile Schools ",99.6,"0020811","201516"
"28","School ",100,"0025111","201314"
"29","State High Poverty Quartile Schools ",97.8,"0025111","201314"
"30","State Low Poverty Quartile Schools ",99.5,"0025111","201314"
"31","School ",96.2,"0025111","201415"
"32","State High Poverty Quartile Schools ",97.9,"0025111","201415"
"33","State Low Poverty Quartile Schools ",99.6,"0025111","201415"
"34","School ",100,"0025111","201516"
"35","State High Poverty Quartile Schools ",97.6,"0025111","201516"
"36","State Low Poverty Quartile Schools ",99.6,"0025111","201516"
"37","School ",97.4,"0026111","201314"
"38","State High Poverty Quartile Schools ",97.8,"0026111","201314"
"39","State Low Poverty Quartile Schools ",99.5,"0026111","201314"
"40","School ",97.6,"0026111","201415"
"41","State High Poverty Quartile Schools ",97.9,"0026111","201415"
"42","State Low Poverty Quartile Schools ",99.6,"0026111","201415"
"43","School ",100,"0026111","201516"
"44","State High Poverty Quartile Schools ",97.6,"0026111","201516"
"45","State Low Poverty Quartile Schools ",99.6,"0026111","201516"
"46","School ",100,"0030111","201314"
"47","State High Poverty Quartile Schools ",97.8,"0030111","201314"
"48","State Low Poverty Quartile Schools ",99.5,"0030111","201314"
"49","School ",95.7,"0030111","201415"
"50","State High Poverty Quartile Schools ",97.9,"0030111","201415"
"51","State Low Poverty Quartile Schools ",99.6,"0030111","201415"
"52","School ",100,"0030111","201516"
"53","State High Poverty Quartile Schools ",97.6,"0030111","201516"
"54","State Low Poverty Quartile Schools ",99.6,"0030111","201516"
"55","School ",100,"0040311","201314"
"56","State High Poverty Quartile Schools ",97.8,"0040311","201314"
"57","State Low Poverty Quartile Schools ",99.5,"0040311","201314"
"58","School ",100,"0040311","201415"
"59","State High Poverty Quartile Schools ",97.9,"0040311","201415"
"60","State Low Poverty Quartile Schools ",99.6,"0040311","201415"
"61","School ",100,"0040311","201516"
"62","State High Poverty Quartile Schools ",97.6,"0040311","201516"
"63","State Low Poverty Quartile Schools ",99.6,"0040311","201516"
"64","School ",100,"0040411","201314"
"65","State High Poverty Quartile Schools ",97.8,"0040411","201314"
"66","State Low Poverty Quartile Schools ",99.5,"0040411","201314"
"67","School ",98.7,"0040411","201415"
"68","State High Poverty Quartile Schools ",97.9,"0040411","201415"
"69","State Low Poverty Quartile Schools ",99.6,"0040411","201415"
"70","School ",100,"0040411","201516"
"71","State High Poverty Quartile Schools ",97.6,"0040411","201516"
"72","State Low Poverty Quartile Schools ",99.6,"0040411","201516"
"73","School ",100,"0040511","201314"
"74","State High Poverty Quartile Schools ",97.8,"0040511","201314"
"75","State Low Poverty Quartile Schools ",99.5,"0040511","201314"
"76","School ",100,"0040511","201415"
"77","State High Poverty Quartile Schools ",97.9,"0040511","201415"
"78","State Low Poverty Quartile Schools ",99.6,"0040511","201415"
"79","School ",100,"0040511","201516"
"80","State High Poverty Quartile Schools ",97.6,"0040511","201516"
"81","State Low Poverty Quartile Schools ",99.6,"0040511","201516"
"82","School ",100,"0045111","201314"
"83","State High Poverty Quartile Schools ",97.8,"0045111","201314"
"84","State Low Poverty Quartile Schools ",99.5,"0045111","201314"
"85","School ",97.4,"0045111","201415"
"86","State High Poverty Quartile Schools ",97.9,"0045111","201415"
"87","State Low Poverty Quartile Schools ",99.6,"0045111","201415"
"88","School ",100,"0045111","201516"
"89","State High Poverty Quartile Schools ",97.6,"0045111","201516"
"90","State Low Poverty Quartile Schools ",99.6,"0045111","201516"
"91","School ",99.7,"0046111","201314"
"92","State High Poverty Quartile Schools ",97.8,"0046111","201314"
"93","State Low Poverty Quartile Schools ",99.5,"0046111","201314"
"94","School ",100,"0046111","201415"
"95","State High Poverty Quartile Schools ",97.9,"0046111","201415"
"96","State Low Poverty Quartile Schools ",99.6,"0046111","201415"
"97","School ",100,"0046111","201516"
"98","State High Poverty Quartile Schools ",97.6,"0046111","201516"
"99","State Low Poverty Quartile Schools ",99.6,"0046111","201516"
"100","School ",100,"0050111","201314"
"101","State High Poverty Quartile Schools ",97.8,"0050111","201314"
"102","State Low Poverty Quartile Schools ",99.5,"0050111","201314"
"103","School ",100,"0050111","201415"
"104","State High Poverty Quartile Schools ",97.9,"0050111","201415"
"105","State Low Poverty Quartile Schools ",99.6,"0050111","201415"
"106","School ",100,"0050111","201516"
"107","State High Poverty Quartile Schools ",97.6,"0050111","201516"
"108","State Low Poverty Quartile Schools ",99.6,"0050111","201516"
"109","School ",100,"0070111","201314"
"110","State High Poverty Quartile Schools ",97.8,"0070111","201314"
"111","State Low Poverty Quartile Schools ",99.5,"0070111","201314"
"112","School ",88.9,"0070111","201415"
"113","State High Poverty Quartile Schools ",97.9,"0070111","201415"
"114","State Low Poverty Quartile Schools ",99.6,"0070111","201415"
"115","School ",100,"0070111","201516"
"116","State High Poverty Quartile Schools ",97.6,"0070111","201516"
"117","State Low Poverty Quartile Schools ",99.6,"0070111","201516"
"118","School ",98.7,"0070411","201314"
"119","State High Poverty Quartile Schools ",97.8,"0070411","201314"
"120","State Low Poverty Quartile Schools ",99.5,"0070411","201314"
"121","School ",100,"0070411","201415"
"122","State High Poverty Quartile Schools ",97.9,"0070411","201415"
"123","State Low Poverty Quartile Schools ",99.6,"0070411","201415"
"124","School ",100,"0070411","201516"
"125","State High Poverty Quartile Schools ",97.6,"0070411","201516"
"126","State Low Poverty Quartile Schools ",99.6,"0070411","201516"
"127","School ",100,"0070511","201314"
"128","State High Poverty Quartile Schools ",97.8,"0070511","201314"
"129","State Low Poverty Quartile Schools ",99.5,"0070511","201314"
"130","School ",100,"0070511","201415"
"131","State High Poverty Quartile Schools ",97.9,"0070511","201415"
"132","State Low Poverty Quartile Schools ",99.6,"0070511","201415"
"133","School ",98.6,"0070511","201516"
"134","State High Poverty Quartile Schools ",97.6,"0070511","201516"
"135","State Low Poverty Quartile Schools ",99.6,"0070511","201516"
"136","School ",100,"0075111","201314"
"137","State High Poverty Quartile Schools ",97.8,"0075111","201314"
"138","State Low Poverty Quartile Schools ",99.5,"0075111","201314"
"139","School ",96.1,"0075111","201415"
"140","State High Poverty Quartile Schools ",97.9,"0075111","201415"
"141","State Low Poverty Quartile Schools ",99.6,"0075111","201415"
"142","School ",96.1,"0075111","201516"
"143","State High Poverty Quartile Schools ",97.6,"0075111","201516"
"144","State Low Poverty Quartile Schools ",99.6,"0075111","201516"
"145","School ",100,"0076111","201314"
"146","State High Poverty Quartile Schools ",97.8,"0076111","201314"
"147","State Low Poverty Quartile Schools ",99.5,"0076111","201314"
"148","School ",100,"0076111","201415"
"149","State High Poverty Quartile Schools ",97.9,"0076111","201415"
"150","State Low Poverty Quartile Schools ",99.6,"0076111","201415"
"151","School ",100,"0076111","201516"
"152","State High Poverty Quartile Schools ",97.6,"0076111","201516"
"153","State Low Poverty Quartile Schools ",99.6,"0076111","201516"
"154","School ",100,"0080111","201314"
"155","State High Poverty Quartile Schools ",97.8,"0080111","201314"
"156","State Low Poverty Quartile Schools ",99.5,"0080111","201314"
"157","School ",100,"0080111","201415"
"158","State High Poverty Quartile Schools ",97.9,"0080111","201415"
"159","State Low Poverty Quartile Schools ",99.6,"0080111","201415"
"160","School ",100,"0080111","201516"
"161","State High Poverty Quartile Schools ",97.6,"0080111","201516"
"162","State Low Poverty Quartile Schools ",99.6,"0080111","201516"
"163","School ",100,"0090111","201314"
