"school_id","year","attendance"
"0010111","201314",298
"0010111","201415",275
"0010111","201516",250
"0020311","201314",566
"0020311","201415",597
"0020311","201516",595
"0020811","201314",661
"0020811","201415",680
"0020811","201516",688
"0025111","201314",493
"0025111","201415",498
"0025111","201516",446
"0026111","201314",602
"0026111","201415",584
"0026111","201516",597
"0030111","201314",423
"0030111","201415",415
"0030111","201516",397
"0040311","201314",573
"0040311","201415",546
"0040311","201516",497
"0040411","201314",594
"0040411","201415",576
"0040411","201516",599
"0040511","201314",563
"0040511","201415",552
"0040511","201516",550
"0045111","201314",584
"0045111","201415",548
"0045111","201516",545
"0046111","201314",1057
"0046111","201415",1051
"0046111","201516",1038
"0050111","201314",288
"0050111","201415",295
"0050111","201516",255
"0070111","201314",251
"0070111","201415",225
"0070111","201516",238
"0070411","201314",514
"0070411","201415",504
"0070411","201516",503
"0070511","201314",562
"0070511","201415",547
"0070511","201516",497
"0075111","201314",691
"0075111","201415",702
"0075111","201516",672
"0076111","201314",933
"0076111","201415",918
"0076111","201516",953
"0080111","201314",436
"0080111","201415",407
"0080111","201516",383
"0090111","201314",556
"0090111","201415",546
"0090111","201516",561
"0090411","201314",411
"0090411","201415",413
"0090411","201516",420
"0090511","201314",417
"0090511","201415",386
"0090511","201516",426
"0095111","201314",672
"0095111","201415",695
"0095111","201516",658
"0096111","201314",933
"0096111","201415",889
"0096111","201516",897
"0110511","201314",231
"0110511","201415",248
"0110511","201516",254
"0110611","201314",318
"0110611","201415",345
"0110611","201516",335
"0110711","201314",216
"0110711","201415",208
"0110711","201516",220
"0110811","201314",321
"0110811","201415",321
"0110811","201516",322
"0115211","201314",213
"0115211","201415",214
"0115211","201516",193
"0116111","201314",555
"0116111","201415",538
"0116111","201516",516
"0116311","201314",220
"0116311","201415",220
"0116311","201516",218
"0116411","201314",13
"0116411","201415",13
"0116411","201516",10
"0120111","201314",528
"0120111","201415",520
"0120111","201516",507
"0126111","201314",334
"0126111","201415",318
"0126111","201516",307
"0130111","201314",243
"0130111","201415",209
"0130111","201516",201
"0141411","201314",420
"0141411","201415",413
"0141411","201516",424
"0141511","201314",400
"0141511","201415",388
"0141511","201516",366
"0141611","201314",374
"0141611","201415",355
"0141611","201516",349
"0145111","201314",942
"0145111","201415",916
"0145111","201516",912
"0146111","201314",1050
"0146111","201415",961
"0146111","201516",914
"0150111","201314",626
"0150111","201415",635
"0150111","201516",618
"0150211","201314",376
"0150211","201415",370
"0150211","201516",354
"0150311","201314",406
"0150311","201415",413
"0150311","201516",469
"0150411","201314",413
"0150411","201415",406
"0150411","201516",385
"0150511","201314",886
"0150511","201415",861
"0150511","201516",852
"0150611","201314",229
"0150611","201415",348
"0150611","201516",489
"0150711","201314",251
"0150711","201415",274
"0150711","201516",270
"0150811","201314",235
"0150811","201415",356
"0150811","201516",494
"0151011","201314",904
"0151011","201415",920
"0151011","201516",836
"0151111","201314",275
"0151111","201415",262
"0151111","201516",240
"0151211","201314",332
"0151211","201415",302
"0151211","201516",315
"0151311","201314",387
"0151311","201415",371
"0151311","201516",351
"0151411","201314",1173
"0151411","201415",1204
"0151411","201516",1196
"0151511","201314",236
"0151511","201415",365
"0151511","201516",492
"0151611","201314",116
"0151611","201415",233
"0151611","201516",270
"0151711","201314",491
"0151711","201415",465
"0151711","201516",483
"0152011","201314",539
"0152011","201415",533
"0152011","201516",512
"0152111","201314",340
"0152111","201415",371
"0152111","201516",393
"0152211","201314",655
"0152211","201415",679
"0152211","201516",649
"0152511","201314",839
"0152511","201415",884
"0152511","201516",891
"0152611","201314",564
"0152611","201415",562
"0152611","201516",623
"0153011","201314",514
"0153011","201415",491
"0153011","201516",503
"0153211","201314",843
"0153211","201415",824
"0153211","201516",794
"0153611","201314",685
"0153611","201415",652
"0153611","201516",673
"0153711","201314",511
"0153711","201415",518
"0153711","201516",506
"0153911","201314",413
"0153911","201415",386
"0153911","201516",397
"0154011","201314",1127
"0154011","201415",1114
"0154011","201516",1131
"0154111","201314",303
"0154111","201415",377
"0154111","201516",416
"0154211","201314",737
"0154211","201415",769
"0154211","201516",698
"0154411","201314",304
"0154411","201415",387
"0154411","201516",224
"0154511","201314",422
"0154511","201415",414
"0154511","201516",408
"0154611","201314",449
"0154611","201415",457
"0154611","201516",460
"0156111","201314",1120
"0156111","201415",1008
"0156111","201516",951
"0156211","201314",1838
"0156211","201415",1673
"0156211","201516",1517
"0156311","201314",1105
"0156311","201415",1134
"0156311","201516",1060
"0170311","201314",355
"0170311","201415",340
"0170311","201516",340
"0170411","201415",74
"0170411","201516",63
"0170511","201314",890
"0170511","201415",892
"0170511","201516",927
"0171111","201314",503
"0171111","201415",529
"0171111","201516",491
"0171211","201314",504
"0171211","201415",443
"0171211","201516",436
"0171411","201314",424
"0171411","201415",422
"0171411","201516",451
"0171711","201314",437
"0171711","201415",382
"0171711","201516",372
"0171911","201314",397
"0171911","201415",396
"0171911","201516",395
"0172011","201314",945
"0172011","201415",919
"0172011","201516",922
"0175111","201314",718
"0175111","201415",760
"0175111","201516",704
"0175211","201314",453
"0175211","201415",430
"0175211","201516",422
"0176111","201314",1242
"0176111","201415",1180
"0176111","201516",1167
"0176211","201314",1299
"0176211","201415",1247
"0176211","201516",1221
"0180311","201314",380
"0180311","201415",334
"0180311","201516",368
"0180411","201314",624
"0180411","201415",599
"0180411","201516",577
"0185311","201314",859
"0185311","201415",882
"0185311","201516",855
"0186111","201314",901
"0186111","201415",895
"0186111","201516",880
"0190111","201314",545
"0190111","201415",536
"0190111","201516",521
"0195111","201314",374
"0195111","201415",373
"0195111","201516",377
"0210111","201314",77
"0210111","201415",78
"0210111","201516",76
"0220211","201314",225
"0220211","201415",243
"0220211","201516",261
"0225111","201314",233
"0225111","201415",228
"0225111","201516",230
"0230211","201314",490
"0230211","201415",449
"0230211","201516",451
"0230311","201314",434
"0230311","201415",410
"0230311","201516",400
"0235111","201314",265
"0235111","201415",272
"0235111","201516",284
"0236111","201314",499
"0236111","201415",485
"0236111","201516",488
"0240211","201314",183
"0240211","201415",178
"0240211","201516",176
"0250111","201314",298
"0250111","201415",350
"0250111","201516",344
"0250211","201314",293
"0250211","201415",170
"0250211","201516",147
"0250411","201314",740
"0250411","201415",768
"0250411","201516",751
"0250511","201314",429
"0250511","201415",447
"0250511","201516",445
"0250611","201314",529
"0250611","201415",502
"0250611","201516",480
"0255111","201314",747
"0255111","201415",755
"0255111","201516",719
"0256111","201314",1538
"0256111","201415",1512
"0256111","201516",1481
"0260111","201314",228
"0260111","201415",219
"0260111","201516",211
"0270111","201314",296
"0270111","201415",315
"0270111","201516",312
"0270311","201314",638
"0270311","201415",556
"0270311","201516",522
"0275111","201314",462
"0275111","201415",461
"0275111","201516",452
"0276111","201314",558
"0276111","201415",550
"0276111","201516",533
"0280211","201314",614
"0280211","201415",585
"0280211","201516",531
"0280411","201314",551
"0280411","201415",542
"0280411","201516",570
"0285111","201314",668
"0285111","201415",626
"0285111","201516",600
"0286111","201314",900
"0286111","201415",886
"0286111","201516",835
"0290111","201314",99
"0290111","201415",91
"0290111","201516",84
"0300111","201314",467
"0300111","201415",453
"0300111","201516",445
"0310111","201314",105
"0310111","201415",91
"0310111","201516",92
"0320211","201314",377
"0320211","201415",363
"0320211","201516",348
"0320411","201314",377
"0320411","201415",368
"0320411","201516",365
"0325111","201314",393
"0325111","201415",385
"0325111","201516",397
"0326111","201314",518
"0326111","201415",490
"0326111","201516",465
"0330211","201314",468
"0330211","201415",466
"0330211","201516",477
"0330311","201314",477
"0330311","201415",481
"0330311","201516",480
"0335111","201314",454
"0335111","201415",455
"0335111","201516",447
"0336111","201314",549
"0336111","201415",566
"0336111","201516",578
"0340111","201314",139
"0340111","201415",130
"0340111","201516",141
"0340211","201314",469
"0340211","201415",458
"0340211","201516",470
"0340311","201415",400
"0340311","201516",496
"0340511","201314",412
"0340511","201415",334
"0340511","201516",350
"0340611","201314",468
"0340611","201415",371
"0340611","201516",357
"0340811","201314",433
"0340811","201415",563
"0340811","201516",595
"0341011","201314",375
"0341011","201415",369
"0341011","201516",378
"0341111","201314",356
"0341111","201415",355
"0341111","201516",354
"0341211","201314",416
"0341211","201415",497
"0341211","201516",520
"0341311","201314",417
"0341311","201415",390
"0341311","201516",409
"0341411","201314",435
"0341411","201415",429
"0341411","201516",432
"0341511","201314",376
"0341511","201415",375
"0341511","201516",368
"0341611","201314",432
"0341611","201415",472
"0341611","201516",496
"0341711","201314",370
"0341711","201415",366
"0341711","201516",369
"0341911","201314",423
"0341911","201415",413
