"category","entrance.rate","pers_year","school_id","year"
"Female ","66.3 ","Class of 2013","0026111","201314"
"Male ","45.2 ","Class of 2013","0026111","201314"
"Black or African American ","62.2 ","Class of 2013","0026111","201314"
"Hispanic or Latino ","55.3 ","Class of 2013","0026111","201314"
"White ","54.7 ","Class of 2013","0026111","201314"
"English Language Learners ","* ","Class of 2013","0026111","201314"
"Eligible for Free or ","54.0 ","Class of 2013","0026111","201314"
"Reduced-Price Meals","","Class of 2013","0026111","201314"
"Students with Disabilities ","* ","Class of 2013","0026111","201314"
"School ","57.5 ","Class of 2013","0026111","201314"
"District ","57.5 ","Class of 2013","0026111","201314"
"Female ","65.5 ","Class of 2014","0026111","201415"
"Male ","54.7 ","Class of 2014","0026111","201415"
"Black or African American ","57.7 ","Class of 2014","0026111","201415"
"Hispanic or Latino ","58.3 ","Class of 2014","0026111","201415"
"White ","61.4 ","Class of 2014","0026111","201415"
"English Language Learners ","* ","Class of 2014","0026111","201415"
"Eligible for Free or ","53.8 ","Class of 2014","0026111","201415"
"Reduced-Price Meals","","Class of 2014","0026111","201415"
"Students with Disabilities ","31.8 ","Class of 2014","0026111","201415"
"School ","59.4 ","Class of 2014","0026111","201415"
"District ","59.4 ","Class of 2014","0026111","201415"
"Female ","77.4 ","Class of 2015","0026111","201516"
"Male ","53.2 ","Class of 2015","0026111","201516"
"Black or African American ","66.7 ","Class of 2015","0026111","201516"
"Hispanic or Latino ","56.8 ","Class of 2015","0026111","201516"
"White ","65.2 ","Class of 2015","0026111","201516"
"English Language Learners ","* ","Class of 2015","0026111","201516"
"Eligible for Free or ","63.0 ","Class of 2015","0026111","201516"
"Reduced-Price Meals","","Class of 2015","0026111","201516"
"Students with Disabilities ","* ","Class of 2015","0026111","201516"
"School ","63.8 ","Class of 2015","0026111","201516"
"District ","59.6 ","Class of 2015","0026111","201516"
"Female ","87.4 ","Class of 2013","0046111","201314"
"Male ","87.1 ","Class of 2013","0046111","201314"
"Black or African American ","* ","Class of 2013","0046111","201314"
"Hispanic or Latino ","* ","Class of 2013","0046111","201314"
"White ","87.9 ","Class of 2013","0046111","201314"
"English Language Learners ","* ","Class of 2013","0046111","201314"
"Eligible for Free or ","* ","Class of 2013","0046111","201314"
"Reduced-Price Meals","","Class of 2013","0046111","201314"
"Students with Disabilities ","76.3 ","Class of 2013","0046111","201314"
"School ","87.2 ","Class of 2013","0046111","201314"
"District ","87.2 ","Class of 2013","0046111","201314"
"Female ","92.7 ","Class of 2014","0046111","201415"
"Male ","82.8 ","Class of 2014","0046111","201415"
"Black or African American ","* ","Class of 2014","0046111","201415"
"Hispanic or Latino ","* ","Class of 2014","0046111","201415"
"White ","89.1 ","Class of 2014","0046111","201415"
"English Language Learners ","* ","Class of 2014","0046111","201415"
"Eligible for Free or ","76.9 ","Class of 2014","0046111","201415"
"Reduced-Price Meals","","Class of 2014","0046111","201415"
"Students with Disabilities ","77.1 ","Class of 2014","0046111","201415"
"School ","88.2 ","Class of 2014","0046111","201415"
"District ","88.2 ","Class of 2014","0046111","201415"
"Female ","86.6 ","Class of 2015","0046111","201516"
"Male ","84.9 ","Class of 2015","0046111","201516"
"Black or African American ","* ","Class of 2015","0046111","201516"
"Hispanic or Latino ","* ","Class of 2015","0046111","201516"
"White ","84.1 ","Class of 2015","0046111","201516"
"English Language Learners ","N/A ","Class of 2015","0046111","201516"
"Eligible for Free or ","* ","Class of 2015","0046111","201516"
"Reduced-Price Meals","","Class of 2015","0046111","201516"
"Students with Disabilities ","74.1 ","Class of 2015","0046111","201516"
"School ","85.8 ","Class of 2015","0046111","201516"
"District ","85.8 ","Class of 2015","0046111","201516"
"Female ","87.5 ","Class of 2013","0076111","201314"
"Male ","77.7 ","Class of 2013","0076111","201314"
"Black or African American ","* ","Class of 2013","0076111","201314"
"Hispanic or Latino ","* ","Class of 2013","0076111","201314"
"White ","83.3 ","Class of 2013","0076111","201314"
"English Language Learners ","* ","Class of 2013","0076111","201314"
"Eligible for Free or ","63.3 ","Class of 2013","0076111","201314"
"Reduced-Price Meals","","Class of 2013","0076111","201314"
"Students with Disabilities ","51.6 ","Class of 2013","0076111","201314"
"School ","82.9 ","Class of 2013","0076111","201314"
"District ","82.9 ","Class of 2013","0076111","201314"
"Female ","91.1 ","Class of 2014","0076111","201415"
"Male ","85.2 ","Class of 2014","0076111","201415"
"Black or African American ","* ","Class of 2014","0076111","201415"
"Hispanic or Latino ","* ","Class of 2014","0076111","201415"
"White ","87.8 ","Class of 2014","0076111","201415"
"English Language Learners ","* ","Class of 2014","0076111","201415"
"Eligible for Free or ","71.1 ","Class of 2014","0076111","201415"
"Reduced-Price Meals","","Class of 2014","0076111","201415"
"Students with Disabilities ","74.3 ","Class of 2014","0076111","201415"
"School ","88.1 ","Class of 2014","0076111","201415"
"District ","88.1 ","Class of 2014","0076111","201415"
"Female ","88.7 ","Class of 2015","0076111","201516"
"Male ","79.0 ","Class of 2015","0076111","201516"
"Black or African American ","* ","Class of 2015","0076111","201516"
"Hispanic or Latino ","* ","Class of 2015","0076111","201516"
"White ","84.2 ","Class of 2015","0076111","201516"
"English Language Learners ","* ","Class of 2015","0076111","201516"
"Eligible for Free or ","60.0 ","Class of 2015","0076111","201516"
"Reduced-Price Meals","","Class of 2015","0076111","201516"
"Students with Disabilities ","63.0 ","Class of 2015","0076111","201516"
