"","category","count","rate","school_id","year"
"1","Autism "," ","","0010111","201314"
"2","Emotional Disturbance "," ","","0010111","201314"
"3","Intellectual Disability "," ","","0010111","201314"
"4","Learning Disability "," ","","0010111","201314"
"5","Other Health Impairment ","6 ","","0010111","201314"
"6","Other Disabilities "," ","","0010111","201314"
"7","Speech/Language Impairment ","0 ","0.0","0010111","201314"
"8","School ","13 ","","0010111","201314"
"9","District ","","73.7","0010111","201314"
"10","Autism "," ","","0010111","201415"
"11","Emotional Disturbance "," ","","0010111","201415"
"12","Intellectual Disability "," ","","0010111","201415"
"13","Learning Disability "," ","","0010111","201415"
"14","Other Health Impairment ","7 ","","0010111","201415"
"15","Other Disabilities "," ","","0010111","201415"
"16","Speech/Language Impairment ","0 ","0.0","0010111","201415"
"17","School ","12 ","","0010111","201415"
"18","District ","","80.0","0010111","201415"
"19","Autism "," ","","0010111","201415"
"20","Emotional Disturbance "," ","","0010111","201415"
"21","Intellectual Disability "," ","","0010111","201415"
"22","Learning Disability "," ","","0010111","201415"
"23","Other Health Impairment ","7 ","","0010111","201415"
"24","Other Disabilities "," ","","0010111","201415"
"25","Speech/Language Impairment ","0 ","0.0","0010111","201415"
"26","School ","12 ","","0010111","201415"
"27","District ","","80.0","0010111","201415"
"28","Autism "," ","","0010111","201516"
"29","Emotional Disturbance "," ","","0010111","201516"
"30","Intellectual Disability "," ","","0010111","201516"
"31","Learning Disability "," ","","0010111","201516"
"32","Other Health Impairment "," ","","0010111","201516"
"33","Other Disabilities "," ","","0010111","201516"
"34","Speech/Language Impairment "," ","","0010111","201516"
"35","School ","9 ","","0010111","201516"
"36","District ","","66.7","0010111","201516"
"37","Autism "," ","","0010111","201516"
"38","Emotional Disturbance "," ","","0010111","201516"
"39","Intellectual Disability "," ","","0010111","201516"
"40","Learning Disability "," ","","0010111","201516"
"41","Other Health Impairment "," ","","0010111","201516"
"42","Other Disabilities "," ","","0010111","201516"
"43","Speech/Language Impairment "," ","","0010111","201516"
"44","School ","9 ","","0010111","201516"
"45","District ","","66.7","0010111","201516"
"46","Autism "," ","","0020311","201314"
"47","Emotional Disturbance ","6 ","","0020311","201314"
"48","Intellectual Disability "," ","","0020311","201314"
"49","Learning Disability ","25 ","100.0","0020311","201314"
"50","Other Health Impairment ","20 ","95.2","0020311","201314"
"51","Other Disabilities "," ","","0020311","201314"
"52","Speech/Language Impairment ","15 ","","0020311","201314"
"53","School ","69 ","95.8","0020311","201314"
"54","District ","","74.6","0020311","201314"
"55","Autism "," ","","0020311","201415"
"56","Emotional Disturbance "," ","","0020311","201415"
"57","Intellectual Disability ","0 ","0.0","0020311","201415"
"58","Learning Disability ","22 ","88.0","0020311","201415"
"59","Other Health Impairment ","21 ","91.3","0020311","201415"
"60","Other Disabilities "," ","","0020311","201415"
"61","Speech/Language Impairment ","19 ","95.0","0020311","201415"
"62","School ","68 ","80.0","0020311","201415"
"63","District ","","67.2","0020311","201415"
"64","Autism "," ","","0020311","201415"
"65","Emotional Disturbance "," ","","0020311","201415"
"66","Intellectual Disability ","0 ","0.0","0020311","201415"
"67","Learning Disability ","22 ","88.0","0020311","201415"
"68","Other Health Impairment ","21 ","91.3","0020311","201415"
"69","Other Disabilities "," ","","0020311","201415"
"70","Speech/Language Impairment ","19 ","95.0","0020311","201415"
"71","School ","68 ","80.0","0020311","201415"
"72","District ","","67.2","0020311","201415"
"73","Autism "," ","","0020311","201516"
"74","Emotional Disturbance "," ","","0020311","201516"
"75","Intellectual Disability ","0 ","0.0","0020311","201516"
"76","Learning Disability ","24 ","96.0","0020311","201516"
"77","Other Health Impairment ","22 ","100.0","0020311","201516"
"78","Other Disabilities "," ","","0020311","201516"
"79","Speech/Language Impairment ","15 ","","0020311","201516"
"80","School ","71 ","89.9","0020311","201516"
"81","District ","","66.3","0020311","201516"
"82","Autism "," ","","0020311","201516"
"83","Emotional Disturbance "," ","","0020311","201516"
"84","Intellectual Disability ","0 ","0.0","0020311","201516"
"85","Learning Disability ","24 ","96.0","0020311","201516"
"86","Other Health Impairment ","22 ","100.0","0020311","201516"
"87","Other Disabilities "," ","","0020311","201516"
"88","Speech/Language Impairment ","15 ","","0020311","201516"
"89","School ","71 ","89.9","0020311","201516"
"90","District ","","66.3","0020311","201516"
"91","Autism ","7 ","","0020811","201314"
"92","Emotional Disturbance "," ","","0020811","201314"
"93","Intellectual Disability "," ","","0020811","201314"
"94","Learning Disability ","16 ","","0020811","201314"
"95","Other Health Impairment ","22 ","100.0","0020811","201314"
"96","Other Disabilities "," ","","0020811","201314"
"97","Speech/Language Impairment ","13 ","","0020811","201314"
"98","School ","64 ","88.8","0020811","201314"
"99","District ","","74.6","0020811","201314"
"100","Autism "," ","","0020811","201415"
"101","Emotional Disturbance "," ","","0020811","201415"
"102","Intellectual Disability "," ","","0020811","201415"
"103","Learning Disability ","25 ","96.1","0020811","201415"
"104","Other Health Impairment ","21 ","84.0","0020811","201415"
"105","Other Disabilities "," ","","0020811","201415"
"106","Speech/Language Impairment ","19 ","","0020811","201415"
"107","School ","75 ","85.2","0020811","201415"
"108","District ","","67.2","0020811","201415"
"109","Autism "," ","","0020811","201415"
"110","Emotional Disturbance "," ","","0020811","201415"
"111","Intellectual Disability "," ","","0020811","201415"
"112","Learning Disability ","25 ","96.1","0020811","201415"
"113","Other Health Impairment ","21 ","84.0","0020811","201415"
"114","Other Disabilities "," ","","0020811","201415"
"115","Speech/Language Impairment ","19 ","","0020811","201415"
"116","School ","75 ","85.2","0020811","201415"
"117","District ","","67.2","0020811","201415"
"118","Autism "," ","","0020811","201516"
"119","Emotional Disturbance "," ","","0020811","201516"
"120","Intellectual Disability ","0 ","0.0","0020811","201516"
"121","Learning Disability ","18 ","72.0","0020811","201516"
"122","Other Health Impairment ","22 ","81.5","0020811","201516"
"123","Other Disabilities "," ","","0020811","201516"
"124","Speech/Language Impairment ","20 ","95.2","0020811","201516"
"125","School ","65 ","70.7","0020811","201516"
"126","District ","","66.3","0020811","201516"
"127","Autism "," ","","0020811","201516"
"128","Emotional Disturbance "," ","","0020811","201516"
"129","Intellectual Disability ","0 ","0.0","0020811","201516"
"130","Learning Disability ","18 ","72.0","0020811","201516"
"131","Other Health Impairment ","22 ","81.5","0020811","201516"
"132","Other Disabilities "," ","","0020811","201516"
"133","Speech/Language Impairment ","20 ","95.2","0020811","201516"
"134","School ","65 ","70.7","0020811","201516"
"135","District ","","66.3","0020811","201516"
"136","Autism "," ","","0025111","201314"
"137","Emotional Disturbance "," ","","0025111","201314"
"138","Intellectual Disability "," ","","0025111","201314"
"139","Learning Disability ","17 ","","0025111","201314"
"140","Other Health Impairment ","7 ","","0025111","201314"
"141","Other Disabilities "," ","","0025111","201314"
"142","Speech/Language Impairment ","6 ","","0025111","201314"
"143","School ","37 ","77.0","0025111","201314"
"144","District ","","74.6","0025111","201314"
"145","Autism "," ","","0025111","201415"
"146","Emotional Disturbance "," ","","0025111","201415"
"147","Intellectual Disability ","0 ","0.0","0025111","201415"
"148","Learning Disability ","19 ","90.4","0025111","201415"
"149","Other Health Impairment ","13 ","","0025111","201415"
"150","Other Disabilities "," ","","0025111","201415"
"151","Speech/Language Impairment "," ","","0025111","201415"
"152","School ","44 ","73.3","0025111","201415"
"153","District ","","67.2","0025111","201415"
"154","Autism "," ","","0025111","201415"
"155","Emotional Disturbance "," ","","0025111","201415"
"156","Intellectual Disability ","0 ","0.0","0025111","201415"
"157","Learning Disability ","19 ","90.4","0025111","201415"
"158","Other Health Impairment ","13 ","","0025111","201415"
"159","Other Disabilities "," ","","0025111","201415"
"160","Speech/Language Impairment "," ","","0025111","201415"
"161","School ","44 ","73.3","0025111","201415"
"162","District ","","67.2","0025111","201415"
"163","Autism "," ","","0025111","201516"
"164","Emotional Disturbance "," ","","0025111","201516"
"165","Intellectual Disability "," ","","0025111","201516"
"166","Learning Disability ","27 ","90.0","0025111","201516"
"167","Other Health Impairment ","12 ","","0025111","201516"
"168","Other Disabilities "," ","","0025111","201516"
"169","Speech/Language Impairment ","6 ","","0025111","201516"
"170","School ","53 ","68.8","0025111","201516"
"171","District ","","66.3","0025111","201516"
"172","Autism "," ","","0025111","201516"
"173","Emotional Disturbance "," ","","0025111","201516"
"174","Intellectual Disability "," ","","0025111","201516"
"175","Learning Disability ","27 ","90.0","0025111","201516"
"176","Other Health Impairment ","12 ","","0025111","201516"
"177","Other Disabilities "," ","","0025111","201516"
"178","Speech/Language Impairment ","6 ","","0025111","201516"
"179","School ","53 ","68.8","0025111","201516"
"180","District ","","66.3","0025111","201516"
"181","Autism ","0 ","0.0","0026111","201314"
"182","Emotional Disturbance "," ","","0026111","201314"
"183","Intellectual Disability "," ","","0026111","201314"
"184","Learning Disability ","23 ","95.8","0026111","201314"
"185","Other Health Impairment ","17 ","","0026111","201314"
"186","Other Disabilities "," ","","0026111","201314"
"187","Speech/Language Impairment "," ","","0026111","201314"
"188","School ","54 ","80.5","0026111","201314"
"189","District ","","74.6","0026111","201314"
"190","Autism "," ","","0026111","201415"
"191","Emotional Disturbance ","9 ","","0026111","201415"
"192","Intellectual Disability "," ","","0026111","201415"
"193","Learning Disability ","20 ","80.0","0026111","201415"
"194","Other Health Impairment ","16 ","76.1","0026111","201415"
"195","Other Disabilities "," ","","0026111","201415"
"196","Speech/Language Impairment "," ","","0026111","201415"
"197","School ","57 ","65.5","0026111","201415"
"198","District ","","67.2","0026111","201415"
"199","Autism "," ","","0026111","201516"
"200","Emotional Disturbance "," ","","0026111","201516"
"201","Intellectual Disability "," ","","0026111","201516"
"202","Learning Disability ","28 ","82.4","0026111","201516"
"203","Other Health Impairment ","18 ","85.7","0026111","201516"
"204","Other Disabilities "," ","","0026111","201516"
"205","Speech/Language Impairment "," ","","0026111","201516"
"206","School ","63 ","68.5","0026111","201516"
"207","District ","","66.3","0026111","201516"
"208","Autism "," ","","0030111","201314"
"209","Emotional Disturbance "," ","","0030111","201314"
"210","Intellectual Disability ","0 ","0.0","0030111","201314"
"211","Learning Disability ","6 ","","0030111","201314"
"212","Other Health Impairment ","10 ","","0030111","201314"
"213","Other Disabilities "," ","","0030111","201314"
"214","Speech/Language Impairment ","6 ","","0030111","201314"
"215","School ","27 ","67.5","0030111","201314"
"216","District ","","65.1","0030111","201314"
"217","Autism "," ","","0030111","201415"
"218","Emotional Disturbance "," ","","0030111","201415"
"219","Intellectual Disability ","0 ","0.0","0030111","201415"
"220","Learning Disability "," ","","0030111","201415"
"221","Other Health Impairment ","10 ","","0030111","201415"
"222","Other Disabilities "," ","","0030111","201415"
"223","Speech/Language Impairment "," ","","0030111","201415"
"224","School ","25 ","69.4","0030111","201415"
"225","District ","","65.9","0030111","201415"
"226","Autism "," ","","0030111","201415"
"227","Emotional Disturbance "," ","","0030111","201415"
"228","Intellectual Disability ","0 ","0.0","0030111","201415"
"229","Learning Disability "," ","","0030111","201415"
"230","Other Health Impairment ","10 ","","0030111","201415"
"231","Other Disabilities "," ","","0030111","201415"
"232","Speech/Language Impairment "," ","","0030111","201415"
"233","School ","25 ","69.4","0030111","201415"
"234","District ","","65.9","0030111","201415"
"235","Autism "," ","","0030111","201516"
"236","Emotional Disturbance "," ","","0030111","201516"
"237","Intellectual Disability "," ","","0030111","201516"
"238","Learning Disability ","6 ","","0030111","201516"
"239","Other Health Impairment ","8 ","","0030111","201516"
"240","Other Disabilities "," ","","0030111","201516"
"241","Speech/Language Impairment ","6 ","","0030111","201516"
"242","School ","27 ","75.0","0030111","201516"
"243","District ","","70.0","0030111","201516"
"244","Autism "," ","","0030111","201516"
"245","Emotional Disturbance "," ","","0030111","201516"
"246","Intellectual Disability "," ","","0030111","201516"
"247","Learning Disability ","6 ","","0030111","201516"
"248","Other Health Impairment ","8 ","","0030111","201516"
"249","Other Disabilities "," ","","0030111","201516"
"250","Speech/Language Impairment ","6 ","","0030111","201516"
"251","School ","27 ","75.0","0030111","201516"
"252","District ","","70.0","0030111","201516"
"253","Autism "," ","","0040311","201314"
"254","Emotional Disturbance "," ","","0040311","201314"
"255","Intellectual Disability "," ","","0040311","201314"
"256","Learning Disability "," ","","0040311","201314"
"257","Other Health Impairment ","6 ","","0040311","201314"
"258","Other Disabilities "," ","","0040311","201314"
"259","Speech/Language Impairment ","15 ","","0040311","201314"
"260","School ","31 ","86.1","0040311","201314"
"261","District ","","63.4","0040311","201314"
"262","Autism "," ","","0040311","201415"
"263","Emotional Disturbance "," ","","0040311","201415"
"264","Intellectual Disability "," ","","0040311","201415"
"265","Learning Disability "," ","","0040311","201415"
"266","Other Health Impairment "," ","","0040311","201415"
"267","Other Disabilities "," ","","0040311","201415"
"268","Speech/Language Impairment ","7 ","","0040311","201415"
"269","School ","17 ","77.2","0040311","201415"
"270","District ","","65.1","0040311","201415"
"271","Autism "," ","","0040311","201415"
"272","Emotional Disturbance "," ","","0040311","201415"
"273","Intellectual Disability "," ","","0040311","201415"
"274","Learning Disability "," ","","0040311","201415"
"275","Other Health Impairment "," ","","0040311","201415"
"276","Other Disabilities "," ","","0040311","201415"
"277","Speech/Language Impairment ","7 ","","0040311","201415"
"278","School ","17 ","77.2","0040311","201415"
"279","District ","","65.1","0040311","201415"
"280","Autism "," ","","0040311","201516"
"281","Emotional Disturbance "," ","","0040311","201516"
"282","Intellectual Disability "," ","","0040311","201516"
"283","Learning Disability "," ","","0040311","201516"
"284","Other Health Impairment "," ","","0040311","201516"
"285","Other Disabilities ","0 ","0.0","0040311","201516"
"286","Speech/Language Impairment ","7 ","","0040311","201516"
"287","School ","18 ","75.0","0040311","201516"
"288","District ","","61.5","0040311","201516"
"289","Autism "," ","","0040311","201516"
"290","Emotional Disturbance "," ","","0040311","201516"
"291","Intellectual Disability "," ","","0040311","201516"
"292","Learning Disability "," ","","0040311","201516"
"293","Other Health Impairment "," ","","0040311","201516"
"294","Other Disabilities ","0 ","0.0","0040311","201516"
"295","Speech/Language Impairment ","7 ","","0040311","201516"
"296","School ","18 ","75.0","0040311","201516"
"297","District ","","61.5","0040311","201516"
"298","Autism "," ","","0040411","201314"
"299","Emotional Disturbance "," ","","0040411","201314"
"300","Intellectual Disability ","0 ","0.0","0040411","201314"
"301","Learning Disability ","13 ","","0040411","201314"
"302","Other Health Impairment "," ","","0040411","201314"
"303","Other Disabilities "," ","","0040411","201314"
"304","Speech/Language Impairment ","8 ","","0040411","201314"
"305","School ","28 ","93.3","0040411","201314"
"306","District ","","63.4","0040411","201314"
"307","Autism "," ","","0040411","201415"
"308","Emotional Disturbance "," ","","0040411","201415"
"309","Intellectual Disability "," ","","0040411","201415"
"310","Learning Disability ","9 ","","0040411","201415"
"311","Other Health Impairment "," ","","0040411","201415"
"312","Other Disabilities "," ","","0040411","201415"
"313","Speech/Language Impairment ","9 ","","0040411","201415"
"314","School ","27 ","90.0","0040411","201415"
"315","District ","","65.1","0040411","201415"
"316","Autism "," ","","0040411","201415"
"317","Emotional Disturbance "," ","","0040411","201415"
"318","Intellectual Disability "," ","","0040411","201415"
"319","Learning Disability ","9 ","","0040411","201415"
"320","Other Health Impairment "," ","","0040411","201415"
"321","Other Disabilities "," ","","0040411","201415"
"322","Speech/Language Impairment ","9 ","","0040411","201415"
"323","School ","27 ","90.0","0040411","201415"
"324","District ","","65.1","0040411","201415"
"325","Autism "," ","","0040411","201516"
"326","Emotional Disturbance "," ","","0040411","201516"
"327","Intellectual Disability "," ","","0040411","201516"
"328","Learning Disability "," ","","0040411","201516"
"329","Other Health Impairment ","7 ","","0040411","201516"
"330","Other Disabilities ","0 ","0.0","0040411","201516"
"331","Speech/Language Impairment ","9 ","","0040411","201516"
"332","School ","24 ","82.8","0040411","201516"
"333","District ","","61.5","0040411","201516"
"334","Autism "," ","","0040411","201516"
"335","Emotional Disturbance "," ","","0040411","201516"
"336","Intellectual Disability "," ","","0040411","201516"
"337","Learning Disability "," ","","0040411","201516"
"338","Other Health Impairment ","7 ","","0040411","201516"
"339","Other Disabilities ","0 ","0.0","0040411","201516"
"340","Speech/Language Impairment ","9 ","","0040411","201516"
"341","School ","24 ","82.8","0040411","201516"
"342","District ","","61.5","0040411","201516"
"343","Autism "," ","","0040511","201314"
"344","Emotional Disturbance ","0 ","0.0","0040511","201314"
"345","Intellectual Disability ","0 ","0.0","0040511","201314"
"346","Learning Disability ","19 ","76.0","0040511","201314"
"347","Other Health Impairment ","13 ","","0040511","201314"
"348","Other Disabilities "," ","","0040511","201314"
