"","school_id","year","female","male"
"1","0010111","201314",140,158
"2","0010111","201415",129,146
"3","0010111","201516",118,132
"4","0020311","201314",288,278
"5","0020311","201415",286,311
"6","0020311","201516",287,308
"7","0020811","201314",308,353
"8","0020811","201415",318,362
"9","0020811","201516",340,348
"10","0025111","201314",227,266
"11","0025111","201415",240,258
"12","0025111","201516",204,242
"13","0026111","201314",268,334
"14","0026111","201415",276,308
"15","0026111","201516",274,323
"16","0030111","201314",205,218
"17","0030111","201415",204,211
"18","0030111","201516",194,203
"19","0040311","201314",272,301
"20","0040311","201415",264,282
"21","0040311","201516",236,261
"22","0040411","201314",315,279
"23","0040411","201415",308,268
"24","0040411","201516",302,297
"25","0040511","201314",260,303
"26","0040511","201415",243,309
"27","0040511","201516",272,278
"28","0045111","201314",301,283
"29","0045111","201415",289,259
"30","0045111","201516",256,289
"31","0046111","201314",552,505
"32","0046111","201415",528,523
"33","0046111","201516",526,512
"34","0050111","201314",127,161
"35","0050111","201415",135,160
"36","0050111","201516",130,125
"37","0070111","201314",115,136
"38","0070111","201415",112,113
"39","0070111","201516",118,120
"40","0070411","201314",231,283
"41","0070411","201415",232,272
"42","0070411","201516",246,257
"43","0070511","201314",276,286
"44","0070511","201415",254,293
"45","0070511","201516",232,265
"46","0075111","201314",301,390
"47","0075111","201415",308,394
"48","0075111","201516",303,369
"49","0076111","201314",444,489
"50","0076111","201415",439,479
"51","0076111","201516",445,508
"52","0080111","201314",199,237
"53","0080111","201415",187,220
"54","0080111","201516",191,192
"55","0090111","201314",263,293
"56","0090111","201415",247,299
"57","0090111","201516",243,318
"58","0090411","201314",204,207
"59","0090411","201415",209,204
"60","0090411","201516",204,216
"61","0090511","201314",201,216
"62","0090511","201415",187,199
"63","0090511","201516",202,224
"64","0095111","201314",312,360
"65","0095111","201415",320,375
"66","0095111","201516",317,341
"67","0096111","201314",452,481
"68","0096111","201415",432,457
"69","0096111","201516",425,472
"70","0110511","201314",105,126
"71","0110511","201415",118,130
"72","0110511","201516",131,123
"73","0110611","201314",162,156
"74","0110611","201415",181,164
"75","0110611","201516",181,154
"76","0110711","201314",104,112
"77","0110711","201415",94,114
"78","0110711","201516",104,116
"79","0110811","201314",157,164
"80","0110811","201415",154,167
"81","0110811","201516",142,180
"82","0115211","201314",93,120
"83","0115211","201415",90,124
"84","0115211","201516",89,104
"85","0116111","201314",269,286
"86","0116111","201415",246,292
"87","0116111","201516",221,295
"88","0116311","201314",133,87
"89","0116311","201415",137,83
"90","0116311","201516",126,92
"91","0116411","201314",6,7
"92","0116411","201415",6,7
"93","0116411","201516",NA,NA
"94","0120111","201314",260,268
"95","0120111","201415",258,262
"96","0120111","201516",252,255
"97","0126111","201314",170,164
"98","0126111","201415",157,161
"99","0126111","201516",163,144
"100","0130111","201314",119,124
"101","0130111","201415",103,106
"102","0130111","201516",97,104
"103","0141411","201314",178,242
"104","0141411","201415",166,247
"105","0141411","201516",180,244
"106","0141511","201314",196,204
"107","0141511","201415",186,202
"108","0141511","201516",178,188
"109","0141611","201314",182,192
"110","0141611","201415",169,186
"111","0141611","201516",161,188
"112","0145111","201314",479,463
"113","0145111","201415",462,454
"114","0145111","201516",470,442
"115","0146111","201314",513,537
"116","0146111","201415",475,486
"117","0146111","201516",447,467
"118","0150111","201314",301,325
"119","0150111","201415",286,349
"120","0150111","201516",283,335
"121","0150211","201314",192,184
"122","0150211","201415",180,190
"123","0150211","201516",170,184
"124","0150311","201314",188,218
"125","0150311","201415",189,224
"126","0150311","201516",216,253
"127","0150411","201314",188,225
"128","0150411","201415",186,220
"129","0150411","201516",185,200
"130","0150511","201314",419,467
"131","0150511","201415",421,440
"132","0150511","201516",420,432
"133","0150611","201314",167,62
"134","0150611","201415",240,108
"135","0150611","201516",348,141
"136","0150711","201314",114,137
"137","0150711","201415",123,151
"138","0150711","201516",120,150
"139","0150811","201314",86,149
"140","0150811","201415",120,236
"141","0150811","201516",166,328
"142","0151011","201314",433,471
"143","0151011","201415",447,473
"144","0151011","201516",414,422
"145","0151111","201314",140,135
"146","0151111","201415",126,136
"147","0151111","201516",115,125
"148","0151211","201314",149,183
"149","0151211","201415",144,158
"150","0151211","201516",156,159
"151","0151311","201314",184,203
"152","0151311","201415",182,189
"153","0151311","201516",167,184
"154","0151411","201314",530,643
"155","0151411","201415",541,663
"156","0151411","201516",535,661
"157","0151511","201314",86,150
"158","0151511","201415",130,235
"159","0151511","201516",175,317
"160","0151611","201314",44,72
"161","0151611","201415",93,140
"162","0151611","201516",113,157
"163","0151711","201314",272,219
"164","0151711","201415",251,214
"165","0151711","201516",257,226
"166","0152011","201314",243,296
"167","0152011","201415",237,296
"168","0152011","201516",230,282
"169","0152111","201314",172,168
"170","0152111","201415",189,182
"171","0152111","201516",206,187
"172","0152211","201314",323,332
"173","0152211","201415",326,353
"174","0152211","201516",283,366
"175","0152511","201314",400,439
"176","0152511","201415",424,460
"177","0152511","201516",418,473
"178","0152611","201314",266,298
"179","0152611","201415",275,287
"180","0152611","201516",306,317
"181","0153011","201314",252,262
"182","0153011","201415",247,244
"183","0153011","201516",252,251
"184","0153211","201314",409,434
"185","0153211","201415",393,431
"186","0153211","201516",373,421
"187","0153611","201314",341,344
"188","0153611","201415",303,349
"189","0153611","201516",319,354
"190","0153711","201314",248,263
"191","0153711","201415",253,265
"192","0153711","201516",245,261
"193","0153911","201314",193,220
"194","0153911","201415",180,206
"195","0153911","201516",183,214
"196","0154011","201314",517,610
"197","0154011","201415",513,601
"198","0154011","201516",503,628
"199","0154111","201314",153,150
"200","0154111","201415",191,186
"201","0154111","201516",204,212
"202","0154211","201314",328,409
"203","0154211","201415",348,421
"204","0154211","201516",334,364
"205","0154411","201314",106,198
"206","0154411","201415",138,249
"207","0154411","201516",88,136
"208","0154511","201314",223,199
"209","0154511","201415",222,192
"210","0154511","201516",228,180
"211","0154611","201314",258,191
"212","0154611","201415",263,194
"213","0154611","201516",264,196
"214","0156111","201314",490,630
"215","0156111","201415",441,567
"216","0156111","201516",418,533
"217","0156211","201314",922,916
"218","0156211","201415",849,824
"219","0156211","201516",765,752
"220","0156311","201314",562,543
"221","0156311","201415",535,599
"222","0156311","201516",513,547
"223","0170311","201314",171,184
"224","0170311","201415",168,172
"225","0170311","201516",164,176
"226","0170411","201415",34,40
"227","0170411","201516",26,37
"228","0170511","201314",425,465
"229","0170511","201415",432,460
"230","0170511","201516",467,460
"231","0171111","201314",237,266
"232","0171111","201415",257,272
"233","0171111","201516",250,241
"234","0171211","201314",252,252
"235","0171211","201415",223,220
"236","0171211","201516",222,214
"237","0171411","201314",206,218
"238","0171411","201415",207,215
"239","0171411","201516",233,218
"240","0171711","201314",227,210
"241","0171711","201415",201,181
"242","0171711","201516",190,182
"243","0171911","201314",178,219
"244","0171911","201415",193,203
"245","0171911","201516",194,201
"246","0172011","201314",460,485
"247","0172011","201415",446,473
"248","0172011","201516",457,465
"249","0175111","201314",342,376
"250","0175111","201415",351,409
"251","0175111","201516",324,380
"252","0175211","201314",223,230
"253","0175211","201415",219,211
"254","0175211","201516",203,219
"255","0176111","201314",592,650
"256","0176111","201415",567,613
"257","0176111","201516",560,607
"258","0176211","201314",627,672
"259","0176211","201415",614,633
"260","0176211","201516",597,624
"261","0180311","201314",185,195
"262","0180311","201415",165,169
"263","0180311","201516",175,193
"264","0180411","201314",301,323
"265","0180411","201415",291,308
"266","0180411","201516",280,297
"267","0185311","201314",440,419
"268","0185311","201415",430,452
"269","0185311","201516",417,438
"270","0186111","201314",458,443
"271","0186111","201415",467,428
"272","0186111","201516",445,435
"273","0190111","201314",265,280
"274","0190111","201415",261,275
"275","0190111","201516",239,282
"276","0195111","201314",170,204
"277","0195111","201415",185,188
"278","0195111","201516",199,178
"279","0210111","201314",41,36
"280","0210111","201415",41,37
"281","0210111","201516",38,38
"282","0220211","201314",110,115
"283","0220211","201415",120,123
"284","0220211","201516",119,142
"285","0225111","201314",94,139
"286","0225111","201415",99,129
"287","0225111","201516",95,135
"288","0230211","201314",245,245
"289","0230211","201415",230,219
"290","0230211","201516",237,214
"291","0230311","201314",224,210
"292","0230311","201415",202,208
"293","0230311","201516",195,205
"294","0235111","201314",140,125
"295","0235111","201415",143,129
"296","0235111","201516",151,133
"297","0236111","201314",225,274
"298","0236111","201415",231,254
"299","0236111","201516",247,241
"300","0240211","201314",91,92
"301","0240211","201415",78,100
"302","0240211","201516",79,97
"303","0250111","201314",158,140
"304","0250111","201415",180,170
"305","0250111","201516",170,174
"306","0250211","201314",129,164
"307","0250211","201415",69,101
"308","0250211","201516",53,94
"309","0250411","201314",367,373
"310","0250411","201415",372,396
"311","0250411","201516",358,393
"312","0250511","201314",224,205
"313","0250511","201415",230,217
"314","0250511","201516",222,223
"315","0250611","201314",269,260
"316","0250611","201415",266,236
"317","0250611","201516",251,229
"318","0255111","201314",361,386
"319","0255111","201415",387,368
"320","0255111","201516",378,341
"321","0256111","201314",737,801
"322","0256111","201415",701,811
"323","0256111","201516",696,785
"324","0260111","201314",127,101
"325","0260111","201415",129,90
"326","0260111","201516",122,89
"327","0270111","201314",129,167
"328","0270111","201415",139,176
"329","0270111","201516",158,154
"330","0270311","201314",310,328
"331","0270311","201415",276,280
"332","0270311","201516",256,266
"333","0275111","201314",235,227
"334","0275111","201415",224,237
"335","0275111","201516",214,238
"336","0276111","201314",283,275
"337","0276111","201415",281,269
"338","0276111","201516",271,262
"339","0280211","201314",281,333
"340","0280211","201415",278,307
"341","0280211","201516",259,272
"342","0280411","201314",266,285
"343","0280411","201415",262,280
"344","0280411","201516",278,292
"345","0285111","201314",334,334
"346","0285111","201415",305,321
"347","0285111","201516",293,307
"348","0286111","201314",481,419
"349","0286111","201415",467,419
"350","0286111","201516",429,406
"351","0290111","201314",45,54
"352","0290111","201415",39,52
"353","0290111","201516",37,47
"354","0300111","201314",231,236
"355","0300111","201415",224,229
"356","0300111","201516",212,233
"357","0310111","201314",42,63
"358","0310111","201415",35,56
"359","0310111","201516",33,59
"360","0320211","201314",190,187
"361","0320211","201415",169,194
"362","0320211","201516",157,191
"363","0320411","201314",195,182
"364","0320411","201415",192,176
"365","0320411","201516",195,170
"366","0325111","201314",186,207
"367","0325111","201415",203,182
"368","0325111","201516",202,195
"369","0326111","201314",270,248
"370","0326111","201415",246,244
"371","0326111","201516",232,233
"372","0330211","201314",215,253
"373","0330211","201415",225,241
"374","0330211","201516",229,248
"375","0330311","201314",225,252
"376","0330311","201415",222,259
"377","0330311","201516",229,251
"378","0335111","201314",228,226
"379","0335111","201415",217,238
"380","0335111","201516",214,233
"381","0336111","201314",272,277
"382","0336111","201415",276,290
"383","0336111","201516",282,296
"384","0340111","201314",57,82
"385","0340111","201415",53,77
"386","0340111","201516",60,81
"387","0340211","201314",237,232
"388","0340211","201415",209,249
"389","0340211","201516",218,252
"390","0340311","201415",177,223
"391","0340311","201516",236,260
"392","0340511","201314",207,205
"393","0340511","201415",169,165
"394","0340511","201516",177,173
"395","0340611","201314",208,260
"396","0340611","201415",184,187
"397","0340611","201516",184,173
"398","0340811","201314",220,213
"399","0340811","201415",274,289
"400","0340811","201516",276,319
"401","0341011","201314",172,203
"402","0341011","201415",184,185
"403","0341011","201516",194,184
"404","0341111","201314",178,178
"405","0341111","201415",173,182
"406","0341111","201516",162,192
"407","0341211","201314",195,221
"408","0341211","201415",235,262
