"indicator","index.rate","target","points","max","percent.points","state.avg","school_id","year"
"ELA: All Students ","82.9 ","75 ",100,100,100,"67.9","0010111","201415"
"ELA: High Needs Students ","74.4 ","75 ",99.2,100,99.2,"56.7","0010111","201415"
"Math: All Students ","76.4 ","75 ",100,100,100,"59.3","0010111","201415"
"Math: High Needs Students ","67.2 ","75 ",89.6,100,89.6,"47.8","0010111","201415"
"Science: All Students ","64.0 ","75 ",85.4,100,85.4,"56.5","0010111","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0010111","201415"
"Chronic absenteeism: All Students ","1.2% ","<=5% ",50,50,100,"10.6%","0010111","201415"
"Chronic absenteeism: High Needs Students ","3.7% ","<=5% ",50,50,100,"17.3%","0010111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0010111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0010111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.6% | 67.1% ","75% ",44.7,50,89.4,"87.6% | 51.0%","0010111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0010111","201415"
"Accountability Index ","","",618.9,650,95.2,"","0010111","201415"
"ELA Performance index: All Students ","79.8 ","75 ",50,50,100,"67.7","0010111","201516"
"ELA Performance index: High Needs Students ","67.9 ","75 ",45.3,50,90.5,"56.7","0010111","201516"
"Math Performance index: All Students ","75.7 ","75 ",50,50,100,"61.4","0010111","201516"
"Math Performance index: High Needs Students ","66.4 ","75 ",44.2,50,88.5,"49.9","0010111","201516"
"Science Performance index: All Students ","71.8 ","75 ",47.9,50,95.7,"57.5","0010111","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0010111","201516"
"ELA Academic growth: ELA Performance index: All Students ","67.0% ","100% ",67,100,67,"63.8%","0010111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","41.2% ","100% ",41.2,100,41.2,"58.3%","0010111","201516"
"Math Academic growth: Math Performance index: All Students ","75.7% ","100% ",75.7,100,75.7,"65.0%","0010111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","60.3% ","100% ",60.3,100,60.3,"57.4%","0010111","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.2% ","<=5% ",50,50,100,"9.6%","0010111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.9% ","<=5% ",50,50,100,"15.6%","0010111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0010111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0010111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0010111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0010111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0010111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0010111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.6% | 76.7% ","75% ",50,50,100,"89.2% | 50.5%","0010111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0010111","201516"
"ELA: All Students ","61.3 ","75 ",81.8,100,81.8,"67.9","0020311","201415"
"ELA: High Needs Students ","58.5 ","75 ",78,100,78,"56.7","0020311","201415"
"Math: All Students ","53.3 ","75 ",71,100,71,"59.3","0020311","201415"
"Math: High Needs Students ","50.8 ","75 ",67.7,100,67.7,"47.8","0020311","201415"
"Science: All Students ","50.5 ","75 ",67.3,100,67.3,"56.5","0020311","201415"
"Science: High Needs Students ","47.4 ","75 ",63.2,100,63.2,"45.9","0020311","201415"
"Chronic absenteeism: All Students ","14.5% ","<=5% ",30.9,50,61.8,"10.6%","0020311","201415"
"Chronic absenteeism: High Needs Students ","18.3% ","<=5% ",23.4,50,46.9,"17.3%","0020311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0020311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0020311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","88.7% | 38.8% ","75% ",12.9,50,25.9,"87.6% | 51.0%","0020311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0020311","201415"
"Accountability Index ","","",496.3,750,66.2,"","0020311","201415"
"ELA Performance index: All Students ","60.5 ","75 ",40.4,50,80.7,"67.7","0020311","201516"
"ELA Performance index: High Needs Students ","57.6 ","75 ",38.4,50,76.8,"56.7","0020311","201516"
"Math Performance index: All Students ","54.2 ","75 ",36.1,50,72.2,"61.4","0020311","201516"
"Math Performance index: High Needs Students ","51.3 ","75 ",34.2,50,68.4,"49.9","0020311","201516"
"Science Performance index: All Students ","45.4 ","75 ",30.3,50,60.5,"57.5","0020311","201516"
"Science Performance index: High Needs Students ","43.5 ","75 ",29,50,58,"47.0","0020311","201516"
"ELA Academic growth: ELA Performance index: All Students ","53.5% ","100% ",53.5,100,53.5,"63.8%","0020311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","51.6% ","100% ",51.6,100,51.6,"58.3%","0020311","201516"
"Math Academic growth: Math Performance index: All Students ","59.4% ","100% ",59.4,100,59.4,"65.0%","0020311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","56.7% ","100% ",56.7,100,56.7,"57.4%","0020311","201516"
"Chronic absenteeism: Science Performance index: All Students ","15.5% ","<=5% ",29,50,57.9,"9.6%","0020311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","18.1% ","<=5% ",23.7,50,47.4,"15.6%","0020311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0020311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0020311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0020311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0020311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0020311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0020311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.9% | 32.7% ","75% ",21.8,50,43.7,"89.2% | 50.5%","0020311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0020311","201516"
"ELA: All Students ","62.8 ","75 ",83.7,100,83.7,"67.9","0020811","201415"
"ELA: High Needs Students ","59.5 ","75 ",79.4,100,79.4,"56.7","0020811","201415"
"Math: All Students ","55.4 ","75 ",73.9,100,73.9,"59.3","0020811","201415"
"Math: High Needs Students ","52.6 ","75 ",70.1,100,70.1,"47.8","0020811","201415"
"Science: All Students ","46.5 ","75 ",62,100,62,"56.5","0020811","201415"
"Science: High Needs Students ","43.8 ","75 ",58.4,100,58.4,"45.9","0020811","201415"
"Chronic absenteeism: All Students ","9.4% ","<=5% ",41.3,50,82.6,"10.6%","0020811","201415"
"Chronic absenteeism: High Needs Students ","11.8% ","<=5% ",36.4,50,72.8,"17.3%","0020811","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0020811","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0020811","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","91.1% | 43.3% ","75% ",28.9,50,57.7,"87.6% | 51.0%","0020811","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0020811","201415"
"Accountability Index ","","",534,750,71.2,"","0020811","201415"
"ELA Performance index: All Students ","63.8 ","75 ",42.5,50,85,"67.7","0020811","201516"
"ELA Performance index: High Needs Students ","60.8 ","75 ",40.5,50,81,"56.7","0020811","201516"
"Math Performance index: All Students ","57.9 ","75 ",38.6,50,77.2,"61.4","0020811","201516"
"Math Performance index: High Needs Students ","55.2 ","75 ",36.8,50,73.6,"49.9","0020811","201516"
"Science Performance index: All Students ","47.6 ","75 ",31.7,50,63.5,"57.5","0020811","201516"
"Science Performance index: High Needs Students ","43.5 ","75 ",29,50,58,"47.0","0020811","201516"
"ELA Academic growth: ELA Performance index: All Students ","60.0% ","100% ",60,100,60,"63.8%","0020811","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","59.2% ","100% ",59.2,100,59.2,"58.3%","0020811","201516"
"Math Academic growth: Math Performance index: All Students ","61.9% ","100% ",61.9,100,61.9,"65.0%","0020811","201516"
"Math Academic growth: Math Performance index: High Needs Students ","59.4% ","100% ",59.4,100,59.4,"57.4%","0020811","201516"
"Chronic absenteeism: Science Performance index: All Students ","9.0% ","<=5% ",42.1,50,84.1,"9.6%","0020811","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","11.2% ","<=5% ",37.6,50,75.3,"15.6%","0020811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0020811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0020811","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0020811","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0020811","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0020811","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0020811","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.7% | 38.1% ","75% ",25.4,50,50.8,"89.2% | 50.5%","0020811","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0020811","201516"
"ELA: All Students ","56.5 ","75 ",75.3,100,75.3,"67.9","0025111","201415"
"ELA: High Needs Students ","53.0 ","75 ",70.6,100,70.6,"56.7","0025111","201415"
"Math: All Students ","47.2 ","75 ",63,100,63,"59.3","0025111","201415"
"Math: High Needs Students ","44.1 ","75 ",58.8,100,58.8,"47.8","0025111","201415"
"Science: All Students ","46.0 ","75 ",61.3,100,61.3,"56.5","0025111","201415"
"Science: High Needs Students ","43.7 ","75 ",58.2,100,58.2,"45.9","0025111","201415"
"Chronic absenteeism: All Students ","17.0% ","<=5% ",26,50,52,"10.6%","0025111","201415"
"Chronic absenteeism: High Needs Students ","18.9% ","<=5% ",22.3,50,44.5,"17.3%","0025111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0025111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0025111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","74.9% | 26.1% ","75% ",8.7,50,17.4,"87.6% | 51.0%","0025111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0025111","201415"
"Accountability Index ","","",493.3,800,61.7,"","0025111","201415"
"ELA Performance index: All Students ","52.9 ","75 ",35.2,50,70.5,"67.7","0025111","201516"
"ELA Performance index: High Needs Students ","50.0 ","75 ",33.3,50,66.7,"56.7","0025111","201516"
"Math Performance index: All Students ","50.2 ","75 ",33.4,50,66.9,"61.4","0025111","201516"
"Math Performance index: High Needs Students ","48.0 ","75 ",32,50,64.1,"49.9","0025111","201516"
"Science Performance index: All Students ","45.0 ","75 ",30,50,60.1,"57.5","0025111","201516"
"Science Performance index: High Needs Students ","42.9 ","75 ",28.6,50,57.2,"47.0","0025111","201516"
"ELA Academic growth: ELA Performance index: All Students ","44.1% ","100% ",44.1,100,44.1,"63.8%","0025111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","42.0% ","100% ",42,100,42,"58.3%","0025111","201516"
"Math Academic growth: Math Performance index: All Students ","51.7% ","100% ",51.7,100,51.7,"65.0%","0025111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","52.5% ","100% ",52.5,100,52.5,"57.4%","0025111","201516"
"Chronic absenteeism: Science Performance index: All Students ","14.4% ","<=5% ",31.1,50,62.2,"9.6%","0025111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","16.5% ","<=5% ",26.9,50,53.8,"15.6%","0025111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0025111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0025111","201516"
"On-track to High School Graduation ","91.1% ","94% ",48.5,50,96.9,"85.1%","0025111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0025111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0025111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0025111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","76.3% | 36.6% ","75% ",12.2,50,24.4,"89.2% | 50.5%","0025111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0025111","201516"
"ELA: All Students ","70.1 ","75 ",93.5,100,93.5,"67.9","0026111","201415"
"ELA: High Needs Students ","66.0 ","75 ",88,100,88,"56.7","0026111","201415"
"Math: All Students ","53.8 ","75 ",71.8,100,71.8,"59.3","0026111","201415"
"Math: High Needs Students ","48.3 ","75 ",64.4,100,64.4,"47.8","0026111","201415"
"Science: All Students ","48.2 ","75 ",64.3,100,64.3,"56.5","0026111","201415"
