"","phys","phys4","phys6","phys8","phys10","school_id","year"
"1","Sit & Reach ","89.8","97.8",NA,NA,"0010111","201314"
"2","Curl Up ","67.3","76.1",NA,NA,"0010111","201314"
"3","Push Up ","81.6","80.4",NA,NA,"0010111","201314"
"4","Mile Run/PACER ","87.8","95.7",NA,NA,"0010111","201314"
"5","All Tests - School ","40.8","63",NA,NA,"0010111","201314"
"6","All Tests - District ","40.8","63",NA,NA,"0010111","201314"
"7","Sit & Reach ","95.1","92.7","N/A ","N/A","0010111","201415"
"8","Curl Up ","80.5","82.9","N/A ","N/A","0010111","201415"
"9","Push Up ","85.4","78","N/A ","N/A","0010111","201415"
"10","Mile Run/PACER ","75.6","92.7","N/A ","N/A","0010111","201415"
"11","All Tests - School ","63.4","70.7","N/A ","N/A","0010111","201415"
"12","All Tests - District ","63.4","70.7","N/A ","N/A","0010111","201415"
"13","Sit & Reach ","97.4","95.8","N/A ","N/A","0010111","201516"
"14","Curl Up ","86.8","83.3","N/A ","N/A","0010111","201516"
"15","Push Up ","97.4","87.5","N/A ","N/A","0010111","201516"
"16","Mile Run/PACER ","94.7","100","N/A ","N/A","0010111","201516"
"17","All Tests - School ","81.6","72.9","N/A ","N/A","0010111","201516"
"18","All Tests - District ","81.6","72.9","N/A ","N/A","0010111","201516"
"19","Sit & Reach ","87.5","74.7",". ",".","0020311","201314"
"20","Curl Up ","56.3","39.6",". ",".","0020311","201314"
"21","Push Up ","38.8","42.9",". ",".","0020311","201314"
"22","Mile Run/PACER ","83.8","83.5",". ",".","0020311","201314"
"23","All Tests - School ","23.8","16.5",". ",".","0020311","201314"
"24","All Tests - District ","26.3","17.8","41.9 ","60.5","0020311","201314"
"25","Sit & Reach ","77.5","71.8","N/A ","N/A","0020311","201415"
"26","Curl Up ","63.8","58.8","N/A ","N/A","0020311","201415"
"27","Push Up ","57.5","50.6","N/A ","N/A","0020311","201415"
"28","Mile Run/PACER ","88.8","82.4","N/A ","N/A","0020311","201415"
"29","All Tests - School ","38.8","38.8","N/A ","N/A","0020311","201415"
"30","All Tests - District ","41.8","40.2","26.1 ","43.6","0020311","201415"
"31","Sit & Reach ","79","75.9","N/A ","N/A","0020311","201516"
"32","Curl Up ","64.2","46","N/A ","N/A","0020311","201516"
"33","Push Up ","54.3","46","N/A ","N/A","0020311","201516"
"34","Mile Run/PACER ","70.4","87.4","N/A ","N/A","0020311","201516"
"35","All Tests - School ","39.5","26.4","N/A ","N/A","0020311","201516"
"36","All Tests - District ","37.5","33.3","36.6 ","69.5","0020311","201516"
"37","Sit & Reach ","73.7","78.7",". ",".","0020811","201314"
"38","Curl Up ","92.1","87.6",". ",".","0020811","201314"
"39","Push Up ","48.7","59.6",". ",".","0020811","201314"
"40","Mile Run/PACER ","72.4","30.3",". ",".","0020811","201314"
"41","All Tests - School ","28.9","19.1",". ",".","0020811","201314"
"42","All Tests - District ","26.3","17.8","41.9 ","60.5","0020811","201314"
"43","Sit & Reach ","85.9","81","N/A ","N/A","0020811","201415"
"44","Curl Up ","90.6","92.4","N/A ","N/A","0020811","201415"
"45","Push Up ","68.2","60.8","N/A ","N/A","0020811","201415"
"46","Mile Run/PACER ","57.6","63.3","N/A ","N/A","0020811","201415"
"47","All Tests - School ","44.7","41.8","N/A ","N/A","0020811","201415"
"48","All Tests - District ","41.8","40.2","26.1 ","43.6","0020811","201415"
"49","Sit & Reach ","92.4","85.2","N/A ","N/A","0020811","201516"
"50","Curl Up ","92.4","87.7","N/A ","N/A","0020811","201516"
"51","Push Up ","73.4","79","N/A ","N/A","0020811","201516"
"52","Mile Run/PACER ","53.2","50.6","N/A ","N/A","0020811","201516"
"53","All Tests - School ","35.4","40.7","N/A ","N/A","0020811","201516"
"54","All Tests - District ","37.5","33.3","36.6 ","69.5","0020811","201516"
"55","Sit & Reach ",". ",". ","87.8",".","0025111","201314"
"56","Curl Up ",". ",". ","89",".","0025111","201314"
"57","Push Up ",". ",". ","66.9",".","0025111","201314"
"58","Mile Run/PACER ",". ",". ","52.3",".","0025111","201314"
"59","All Tests - School ",". ",". ","41.9",".","0025111","201314"
"60","All Tests - District ","26.3 ","17.8 ","41.9","60.5","0025111","201314"
"61","Sit & Reach ","N/A ","N/A ","62.1","N/A","0025111","201415"
"62","Curl Up ","N/A ","N/A ","81.4","N/A","0025111","201415"
"63","Push Up ","N/A ","N/A ","61.5","N/A","0025111","201415"
"64","Mile Run/PACER ","N/A ","N/A ","55.9","N/A","0025111","201415"
"65","All Tests - School ","N/A ","N/A ","26.1","N/A","0025111","201415"
"66","All Tests - District ","41.8 ","40.2 ","26.1","43.6","0025111","201415"
"67","Sit & Reach ","N/A ","N/A ","87.6","N/A","0025111","201516"
"68","Curl Up ","N/A ","N/A ","91","N/A","0025111","201516"
"69","Push Up ","N/A ","N/A ","67.6","N/A","0025111","201516"
"70","Mile Run/PACER ","N/A ","N/A ","64.1","N/A","0025111","201516"
"71","All Tests - School ","N/A ","N/A ","36.6","N/A","0025111","201516"
"72","All Tests - District ","37.5 ","33.3 ","36.6","69.5","0025111","201516"
"73","Sit & Reach ",". ",". ",". ","90.7","0026111","201314"
"74","Curl Up ",". ",". ",". ","95.3","0026111","201314"
"75","Push Up ",". ",". ",". ","79.1","0026111","201314"
"76","Mile Run/PACER ",". ",". ",". ","71.3","0026111","201314"
"77","All Tests - School ",". ",". ",". ","60.5","0026111","201314"
"78","All Tests - District ","26.3 ","17.8 ","41.9 ","60.5","0026111","201314"
"79","Sit & Reach ","N/A ","N/A ","N/A ","91.7","0026111","201415"
"80","Curl Up ","N/A ","N/A ","N/A ","64.1","0026111","201415"
"81","Push Up ","N/A ","N/A ","N/A ","67.3","0026111","201415"
"82","Mile Run/PACER ","N/A ","N/A ","N/A ","67.3","0026111","201415"
"83","All Tests - School ","N/A ","N/A ","N/A ","44.9","0026111","201415"
"84","All Tests - District ","41.8 ","40.2 ","26.1 ","43.6","0026111","201415"
"85","Sit & Reach ","N/A ","N/A ","N/A ","90.4","0026111","201516"
"86","Curl Up ","N/A ","N/A ","N/A ","97.8","0026111","201516"
"87","Push Up ","N/A ","N/A ","N/A ","88.2","0026111","201516"
"88","Mile Run/PACER ","N/A ","N/A ","N/A ","71.3","0026111","201516"
"89","All Tests - School ","N/A ","N/A ","N/A ","69.9","0026111","201516"
"90","All Tests - District ","37.5 ","33.3 ","36.6 ","69.5","0026111","201516"
"91","Sit & Reach ","94.7","93.8","77.3",NA,"0030111","201314"
"92","Curl Up ","84.2","43.8","72.7",NA,"0030111","201314"
"93","Push Up ","52.6","84.4","86.4",NA,"0030111","201314"
"94","Mile Run/PACER ","81.6","56.3","65.9",NA,"0030111","201314"
"95","All Tests - School ","50","40.6","45.5",NA,"0030111","201314"
"96","All Tests - District ","50","40.6","45.5",NA,"0030111","201314"
"97","Sit & Reach ","100","98","87.8","N/A","0030111","201415"
"98","Curl Up ","88.1","85.7","79.6","N/A","0030111","201415"
"99","Push Up ","66.7","57.1","67.3","N/A","0030111","201415"
"100","Mile Run/PACER ","78.6","69.4","61.2","N/A","0030111","201415"
"101","All Tests - School ","54.8","40.8","49","N/A","0030111","201415"
"102","All Tests - District ","54.8","40.8","49","N/A","0030111","201415"
"103","Sit & Reach ","62.8 ","29.7 ","37.9","N/A","0030111","201516"
"104","Curl Up ","72.1 ","86.5 ","89.7","N/A","0030111","201516"
"105","Push Up ","* ","29.7 ","58.6","N/A","0030111","201516"
"106","Mile Run/PACER ","79.1 ","56.8 ","75.9","N/A","0030111","201516"
"107","All Tests - School ","* ","* ","20.7","N/A","0030111","201516"
"108","All Tests - District ","* ","* ","20.7","N/A","0030111","201516"
"109","Sit & Reach ","85.4",". ",". ",".","0040311","201314"
"110","Curl Up ","80.3",". ",". ",".","0040311","201314"
"111","Push Up ","62.8",". ",". ",".","0040311","201314"
"112","Mile Run/PACER ","88.3",". ",". ",".","0040311","201314"
"113","All Tests - School ","58.4",". ",". ",".","0040311","201314"
"114","All Tests - District ","47.2","75.2 ","54.6 ","52.1","0040311","201314"
"115","Sit & Reach ","68.8","N/A ","N/A ","N/A","0040311","201415"
"116","Curl Up ","90.6","N/A ","N/A ","N/A","0040311","201415"
"117","Push Up ","80.5","N/A ","N/A ","N/A","0040311","201415"
"118","Mile Run/PACER ","85.9","N/A ","N/A ","N/A","0040311","201415"
"119","All Tests - School ","50","N/A ","N/A ","N/A","0040311","201415"
"120","All Tests - District ","56.6","76.9 ","59.8 ","46.5","0040311","201415"
"121","Sit & Reach ","90.4","N/A ","N/A ","N/A","0040311","201516"
"122","Curl Up ","94.2","N/A ","N/A ","N/A","0040311","201516"
"123","Push Up ","65.4","N/A ","N/A ","N/A","0040311","201516"
"124","Mile Run/PACER ","88.5","N/A ","N/A ","N/A","0040311","201516"
"125","All Tests - School ","53.8","N/A ","N/A ","N/A","0040311","201516"
"126","All Tests - District ","57.6","78.3 ","51.2 ","52.0","0040311","201516"
"127","Sit & Reach ","68.7",". ",". ",".","0040411","201314"
"128","Curl Up ","97.4",". ",". ",".","0040411","201314"
"129","Push Up ","65.2",". ",". ",".","0040411","201314"
"130","Mile Run/PACER ","85.2",". ",". ",".","0040411","201314"
"131","All Tests - School ","33.9",". ",". ",".","0040411","201314"
"132","All Tests - District ","47.2","75.2 ","54.6 ","52.1","0040411","201314"
"133","Sit & Reach ","78.5","N/A ","N/A ","N/A","0040411","201415"
"134","Curl Up ","92.4","N/A ","N/A ","N/A","0040411","201415"
"135","Push Up ","86.8","N/A ","N/A ","N/A","0040411","201415"
"136","Mile Run/PACER ","91","N/A ","N/A ","N/A","0040411","201415"
"137","All Tests - School ","62.5","N/A ","N/A ","N/A","0040411","201415"
"138","All Tests - District ","56.6","76.9 ","59.8 ","46.5","0040411","201415"
"139","Sit & Reach ","84.1","N/A ","N/A ","N/A","0040411","201516"
"140","Curl Up ","92.9","N/A ","N/A ","N/A","0040411","201516"
"141","Push Up ","71.7","N/A ","N/A ","N/A","0040411","201516"
"142","Mile Run/PACER ","77.9","N/A ","N/A ","N/A","0040411","201516"
"143","All Tests - School ","61.1","N/A ","N/A ","N/A","0040411","201516"
"144","All Tests - District ","57.6","78.3 ","51.2 ","52.0","0040411","201516"
"145","Sit & Reach ",". ","81.7",". ",".","0040511","201314"
"146","Curl Up ",". ","95.7",". ",".","0040511","201314"
"147","Push Up ",". ","88.3",". ",".","0040511","201314"
"148","Mile Run/PACER ",". ","96.1",". ",".","0040511","201314"
"149","All Tests - School ",". ","75.2",". ",".","0040511","201314"
"150","All Tests - District ","47.2 ","75.2","54.6 ","52.1","0040511","201314"
"151","Sit & Reach ","N/A ","84.9","N/A ","N/A","0040511","201415"
"152","Curl Up ","N/A ","93.8","N/A ","N/A","0040511","201415"
"153","Push Up ","N/A ","90.2","N/A ","N/A","0040511","201415"
"154","Mile Run/PACER ","N/A ","93.3","N/A ","N/A","0040511","201415"
"155","All Tests - School ","N/A ","76.9","N/A ","N/A","0040511","201415"
"156","All Tests - District ","56.6 ","76.9","59.8 ","46.5","0040511","201415"
"157","Sit & Reach ","N/A ","88.9","N/A ","N/A","0040511","201516"
"158","Curl Up ","N/A ","96.9","N/A ","N/A","0040511","201516"
"159","Push Up ","N/A ","90.3","N/A ","N/A","0040511","201516"
"160","Mile Run/PACER ","N/A ","93.4","N/A ","N/A","0040511","201516"
"161","All Tests - School ","N/A ","78.3","N/A ","N/A","0040511","201516"
"162","All Tests - District ","57.6 ","78.3","51.2 ","52.0","0040511","201516"
"163","Sit & Reach ",". ",". ","71.1",".","0045111","201314"
"164","Curl Up ",". ",". ","73.6",".","0045111","201314"
"165","Push Up ",". ",". ","92.9",".","0045111","201314"
"166","Mile Run/PACER ",". ",". ","93.2",".","0045111","201314"
"167","All Tests - School ",". ",". ","54.6",".","0045111","201314"
"168","All Tests - District ","47.2 ","75.2 ","54.6","52.1","0045111","201314"
"169","Sit & Reach ","N/A ","N/A ","71.8","N/A","0045111","201415"
"170","Curl Up ","N/A ","N/A ","85.9","N/A","0045111","201415"
"171","Push Up ","N/A ","N/A ","86.3","N/A","0045111","201415"
"172","Mile Run/PACER ","N/A ","N/A ","87.1","N/A","0045111","201415"
"173","All Tests - School ","N/A ","N/A ","59.8","N/A","0045111","201415"
"174","All Tests - District ","56.6 ","76.9 ","59.8","46.5","0045111","201415"
"175","Sit & Reach ","N/A ","N/A ","51.5","N/A","0045111","201516"
"176","Curl Up ","N/A ","N/A ","63.1","N/A","0045111","201516"
"177","Push Up ","N/A ","N/A ","57.7","N/A","0045111","201516"
"178","Mile Run/PACER ","N/A ","N/A ","57.3","N/A","0045111","201516"
"179","All Tests - School ","N/A ","N/A ","51.2","N/A","0045111","201516"
"180","All Tests - District ","57.6 ","78.3 ","51.2","52.0","0045111","201516"
"181","Sit & Reach ",". ",". ",". ","81.8","0046111","201314"
"182","Curl Up ",". ",". ",". ","93.2","0046111","201314"
"183","Push Up ",". ",". ",". ","78","0046111","201314"
"184","Mile Run/PACER ",". ",". ",". ","70.3","0046111","201314"
"185","All Tests - School ",". ",". ",". ","52.1","0046111","201314"
"186","All Tests - District ","47.2 ","75.2 ","54.6 ","52.1","0046111","201314"
"187","Sit & Reach ","N/A ","N/A ","N/A ","69","0046111","201415"
"188","Curl Up ","N/A ","N/A ","N/A ","88","0046111","201415"
"189","Push Up ","N/A ","N/A ","N/A ","81.4","0046111","201415"
"190","Mile Run/PACER ","N/A ","N/A ","N/A ","76","0046111","201415"
"191","All Tests - School ","N/A ","N/A ","N/A ","46.5","0046111","201415"
"192","All Tests - District ","56.6 ","76.9 ","59.8 ","46.5","0046111","201415"
"193","Sit & Reach ","N/A ","N/A ","N/A ","66.5","0046111","201516"
"194","Curl Up ","N/A ","N/A ","N/A ","90.7","0046111","201516"
"195","Push Up ","N/A ","N/A ","N/A ","84.8","0046111","201516"
"196","Mile Run/PACER ","N/A ","N/A ","N/A ","81","0046111","201516"
"197","All Tests - School ","N/A ","N/A ","N/A ","52","0046111","201516"
"198","All Tests - District ","57.6 ","78.3 ","51.2 ","52","0046111","201516"
"199","Sit & Reach ","74.4","75",NA,NA,"0050111","201314"
"200","Curl Up ","88.4","91.7",NA,NA,"0050111","201314"
"201","Push Up ","53.5","66.7",NA,NA,"0050111","201314"
"202","Mile Run/PACER ","67.4","66.7",NA,NA,"0050111","201314"
"203","All Tests - School ","41.9","47.2",NA,NA,"0050111","201314"
"204","All Tests - District ","41.9","47.2",NA,NA,"0050111","201314"
"205","Sit & Reach ","79.2","73.3","N/A ","N/A","0050111","201415"
"206","Curl Up ","79.2","81.7","N/A ","N/A","0050111","201415"
"207","Push Up ","72.9","66.7","N/A ","N/A","0050111","201415"
"208","Mile Run/PACER ","68.8","66.7","N/A ","N/A","0050111","201415"
"209","All Tests - School ","47.9","43.3","N/A ","N/A","0050111","201415"
"210","All Tests - District ","47.9","43.3","N/A ","N/A","0050111","201415"
"211","Sit & Reach ","87.8","82.6","N/A ","N/A","0050111","201516"
"212","Curl Up ","83.7","93.5","N/A ","N/A","0050111","201516"
"213","Push Up ","61.2","69.6","N/A ","N/A","0050111","201516"
"214","Mile Run/PACER ","69.4","73.9","N/A ","N/A","0050111","201516"
"215","All Tests - School ","46.9","52.2","N/A ","N/A","0050111","201516"
"216","All Tests - District ","46.9","52.2","N/A ","N/A","0050111","201516"
"217","Sit & Reach ","100",". ",". ",".","0070111","201314"
"218","Curl Up ","97.1",". ",". ",".","0070111","201314"
"219","Push Up ","82.9",". ",". ",".","0070111","201314"
"220","Mile Run/PACER ","91.4",". ",". ",".","0070111","201314"
"221","All Tests - School ","77.1",". ",". ",".","0070111","201314"
"222","All Tests - District ","76.1","49.0 ","59.2 ","56.1","0070111","201314"
"223","Sit & Reach ","98.2","N/A ","N/A ","N/A","0070111","201415"
"224","Curl Up ","92.7","N/A ","N/A ","N/A","0070111","201415"
"225","Push Up ","81.8","N/A ","N/A ","N/A","0070111","201415"
"226","Mile Run/PACER ","90.9","N/A ","N/A ","N/A","0070111","201415"
"227","All Tests - School ","69.1","N/A ","N/A ","N/A","0070111","201415"
"228","All Tests - District ","73.9","51.4 ","68.8 ","63.8","0070111","201415"
"229","Sit & Reach ","95.2","N/A ","N/A ","N/A","0070111","201516"
"230","Curl Up ","92.9","N/A ","N/A ","N/A","0070111","201516"
"231","Push Up ","85.7","N/A ","N/A ","N/A","0070111","201516"
"232","Mile Run/PACER ","85.7","N/A ","N/A ","N/A","0070111","201516"
"233","All Tests - School ","71.4","N/A ","N/A ","N/A","0070111","201516"
"234","All Tests - District ","72.9","52.9 ","52.2 ","49.3","0070111","201516"
"235","Sit & Reach ","92.7",". ",". ",".","0070411","201314"
"236","Curl Up ","98.8",". ",". ",".","0070411","201314"
"237","Push Up ","84.1",". ",". ",".","0070411","201314"
"238","Mile Run/PACER ","80.5",". ",". ",".","0070411","201314"
"239","All Tests - School ","70.7",". ",". ",".","0070411","201314"
"240","All Tests - District ","76.1","49.0 ","59.2 ","56.1","0070411","201314"
"241","Sit & Reach ","93.8","N/A ","N/A ","N/A","0070411","201415"
"242","Curl Up ","96.3","N/A ","N/A ","N/A","0070411","201415"
"243","Push Up ","82.7","N/A ","N/A ","N/A","0070411","201415"
"244","Mile Run/PACER ","90.1","N/A ","N/A ","N/A","0070411","201415"
"245","All Tests - School ","74.1","N/A ","N/A ","N/A","0070411","201415"
"246","All Tests - District ","73.9","51.4 ","68.8 ","63.8","0070411","201415"
"247","Sit & Reach ","88.1","N/A ","N/A ","N/A","0070411","201516"
"248","Curl Up ","86.4","N/A ","N/A ","N/A","0070411","201516"
"249","Push Up ","91.5","N/A ","N/A ","N/A","0070411","201516"
"250","Mile Run/PACER ","84.7","N/A ","N/A ","N/A","0070411","201516"
"251","All Tests - School ","69.5","N/A ","N/A ","N/A","0070411","201516"
"252","All Tests - District ","72.9","52.9 ","52.2 ","49.3","0070411","201516"
"253","Sit & Reach ","96.9",". ",". ",".","0070511","201314"
"254","Curl Up ","94.8",". ",". ",".","0070511","201314"
"255","Push Up ","84.4",". ",". ",".","0070511","201314"
"256","Mile Run/PACER ","90.6",". ",". ",".","0070511","201314"
"257","All Tests - School ","80.2",". ",". ",".","0070511","201314"
"258","All Tests - District ","76.1","49.0 ","59.2 ","56.1","0070511","201314"
"259","Sit & Reach ","93.1","N/A ","N/A ","N/A","0070511","201415"
"260","Curl Up ","94.1","N/A ","N/A ","N/A","0070511","201415"
"261","Push Up ","84.3","N/A ","N/A ","N/A","0070511","201415"
"262","Mile Run/PACER ","87.3","N/A ","N/A ","N/A","0070511","201415"
"263","All Tests - School ","76.5","N/A ","N/A ","N/A","0070511","201415"
"264","All Tests - District ","73.9","51.4 ","68.8 ","63.8","0070511","201415"
"265","Sit & Reach ","98.9","N/A ","N/A ","N/A","0070511","201516"
"266","Curl Up ","89.7","N/A ","N/A ","N/A","0070511","201516"
"267","Push Up ","90.8","N/A ","N/A ","N/A","0070511","201516"
"268","Mile Run/PACER ","86.2","N/A ","N/A ","N/A","0070511","201516"
"269","All Tests - School ","75.9","N/A ","N/A ","N/A","0070511","201516"
"270","All Tests - District ","72.9","52.9 ","52.2 ","49.3","0070511","201516"
"271","Sit & Reach ",". ","72.7","87.4",".","0075111","201314"
"272","Curl Up ",". ","90.4","90.8",".","0075111","201314"
"273","Push Up ",". ","66.7","71.4",".","0075111","201314"
"274","Mile Run/PACER ",". ","81.8","83.5",".","0075111","201314"
"275","All Tests - School ",". ","49","59.2",".","0075111","201314"
"276","All Tests - District ","76.1 ","49","59.2","56.1","0075111","201314"
"277","Sit & Reach ","N/A ","76.6","89.9","N/A","0075111","201415"
"278","Curl Up ","N/A ","85.6","93.1","N/A","0075111","201415"
"279","Push Up ","N/A ","73.4","83.5","N/A","0075111","201415"
"280","Mile Run/PACER ","N/A ","87.8","85.8","N/A","0075111","201415"
"281","All Tests - School ","N/A ","51.4","68.8","N/A","0075111","201415"
"282","All Tests - District ","73.9 ","51.4","68.8","63.8","0075111","201415"
"283","Sit & Reach ","N/A ","80.1","85.5","N/A","0075111","201516"
"284","Curl Up ","N/A ","87.4","85.5","N/A","0075111","201516"
"285","Push Up ","N/A ","71.2","78","N/A","0075111","201516"
"286","Mile Run/PACER ","N/A ","82.7","75.8","N/A","0075111","201516"
"287","All Tests - School ","N/A ","52.9","52.2","N/A","0075111","201516"
"288","All Tests - District ","72.9 ","52.9","52.2","49.3","0075111","201516"
"289","Sit & Reach ",". ",". ",". ","83.3","0076111","201314"
"290","Curl Up ",". ",". ",". ","96.1","0076111","201314"
"291","Push Up ",". ",". ",". ","95.6","0076111","201314"
"292","Mile Run/PACER ",". ",". ",". ","66.7","0076111","201314"
"293","All Tests - School ",". ",". ",". ","56.1","0076111","201314"
"294","All Tests - District ","76.1 ","49.0 ","59.2 ","56.1","0076111","201314"
"295","Sit & Reach ","N/A ","N/A ","N/A ","88.9","0076111","201415"
"296","Curl Up ","N/A ","N/A ","N/A ","96.5","0076111","201415"
"297","Push Up ","N/A ","N/A ","N/A ","91","0076111","201415"
"298","Mile Run/PACER ","N/A ","N/A ","N/A ","73.9","0076111","201415"
"299","All Tests - School ","N/A ","N/A ","N/A ","63.8","0076111","201415"
"300","All Tests - District ","73.9 ","51.4 ","68.8 ","63.8","0076111","201415"
"301","Sit & Reach ","N/A ","N/A ","N/A ","85.7","0076111","201516"
"302","Curl Up ","N/A ","N/A ","N/A ","91.6","0076111","201516"
"303","Push Up ","N/A ","N/A ","N/A ","66","0076111","201516"
"304","Mile Run/PACER ","N/A ","N/A ","N/A ","71.4","0076111","201516"
"305","All Tests - School ","N/A ","N/A ","N/A ","49.3","0076111","201516"
"306","All Tests - District ","72.9 ","52.9 ","52.2 ","49.3","0076111","201516"
"307","Sit & Reach ","68.3","57.5",NA,NA,"0080111","201314"
"308","Curl Up ","55","30",NA,NA,"0080111","201314"
"309","Push Up ","63.3","57.5",NA,NA,"0080111","201314"
"310","Mile Run/PACER ","53.3","76.3",NA,NA,"0080111","201314"
"311","All Tests - School ","25","16.3",NA,NA,"0080111","201314"
"312","All Tests - District ","25","16.3",NA,NA,"0080111","201314"
"313","Sit & Reach ","81","73.8","N/A ","N/A","0080111","201415"
"314","Curl Up ","60.3","67.7","N/A ","N/A","0080111","201415"
"315","Push Up ","56.9","63.1","N/A ","N/A","0080111","201415"
"316","Mile Run/PACER ","50","66.2","N/A ","N/A","0080111","201415"
"317","All Tests - School ","22.4","43.1","N/A ","N/A","0080111","201415"
"318","All Tests - District ","22.4","43.1","N/A ","N/A","0080111","201415"
"319","Sit & Reach ","63.5","68.9","N/A ","N/A","0080111","201516"
"320","Curl Up ","92.3","91.8","N/A ","N/A","0080111","201516"
