"","poverty_quartile","school_id","year"
"1","Middle","0010111","201314"
"2","Middle","0010111","201415"
"3","Middle","0010111","201516"
"4","High","0020311","201314"
"5","High","0020311","201415"
"6","High","0020311","201516"
"7","High","0020811","201314"
"8","High","0020811","201415"
"9","High","0020811","201516"
"10","High","0025111","201314"
"11","High","0025111","201415"
"12","High","0025111","201516"
"13","Middle","0026111","201314"
"14","Middle","0026111","201415"
"15","Middle","0026111","201516"
"16","Middle","0030111","201314"
"17","Middle","0030111","201415"
"18","Middle","0030111","201516"
"19","Low","0040311","201314"
"20","Low","0040311","201415"
"21","Low","0040311","201516"
"22","Low","0040411","201314"
"23","Low","0040411","201415"
"24","Low","0040411","201516"
"25","Low","0040511","201314"
"26","Low","0040511","201415"
"27","Low","0040511","201516"
"28","Low","0045111","201314"
"29","Low","0045111","201415"
"30","Low","0045111","201516"
"31","Low","0046111","201314"
"32","Low","0046111","201415"
"33","Low","0046111","201516"
"34","Low","0050111","201314"
"35","Low","0050111","201415"
"36","Low","0050111","201516"
"37","Middle","0070111","201314"
"38","Middle","0070111","201415"
"39","Middle","0070111","201516"
"40","Middle","0070411","201314"
"41","Middle","0070411","201415"
"42","Middle","0070411","201516"
"43","Low","0070511","201314"
"44","Low","0070511","201415"
"45","Low","0070511","201516"
"46","Middle","0075111","201314"
"47","Middle","0075111","201415"
"48","Low","0075111","201516"
"49","Middle","0076111","201314"
"50","Middle","0076111","201415"
"51","Middle","0076111","201516"
"52","Low","0080111","201314"
"53","Low","0080111","201415"
"54","Low","0080111","201516"
"55","Low","0090111","201314"
"56","Low","0090111","201415"
"57","Low","0090111","201516"
"58","Middle","0090411","201314"
"59","Middle","0090411","201415"
"60","Middle","0090411","201516"
"61","Middle","0090511","201314"
"62","Middle","0090511","201415"
"63","Middle","0090511","201516"
"64","Middle","0095111","201314"
"65","Middle","0095111","201415"
"66","Middle","0095111","201516"
"67","Middle","0096111","201314"
"68","Middle","0096111","201415"
"69","Middle","0096111","201516"
"70","Middle","0110511","201314"
"71","Middle","0110511","201415"
"72","Middle","0110511","201516"
"73","Middle","0110611","201314"
"74","Middle","0110611","201415"
"75","Middle","0110611","201516"
"76","Middle","0110711","201314"
"77","Middle","0110711","201415"
"78","Middle","0110711","201516"
"79","Middle","0110811","201314"
"80","Middle","0110811","201415"
"81","Middle","0110811","201516"
"82","High","0115211","201314"
"83","Middle","0115211","201415"
"84","Middle","0115211","201516"
"85","Middle","0116111","201314"
"86","Middle","0116111","201415"
"87","Middle","0116111","201516"
"88","Middle","0116311","201314"
