"school_code","year","female","male"
"0010111","201314",140,158
"0010111","201415",129,146
"0010111","201516",118,132
"0020311","201314",288,278
"0020311","201415",286,311
"0020311","201516",287,308
"0020811","201314",308,353
"0020811","201415",318,362
"0020811","201516",340,348
"0025111","201314",227,266
"0025111","201415",240,258
"0025111","201516",204,242
"0026111","201314",268,334
"0026111","201415",276,308
"0026111","201516",274,323
"0030111","201314",205,218
"0030111","201415",204,211
"0030111","201516",194,203
"0040311","201314",272,301
"0040311","201415",264,282
"0040311","201516",236,261
"0040411","201314",315,279
"0040411","201415",308,268
"0040411","201516",302,297
"0040511","201314",260,303
"0040511","201415",243,309
"0040511","201516",272,278
"0045111","201314",301,283
"0045111","201415",289,259
"0045111","201516",256,289
"0046111","201314",552,505
"0046111","201415",528,523
"0046111","201516",526,512
"0050111","201314",127,161
"0050111","201415",135,160
"0050111","201516",130,125
"0070111","201314",115,136
"0070111","201415",112,113
"0070111","201516",118,120
"0070411","201314",231,283
"0070411","201415",232,272
"0070411","201516",246,257
"0070511","201314",276,286
"0070511","201415",254,293
"0070511","201516",232,265
"0075111","201314",301,390
"0075111","201415",308,394
"0075111","201516",303,369
"0076111","201314",444,489
"0076111","201415",439,479
"0076111","201516",445,508
"0080111","201314",199,237
"0080111","201415",187,220
"0080111","201516",191,192
"0090111","201314",263,293
"0090111","201415",247,299
"0090111","201516",243,318
"0090411","201314",204,207
"0090411","201415",209,204
"0090411","201516",204,216
"0090511","201314",201,216
"0090511","201415",187,199
"0090511","201516",202,224
"0095111","201314",312,360
"0095111","201415",320,375
"0095111","201516",317,341
"0096111","201314",452,481
"0096111","201415",432,457
"0096111","201516",425,472
"0110511","201314",105,126
"0110511","201415",118,130
"0110511","201516",131,123
"0110611","201314",162,156
"0110611","201415",181,164
"0110611","201516",181,154
"0110711","201314",104,112
"0110711","201415",94,114
"0110711","201516",104,116
"0110811","201314",157,164
"0110811","201415",154,167
"0110811","201516",142,180
"0115211","201314",93,120
"0115211","201415",90,124
"0115211","201516",89,104
"0116111","201314",269,286
"0116111","201415",246,292
"0116111","201516",221,295
"0116311","201314",133,87
"0116311","201415",137,83
"0116311","201516",126,92
"0116411","201314",6,7
"0116411","201415",6,7
"0116411","201516",NA,NA
"0120111","201314",260,268
"0120111","201415",258,262
"0120111","201516",252,255
"0126111","201314",170,164
"0126111","201415",157,161
"0126111","201516",163,144
"0130111","201314",119,124
"0130111","201415",103,106
"0130111","201516",97,104
"0141411","201314",178,242
"0141411","201415",166,247
"0141411","201516",180,244
"0141511","201314",196,204
"0141511","201415",186,202
"0141511","201516",178,188
"0141611","201314",182,192
"0141611","201415",169,186
"0141611","201516",161,188
"0145111","201314",479,463
"0145111","201415",462,454
"0145111","201516",470,442
"0146111","201314",513,537
"0146111","201415",475,486
"0146111","201516",447,467
"0150111","201314",301,325
"0150111","201415",286,349
"0150111","201516",283,335
"0150211","201314",192,184
"0150211","201415",180,190
"0150211","201516",170,184
"0150311","201314",188,218
"0150311","201415",189,224
"0150311","201516",216,253
"0150411","201314",188,225
"0150411","201415",186,220
