"College-and-Career-Readiness Course-Taking, 2014-15"

"Notes:"
"* This report provides the number and percentage of 11th and 12th graders enrolled in College-and-Career-Readiness (CCR) courses during high school."
"* CCR courses include Advanced Placement (AP) and International Baccalaureate (IB) for all years, and effective 2014-15 also include Career and Technical Education(CTE), workplace experience and dual enrollment courses."

"",,"11th",,"12th",
"District","District Code","Count","%","Count","%"
"Ansonia School District","=""0020011""",85,72.6,126,78.3
"Avon School District","=""0040011""",81,32.9,143,57.2
"Berlin School District","=""0070011""",165,66.3,183,83.2
"Bethel School District","=""0090011""",185,74.6,225,97.8
"Bloomfield School District","=""0110011""",96,64.4,129,76.3
"Bolton School District","=""0120011""",77,87.5,75,91.5
"Bozrah School District","=""0130011""","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""",229,88.1,221,87.7
"Bridgeport School District","=""0150011""",385,32.5,436,50.6
"Bristol School District","=""0170011""",274,44.6,403,67.1
"Brookfield School District","=""0180011""",130,59.6,212,89.8
"Brooklyn School District","=""0190011""","*","*","*","*"
"Canterbury School District","=""0220011""","N/A","N/A","N/A","N/A"
"Canton School District","=""0230011""",19,19.0,58,45.0
"Cheshire School District","=""0250011""",216,56.4,372,89.6
"Clinton School District","=""0270011""",122,91.7,139,96.5
"Colchester School District","=""0280011""",158,74.2,196,83.1
"Columbia School District","=""0300011""","N/A","N/A","N/A","N/A"
"Coventry School District","=""0320011""",83,62.4,101,84.2
"Cromwell School District","=""0330011""",70,49.3,94,71.2
"Danbury School District","=""0340011""",296,44.9,481,68.8
"Darien School District","=""0350011""",121,36.3,232,67.8
"Derby School District","=""0370011""",29,34.9,63,67.7
"East Granby School District","=""0400011""",64,88.9,62,92.5
"East Haddam School District","=""0410011""",59,76.6,101,92.7
"East Hampton School District","=""0420011""",59,41.0,93,72.7
"East Hartford School District","=""0430011""",97,19.9,215,39.2
"East Haven School District","=""0440011""",42,19.6,83,42.3
"East Lyme School District","=""0450011""",224,90.0,264,90.1
"East Windsor School District","=""0470011""",51,72.9,60,68.2
"Ellington School District","=""0480011""",121,68.0,172,81.9
"Enfield School District","=""0490011""",140,34.3,275,73.3
"Fairfield School District","=""0510011""",721,94.6,681,94.1
"Farmington School District","=""0520011""",151,46.3,235,67.9
"Franklin School District","=""0530011""","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""",276,50.8,390,71.2
"Granby School District","=""0560011""",179,92.3,149,90.9
"Greenwich School District","=""0570011""",580,91.3,614,94.6
"Griswold School District","=""0580011""",125,90.6,128,91.4
"Groton School District","=""0590011""",108,43.0,157,59.0
"Guilford School District","=""0600011""",93,37.7,174,62.6
"Hamden School District","=""0620011""",203,47.2,303,65.0
"Hartford School District","=""0640011""",675,53.1,757,59.2
"Hartland School District","=""0650011""","N/A","N/A","*","*"
"Killingly School District","=""0690011""",55,28.8,101,52.6
"Lebanon School District","=""0710011""",44,41.5,50,51.5
"Ledyard School District","=""0720011""",157,67.7,193,78.5
