"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"Y",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*","*","*",213
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Y",69,69,100.0,69,"*","*","*","*","*","*",17,24.6,"*","*","*","*",220
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"N",21,21,100.0,21,"*","*","*","*","*","*",8,38.1,"*","*","*","*",227
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Y",57,56,98.2,56,7,12.5,"*","*",25,44.6,6,10.7,"*","*","*","*",222
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"N",38,38,100.0,38,7,18.4,"*","*",9,23.7,18,47.4,"*","*","*","*",240
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Y",138,138,100.0,138,45,32.6,"*","*",37,26.8,"*","*",0,0.0,"*","*",217
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"N",47,47,100.0,47,9,19.1,"*","*",14,29.8,18,38.3,"*","*","*","*",238
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,"Y",104,103,99.0,103,33,32.0,20,19.4,40,38.8,"*","*","*","*",10,9.7,212
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,"N",44,43,97.7,43,"*","*",8,18.6,15,34.9,7,16.3,"*","*","*","*",245
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"Y",41,41,100.0,41,"*","*",11,26.8,13,31.7,10,24.4,"*","*","*","*",225
