"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"F",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"F",70,70,100.0,70,"*","*",22,31.4,18,25.7,15,21.4,"*","*","*","*",216
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"F",51,51,100.0,51,13,25.5,"*","*",18,35.3,12,23.5,"*","*","*","*",227
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"F",39,39,100.0,39,10,25.6,14,35.9,13,33.3,"*","*","*","*","*","*",211
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"F",61,61,100.0,61,"*","*",14,23.0,22,36.1,12,19.7,"*","*","*","*",217
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*",227
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"F",45,45,100.0,45,"*","*",12,26.7,19,42.2,"*","*","*","*","*","*",223
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"N",38,38,100.0,38,7,18.4,"*","*","*","*",18,47.4,"*","*","*","*",240
