"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","ELA",18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Math",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELA",241,7,2.9,16,6.6,102,42.3,116,48.1,218,90.5,608
"Avon School District","=""0040011""","Avon High School","=""0046111""","Math",242,12,5.0,44,18.2,100,41.3,86,35.5,186,76.9,604
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA",194,19,9.8,22,11.3,118,60.8,35,18.0,153,78.9,543
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math",194,26,13.4,57,29.4,91,46.9,20,10.3,111,57.2,531
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELA",137,41,29.9,"*","*",58,42.3,"*","*","*","*",469
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Math",137,40,29.2,76,55.5,"*","*","*","*",21,15.3,458
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELA","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Math","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","ELA",67,6,9.0,6,9.0,40,59.7,15,22.4,55,82.1,555
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Math",67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,516
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELA",232,33,14.2,48,20.7,107,46.1,44,19.0,151,65.1,524
"Branford School District","=""0140011""","Branford High School","=""0146111""","Math",232,47,20.3,101,43.5,57,24.6,27,11.6,84,36.2,503
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA",34,"*","*","*","*",25,73.5,"*","*","*","*",515
