"CT School Day SAT, 2016-17"
"All Districts, All Subjects, Race/Ethnicity"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Race","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Black or African American",31,31,100.0,31,"*","*",7,22.6,18,58.1,"*","*","*","*",485
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Black or African American",31,31,100.0,30,"*","*",16,53.3,9,30.0,"*","*","*","*",488
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Black or African American",30,29,96.7,29,"*","*",6,20.7,20,69.0,"*","*","*","*",524
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Black or African American",30,29,96.7,29,"*","*",18,62.1,"*","*",0,0.0,"*","*",456
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Black or African American",30,27,90.0,27,13,48.1,"*","*",6,22.2,"*","*","*","*",447
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Hispanic/Latino of any race",40,38,95.0,38,11,28.9,"*","*",16,42.1,"*","*","*","*",467
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","White",47,47,100.0,47,9,19.1,9,19.1,23,48.9,6,12.8,29,61.7,505
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","Black or African American",30,27,90.0,27,15,55.6,10,37.0,"*","*","*","*","*","*",404
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","Hispanic/Latino of any race",40,38,95.0,38,20,52.6,"*","*",9,23.7,"*","*","*","*",447
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","White",47,47,100.0,47,16,34.0,23,48.9,"*","*","*","*",8,17.0,463
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELA","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELA","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
