"Classes Taught by High Quality Teachers, Trend"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,"Percent of Classes Taught by Highly Qualified Teachers",,
"District Name","District Code","School Name","School Code","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District",="2880013","Achievement First Hartford Academy Inc.",="2880113",57.1,N/A,73.2
"Amistad Academy District",="2790013","Amistad Academy",="2795113",74.5,81.6,69.4
"Andover School District",="0010011","Andover Elementary School",="0010111",100.0,97.0,95.0
"Ansonia School District",="0020011","Ansonia High School",="0026111",97.4,97.6,100.0
"Ansonia School District",="0020011","Ansonia Middle School",="0025111",100.0,96.2,100.0
"Ansonia School District",="0020011","Mead School",="0020311",100.0,98.7,100.0
"Ansonia School District",="0020011","P.A.C.E. (Positive And Creative Education)",="0020111",N/A,N/A,100.0
"Ansonia School District",="0020011","Prendergast School",="0020811",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Center for Autism Spectrum and Development Disorders",="2449614",100.0,100.0,75.0
"Area Cooperative Educational Services",="2440014","Mill Road School",="2449414",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Thomas Edison Magnet Middle School",="2445114",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Village School",="2449514",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Whitney High School East",="2449214",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Whitney High School North",="2449114",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Whitney High School West",="2449314",100.0,100.0,100.0
"Area Cooperative Educational Services",="2440014","Wintergreen Interdistrict  Magnet School",="2440314",100.0,100.0,100.0
"Ashford School District",="0030011","Ashford School",="0030111",100.0,95.7,100.0
"Avon School District",="0040011","Avon High School",="0046111",99.7,100.0,100.0
"Avon School District",="0040011","Avon Middle School",="0045111",100.0,97.4,100.0
"Avon School District",="0040011","Pine Grove School",="0040411",100.0,98.7,100.0
"Avon School District",="0040011","Roaring Brook School",="0040311",100.0,100.0,100.0
"Avon School District",="0040011","Thompson Brook School",="0040511",100.0,100.0,100.0
"Barkhamsted School District",="0050011","Barkhamsted Elementary School",="0050111",100.0,100.0,100.0
"Berlin School District",="0070011","Berlin High School",="0076111",100.0,100.0,100.0
"Berlin School District",="0070011","Catherine M. McGee Middle School",="0075111",100.0,96.1,96.1
"Berlin School District",="0070011","Emma Hart Willard School",="0070411",98.7,100.0,100.0
"Berlin School District",="0070011","Mary E. Griswold School",="0070511",100.0,100.0,98.6
