"Student Counts by School and Gender"
"All Districts, All Schools"
"2007-08"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",263,284,547
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",151,196,347
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",380,380,760
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",290,306,596
"Ansonia School District","=""0020011""","Mead School","=""0020311""",274,325,599
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",364,412,776
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",8,11,19
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",40,59,99
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",33,143,176
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",368,384,752
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",45,129,174
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",33,92,125
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",18,74,92
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",21,35,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",306,299,605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",234,266,500
"Avon School District","=""0040011""","Avon High School","=""0046111""",511,525,1036
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",278,304,582
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",293,325,618
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",390,386,776
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",313,277,590
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",146,182,328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",12,18,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",498,565,1063
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",390,388,778
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",252,325,577
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",273,316,589
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",112,151,263
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",269,300,569
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",200,225,425
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",523,511,1034
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",365,378,743
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",226,262,488
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",222,232,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",307,318,625
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",177,171,348
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",167,175,342
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",138,177,315
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",116,152,268
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",113,125,238
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",51,28,79
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",297,300,597
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",147,128,275
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",144,120,264
"Branford School District","=""0140011""","Branford High School","=""0146111""",577,569,1146
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",554,528,1082
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",18,40,58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",170,175,345
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",213,217,430
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",189,227,416
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",46,39,85
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",135,144,279
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",599,686,1285
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",311,296,607
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",123,149,272
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",554,623,1177
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",15,39,54
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",205,208,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1192,1147,2339
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",558,604,1162
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",195,180,375
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",370,393,763
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",194,212,406
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",278,314,592
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",186,177,363
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",198,210,408
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",139,139,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",88,108,196
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",160,184,344
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",152,170,322
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",832,890,1722
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",230,214,444
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",204,246,450
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",173,156,329
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",239,236,475
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",425,421,846
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",247,315,562
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",9,28,37
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",65,122,187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",259,216,475
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","*","*",14
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",6,24,30
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",249,252,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",420,484,904
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",340,387,727
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",93,126,219
"Bridgeport School District","=""0150011""","The University School","=""0159111""",19,27,46
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",221,235,456
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",378,380,758
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",697,768,1465
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",682,651,1333
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",452,477,929
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",183,172,355
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",116,137,253
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",158,198,356
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",246,244,490
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",176,220,396
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",189,213,402
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",191,183,374
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",258,284,542
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",167,202,369
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",263,295,558
"Bristol School District","=""0170011""","South Side School","=""0171111""",266,314,580
"Bristol School District","=""0170011""","Stafford School","=""0171211""",249,248,497
