"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2010-11"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",582,28,610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",721,91,812
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",705,22,727
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",445,13,458
"Ansonia School District","=""0020011""","Mead School","=""0020311""",627,15,642
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",764,23,787
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",19,0,19
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",170,0,170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",676,44,720
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",153,0,153
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",128,0,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*",102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",53,0,53
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",646
"Ashford School District","=""0030011""","Ashford School","=""0030111""",467,9,476
"Avon School District","=""0040011""","Avon High School","=""0046111""","*","*",1088
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*",584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",598,33,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",640,11,651
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",588,6,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",343
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30,0,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1003,14,1017
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",709,10,719
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",519,16,535
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",574,11,585
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",245,16,261
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",512
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",365,19,384
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",950,9,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",667,16,683
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",436,24,460
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","*","*",452
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",587,6,593
