"Student Counts by School and Grade"
"All Districts, All Schools"
"2010-11"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",33,42,46,43,49,35,38,48,0,0,0,0,0,0,334
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",94,0,0,0,0,0,0,0,180,184,0,0,0,0,458
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,36,94,103,102,101,113,93,0,0,0,0,0,0,642
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,168,119,98,91,114,90,107,0,0,0,0,0,0,787
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,206,206,171,144,727
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",7,6,11,12,16,17,25,21,17,12,"*","*",0,"*",153
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*","*",14,21,22,19,26,26,27,0,0,0,0,170
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,63,66,74,75,75,75,74,73,71,0,0,0,0,646
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,0,0,0,0,"*","*","*","*","*","*",0,19
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,247,241,232,0,0,0,0,720
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,0,18,19,19,72,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,25,22,23,32,102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,"*","*","*",42,53
"Ashford School District","=""0030011""","Ashford School","=""0030111""",47,48,35,54,33,48,52,52,51,56,0,0,0,0,476
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",39,83,108,131,137,133,0,0,0,0,0,0,0,0,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,108,132,132,130,149,0,0,0,0,0,0,0,0,651
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,308,286,0,0,0,0,0,0,594
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,284,300,0,0,0,0,584
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,281,267,283,257,1088
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,49,43,58,35,52,51,55,0,0,0,0,0,0,343
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",48,71,79,86,76,88,87,0,0,0,0,0,0,0,535
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,95,96,112,90,100,92,0,0,0,0,0,0,0,585
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,43,35,39,39,46,59,0,0,0,0,0,0,0,261
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,0,231,255,233,0,0,0,0,719
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,233,258,260,266,1017
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",14,53,62,74,74,86,68,81,0,0,0,0,0,0,512
