"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2011-12"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",762,0,0,762
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",590,167,100,857
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",25,282,7,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",304,307,84,695
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",209,226,37,472
"Ansonia School District","=""0020011""","Mead School","=""0020311""",339,199,72,610
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",387,263,88,738
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*",21,"*",31
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",123,26,11,160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",228,463,30,721
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",53,85,10,148
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",85,23,6,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",77,10,7,94
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",37,"*","*",47
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",181,395,64,640
"Ashford School District","=""0030011""","Ashford School","=""0030111""",111,339,31,481
"Avon School District","=""0040011""","Avon High School","=""0046111""",44,1051,17,1112
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",27,536,9,572
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",29,589,13,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",23,561,6,590
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",22,560,12,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",320,"*",338
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","*","*",0,19
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",86,868,22,976
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",74,638,18,730
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",60,423,9,492
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",36,530,11,577
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",16,219,6,241
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",466,"*",491
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",53,318,18,389
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",99,799,51,949
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",92,566,35,693
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",41,445,7,493
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",57,366,24,447
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",232,295,76,603
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",119,107,37,263
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",135,123,28,286
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",146,144,32,322
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",117,109,25,251
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",36,61,8,105
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",41,266,14,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",42,500,7,549
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",33,302,8,343
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",19,203,12,234
"Branford School District","=""0140011""","Branford High School","=""0146111""",90,928,46,1064
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",152,807,61,1020
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,46,0,46
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",70,277,18,365
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",34,342,8,384
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",82,329,28,439
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",378,91,74,543
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",654,"*","*",659
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1026,7,40,1073
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",384,"*","*",388
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*","*",0,305
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1046,10,10,1066
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*",0,"*",51
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",413,0,0,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2007,68,106,2181
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1137,"*","*",1146
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",287,"*","*",290
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",520,"*","*",523
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",426,"*","*",431
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",607,"*","*",615
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*",0,"*",344
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",251,0,0,251
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",842,"*","*",857
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*",0,"*",310
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*","*",0,335
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1253,12,44,1309
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",397,26,6,429
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",403,"*","*",416
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*","*",0,312
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",665,"*","*",670
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",446,0,8,454
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",0,"*",897
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",510,0,0,510
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",39,0,0,39
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",467,10,7,484
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*",0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",503,10,10,523
"Bridgeport School District","=""0150011""","Read School","=""0152511""",844,0,6,850
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*",0,"*",534
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",229,0,0,229
