"Student Counts by School and Race"
"All Districts, All Schools"
"2012-13"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*","*",704,108,"*",9,0,824
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,554,316,0,15,"*",904
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*","*",9,0,10,289,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",9,145,138,"*","*",334,631
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",104,134,"*","*",215,463
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*","*",114,207,9,10,270,619
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","*",13,135,193,"*",11,337,699
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*","*","*",0,"*",24,36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*",58,46,0,12,29,147
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*",26,110,282,0,"*",286,722
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*",32,32,0,0,76,149
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*",38,35,0,"*",34,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,45,27,0,"*","*",89
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,"*",10,8,0,"*",25,45
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",263,115,0,32,188,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",0,"*","*",24,0,8,397,439
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",95,34,58,"*",27,865,1083
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",58,"*",35,0,22,478,611
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",74,26,36,0,"*",438,595
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",52,24,35,0,"*",437,569
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",55,18,31,0,"*",429,548
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,"*","*",6,0,"*",315,328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,0,0,0,0,0,21,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,35,14,71,"*","*",829,962
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",24,24,52,0,"*",593,712
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",0,21,6,40,0,17,417,501
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*",11,"*",44,0,22,483,567
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,0,"*",22,0,"*",198,232
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",41,9,7,0,"*",414,473
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,19,"*",71,0,"*",293,392
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",62,29,119,0,"*",730,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,47,14,84,0,17,522,684
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,32,15,47,"*","*",395,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,37,7,67,0,17,315,443
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",469,46,0,"*",18,541
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,"*",178,35,0,"*","*",220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,"*",224,28,0,"*","*",261
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,"*",116,16,0,"*",46,182
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,"*",273,29,"*",13,16,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,10,0,0,0,0,10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","*",9,199,20,0,"*",6,237
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","*","*",96,26,0,19,161,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,15,31,21,0,6,460,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,7,6,13,0,13,320,359
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",13,16,0,0,207,241
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",79,41,82,0,"*",827,1049
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*",66,29,74,0,"*",796,989
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,"*","*","*",0,"*",42,47
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","*",19,"*",53,0,11,280,371
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",0,22,"*",19,0,"*",325,373
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","*",74,17,38,0,"*",287,429
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",386,300,0,"*",6,702
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",0,"*",189,417,0,"*",15,625
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*",49,534,533,"*","*",55,1177
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*",6,143,210,0,"*",14,377
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,"*",80,161,0,"*",100,348
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",7,53,372,514,"*","*",179,1130
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,27,18,0,0,7,52
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","*",27,154,198,0,"*",26,412
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",49,82,903,870,"*","*",220,2137
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",44,222,805,"*","*",40,1115
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*",9,195,91,"*",0,12,310
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,"*",302,534,0,"*",37,877
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*","*",245,158,0,0,13,420
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",33,353,345,0,"*",35,773
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,"*",192,107,0,"*",9,313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,"*",130,89,0,"*",20,244
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",9,33,275,445,"*","*",53,818
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*","*",157,136,0,0,8,308
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,0,197,114,0,"*","*",336
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*",9,577,659,"*","*",44,1297
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*",9,227,145,0,"*",45,433
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*",6,145,176,0,"*",50,381
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*",23,138,155,0,"*",134,457
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",0,"*",347,256,0,"*",13,629
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",0,"*",231,616,"*","*",20,871
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,"*",148,255,0,"*",86,506
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*",12,89,291,0,"*",58,456
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,"*","*",0,0,0,6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",0,47,241,177,0,0,61,526
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*",15,341,410,0,"*",86,857
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",0,14,204,285,0,0,21,524
