"Student Counts by School and Year"
"All Districts, All Schools"
"2016-17"

"District","District Code","School","School Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1066
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",1057
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",225
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",616
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",441
"Ansonia School District","=""0020011""","Mead School","=""0020311""",580
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",31
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",665
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",40
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",168
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",732
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",118
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",115
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",41
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",406
"Avon School District","=""0040011""","Avon High School","=""0046111""",1024
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",558
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",56
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",624
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",516
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",497
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",228
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",23
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",891
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",714
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",482
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",491
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",213
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",356
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",397
