"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Administrators  Coordinators and Department Chairs - School Level","Certified",6.9,7.8,12.0,15.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,1.0,1.0,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",50.6,59.2,57.6,69.0,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.0,31.0,1025.0,31.0,44.0
,,="School Nurses",="Non-Certified",1.5,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",1.5,2.0,8.0,6.0,.
"Amistad Academy District","Amistad Academy","Administrators  Coordinators and Department Chairs - School Level","Certified",7.8,13.1,14.3,16.1,11.6
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.5,3.0,4.8,3.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.0,7.0,13.0,10.5
,,="General Education - Teachers and Instructors",="Certified",72.1,71.4,71.1,89.3,84.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.0,27.0,41.0,26.0,50.8
,,="School Nurses",="Non-Certified",3.0,2.0,3.0,3.0,4.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,0.0,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,11.0,5.8
,,="Instructional Specialists Who Support Teachers",="Certified",3.5,0.3,.,.,.
,,"Library/Media - Specialists (Certified)","Certified",.,0.5,0.5,0.5,.
"Andover School District","Andover Elementary School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,0.5,3.5,3.0,2.0
,,="General Education - Teachers and Instructors",="Certified",26.3,25.2,24.7,24.7,19.7
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.4,15.4,15.4,15.4,15.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.5,4.0,4.5,6.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.4,1.4,1.4,1.4
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Ansonia School District",="Ansonia High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,2.2,2.0,1.0,1.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",5.6,5.6,5.6,5.0,5.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,4.0,4.0,3.0
,,="General Education - Teachers and Instructors",="Certified",45.3,43.3,43.9,45.3,44.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.0,23.0,22.0,22.0,19.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.5,7.5,7.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",5.0,5.4,5.0,5.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.1,0.1,3.1,3.1,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Ansonia Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.8,2.0,3.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,22.5,18.0,22.0,9.0
,,="General Education - Teachers and Instructors",="Certified",24.7,24.7,24.7,23.7,25.7
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.9,11.5,10.1,10.6,8.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,14.0,11.5,13.5,4.0
,,="Special Education - Teachers and Instructors",="Certified",6.0,5.2,6.0,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,1.0
,="Mead School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.4,2.4,2.5,2.5,2.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,6.5,2.0,4.0,9.5
,,="General Education - Teachers and Instructors",="Certified",35.0,33.0,34.0,36.5,37.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.0,8.3,7.8,8.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,10.0,14.0,15.5,5.0
,,="Special Education - Teachers and Instructors",="Certified",5.0,5.2,5.0,5.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.9,2.9,2.6,2.6,.
,"Prendergast School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.6,2.6,2.5,2.5,2.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,8.0,3.0,6.0,7.0
,,="General Education - Teachers and Instructors",="Certified",42.0,41.0,37.0,39.5,41.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.9,10.0,10.2,9.7
,,="School Nurses",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",22.5,14.5,20.0,16.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.2,5.0,5.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",4.0,3.0,2.4,3.4,1.0
="Area Cooperative Educational Services",="Center for Autism Spectrum and Development Disorders",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,1.0,2.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,3.0,4.0,4.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,1.0,1.0,.,1.0
,="Mill Road School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,5.0,6.0
,,="General Education - Teachers and Instructors",="Certified",7.5,8.0,8.0,7.5,7.8
,,="Special Education - Teachers and Instructors",="Certified",18.5,17.0,18.0,17.5,18.5
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Thomas Edison Magnet Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,2.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,5.0,5.0
,,="General Education - Teachers and Instructors",="Certified",54.2,51.1,56.1,53.6,53.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.0,5.0,5.0,5.0,5.0
,,="School Nurses",="Non-Certified",1.6,1.6,1.6,1.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.4,1.4,0.7,0.7,2.0
,,="Special Education - Teachers and Instructors",="Certified",5.5,5.5,5.5,5.5,6.0
