"Primary Disability (K-12), Trend"
"All Districts, Autism"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",39,1.5,12.5,38,1.5,11.2,48,1.9,11.6,50,2.0,11.1,45,1.8,9.0
"Ashford School District","=""0030011""",10,2.5,20.0,9,2.3,19.1,6,1.6,12.8,"*","*","*",7,1.9,15.6
"Avon School District","=""0040011""",52,1.5,14.6,54,1.6,15.5,53,1.6,16.9,53,1.6,18.3,56,1.7,17.8
"Barkhamsted School District","=""0050011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",39,1.3,13.0,36,1.2,11.8,37,1.2,11.7,38,1.3,11.3,34,1.2,9.8
"Bethany School District","=""0080011""","*","*","*","*","*","*","*","*","*","*","*","*",6,1.7,11.5
"Bethel School District","=""0090011""",33,1.1,10.3,35,1.2,11.1,32,1.1,9.9,38,1.3,12.0,42,1.4,12.4
"Bloomfield School District","=""0110011""",18,0.8,8.0,16,0.8,6.8,22,1.0,7.9,26,1.2,8.3,31,1.4,9.4
"Bolton School District","=""0120011""","*","*","*","*","*","*","*","*","*",6,0.8,6.9,8,1.0,9.3
"Bozrah School District","=""0130011""",8,2.4,20.0,9,2.7,24.3,6,2.0,18.2,6,2.0,18.2,"*","*","*"
"Branford School District","=""0140011""",42,1.3,9.4,41,1.3,9.8,42,1.4,10.2,36,1.2,8.6,38,1.3,9.2
"Bridgeport School District","=""0150011""",198,0.9,7.1,217,1.0,7.7,255,1.1,8.0,285,1.2,8.4,308,1.3,8.6
"Bristol School District","=""0170011""",79,1.0,6.4,85,1.0,6.6,83,1.0,6.1,96,1.2,6.9,100,1.2,7.0
"Brookfield School District","=""0180011""",41,1.5,14.0,44,1.6,13.9,44,1.6,13.6,47,1.7,14.0,47,1.7,13.5
"Brooklyn School District","=""0190011""","*","*","*","*","*","*",9,0.8,7.1,12,1.0,9.4,14,1.2,9.7
"Canaan School District","=""0210011""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*","*"
"Canterbury School District","=""0220011""",14,2.0,20.9,15,2.3,22.4,19,2.9,26.8,18,2.8,26.1,15,2.4,19.7
"Canton School District","=""0230011""",24,1.4,15.6,23,1.3,13.9,27,1.6,15.5,28,1.7,15.5,25,1.5,13.9
"Chaplin School District","=""0240011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",61,1.3,13.2,61,1.3,13.1,68,1.5,14.4,70,1.6,14.5,74,1.7,15.2
"Chester School District","=""0260011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",24,1.2,12.2,28,1.4,13.8,26,1.4,12.9,21,1.2,10.3,23,1.3,10.9
"Colchester School District","=""0280011""",35,1.2,10.1,33,1.2,9.1,35,1.3,9.7,40,1.5,10.9,53,2.1,14.5
"Colebrook School District","=""0290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","*","*","*",6,0.9,8.7,"*","*","*","*","*","*",8,1.2,8.2
"Connecticut Technical High School System","=""9000016""",38,0.4,4.8,45,0.4,5.1,53,0.5,5.5,53,0.5,5.2,56,0.5,5.6
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","*","*","*","*","*","*",20,1.2,9.8,19,1.1,9.1,22,1.3,10.2
"Cromwell School District","=""0330011""",27,1.3,13.6,33,1.6,16.1,29,1.4,13.6,33,1.6,14.9,41,2.0,17.6
"Danbury School District","=""0340011""",114,1.1,10.2,138,1.3,11.5,143,1.4,11.5,149,1.4,11.4,145,1.3,11.0
"Darien School District","=""0350011""",56,1.2,9.6,46,0.9,8.8,41,0.8,7.4,42,0.9,7.2,43,0.9,7.0
"Deep River School District","=""0360011""",8,2.3,19.5,6,1.8,14.0,6,1.9,12.5,6,2.0,14.0,"*","*","*"
"Derby School District","=""0370011""",15,1.0,8.0,18,1.1,8.8,26,1.7,12.2,28,1.9,13.5,24,1.6,11.1
"East Granby School District","=""0400011""",9,1.0,9.9,10,1.1,11.9,10,1.1,10.8,11,1.2,11.0,12,1.4,11.4
"East Haddam School District","=""0410011""",22,1.7,13.8,28,2.3,16.1,30,2.6,17.6,33,3.0,20.4,24,2.3,17.6
"East Hampton School District","=""0420011""",31,1.6,20.4,34,1.7,22.1,36,1.9,23.1,38,2.0,23.9,42,2.2,22.2
"East Hartford School District","=""0430011""",98,1.3,9.0,97,1.2,8.7,118,1.5,10.7,143,1.8,12.4,149,1.9,12.4
"East Haven School District","=""0440011""",57,1.6,12.9,56,1.7,12.9,55,1.7,12.9,61,1.8,13.9,63,1.9,14.2
"East Lyme School District","=""0450011""",45,1.7,13.8,49,1.9,14.6,48,1.8,14.0,45,1.8,13.8,45,1.7,12.9
"East Windsor School District","=""0470011""",19,1.4,9.4,18,1.4,9.1,26,2.1,11.9,25,2.1,13.1,26,2.3,13.9
"Eastford School District","=""0390011""","*","*","*",6,3.0,27.3,"*","*","*","*","*","*",6,3.2,18.2
"Easton School District","=""0460011""",11,1.1,14.7,9,1.0,10.6,"*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","*","*","*","*","*","*",26,1.0,9.0,28,1.0,9.5,33,1.2,10.5
"Enfield School District","=""0490011""",69,1.2,9.2,85,1.6,11.3,92,1.7,12.1,96,1.8,12.3,106,2.0,13.1
"Essex School District","=""0500011""",8,1.7,18.2,8,1.8,17.8,11,2.7,18.6,10,2.7,18.5,11,3.3,21.2
"Fairfield School District","=""0510011""",156,1.5,14.1,141,1.4,13.0,135,1.3,12.3,124,1.2,11.6,129,1.3,11.5
"Farmington School District","=""0520011""",80,2.0,18.3,81,2.0,18.6,84,2.1,18.1,89,2.2,18.6,86,2.1,17.6
"Franklin School District","=""0530011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""",78,1.2,12.9,83,1.3,13.5,94,1.5,15.2,101,1.6,15.8,102,1.7,15.9
"Granby School District","=""0560011""",15,0.7,8.2,18,0.9,9.4,21,1.1,10.6,25,1.3,11.6,25,1.3,11.5
"Greenwich School District","=""0570011""",85,1.0,9.8,91,1.1,10.7,98,1.1,11.1,107,1.3,12.0,116,1.3,12.5
"Griswold School District","=""0580011""",24,1.3,10.1,26,1.5,10.2,33,1.9,13.4,32,1.9,13.2,46,2.7,19.4
"Groton School District","=""0590011""",90,1.8,12.7,108,2.2,14.8,108,2.2,14.9,101,2.1,13.6,104,2.2,14.2
"Guilford School District","=""0600011""",63,1.8,17.2,64,1.8,17.2,69,2.0,17.6,67,2.0,16.9,63,1.8,14.9
"Hamden School District","=""0620011""",113,1.7,14.0,123,1.8,14.1,143,2.2,15.1,159,2.5,15.5,179,2.8,16.5
"Hampton School District","=""0630011""",0,0,0,"*","*","*","*","*","*","*","*","*",0,0,0
"Hartford School District","=""0640011""",276,1.4,8.1,314,1.5,9.2,363,1.8,10.2,392,1.9,10.5,418,2.1,10.6
"Hartland School District","=""0650011""","*","*","*","*","*","*",6,2.2,18.2,6,2.2,17.1,8,3.1,21.6
"Hebron School District","=""0670011""",7,0.8,6.6,10,1.2,10.5,14,1.8,13.3,13,1.8,14.8,12,1.8,14.8
"Kent School District","=""0680011""",6,2.4,21.4,"*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""",48,2.0,13.1,52,2.2,13.8,54,2.4,13.6,57,2.5,14.5,50,2.2,12.9
"Lebanon School District","=""0710011""",16,1.4,10.6,20,1.8,12.8,20,1.9,12.7,21,2.1,14.8,22,2.3,16.5
"Ledyard School District","=""0720011""",50,2.0,15.0,49,2.0,14.2,49,2.0,13.8,49,2.1,13.6,51,2.2,13.0
"Lisbon School District","=""0730011""",8,1.3,9.9,8,1.3,9.4,6,1.0,8.6,8,1.4,12.5,8,1.4,11.4
"Litchfield School District","=""0740011""",6,0.6,5.0,6,0.6,5.5,9,0.9,7.9,10,1.0,8.8,11,1.2,8.4
"Madison School District","=""0760011""",49,1.5,13.9,48,1.5,13.4,55,1.7,15.1,48,1.6,13.6,53,1.8,14.4
"Manchester School District","=""0770011""",97,1.4,10.3,96,1.4,10.8,97,1.3,10.9,115,1.6,13.2,118,1.6,12.6
"Mansfield School District","=""0780011""",14,1.1,9.9,15,1.3,10.7,17,1.4,11.9,16,1.4,11.7,17,1.5,12.9
"Marlborough School District","=""0790011""",6,0.9,10.3,6,1.0,11.5,6,1.0,13.0,"*","*","*","*","*","*"
"Meriden School District","=""0800011""",127,1.4,9.8,131,1.5,9.3,142,1.6,9.6,159,1.8,10.5,175,2.0,11.1
"Middletown School District","=""0830011""",57,1.1,9.6,68,1.3,11.3,76,1.5,12.0,74,1.5,11.5,77,1.6,12.0
"Milford School District","=""0840011""",86,1.3,10.3,88,1.4,11.0,101,1.6,13.3,100,1.6,13.3,96,1.6,12.9
"Monroe School District","=""0850011""",35,1.0,9.6,34,1.0,9.5,38,1.1,10.8,46,1.4,13.0,42,1.3,12.1
"Montville School District","=""0860011""",31,1.2,10.8,32,1.3,11.4,29,1.2,10.2,36,1.5,10.9,33,1.4,10.0
"Naugatuck School District","=""0880011""",58,1.3,10.0,72,1.6,11.9,73,1.6,11.4,75,1.7,11.1,77,1.7,11.5
"New Britain School District","=""0890011""",142,1.3,8.8,147,1.4,9.0,154,1.4,9.1,174,1.6,9.9,192,1.7,10.1
"New Canaan School District","=""0900011""",47,1.1,12.2,47,1.1,13.0,51,1.2,13.2,52,1.2,12.9,53,1.3,12.1
"New Fairfield School District","=""0910011""",15,0.6,5.5,14,0.5,5.4,18,0.7,7.4,22,0.9,9.6,28,1.2,12.7
"New Hartford School District","=""0920011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""",219,1.2,9.4,240,1.3,9.9,255,1.3,9.7,288,1.5,10.4,307,1.5,10.4
"New London School District","=""0950011""",62,1.8,10.0,65,1.9,10.1,77,2.2,11.6,79,2.2,12.0,91,2.5,13.9
"New Milford School District","=""0960011""",81,1.8,13.7,77,1.8,13.2,76,1.8,13.5,80,1.9,14.4,78,1.9,14.1
"Newington School District","=""0940011""",64,1.4,11.9,63,1.5,11.8,64,1.5,12.1,58,1.4,11.3,64,1.5,12.4
"Newtown School District","=""0970011""",80,1.6,20.2,80,1.6,19.7,89,1.9,20.3,94,2.1,19.9,87,2.0,17.6
"Norfolk School District","=""0980011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
"North Branford School District","=""0990011""",23,1.1,8.2,25,1.2,8.7,20,1.0,6.9,17,0.9,6.1,15,0.8,5.9
"North Canaan School District","=""1000011""","*","*","*",6,2.1,13.6,9,3.3,20.0,8,3.2,17.8,7,2.7,18.9
"North Haven School District","=""1010011""",54,1.5,15.3,62,1.8,16.7,58,1.7,15.0,51,1.6,14.2,51,1.6,14.4
"North Stonington School District","=""1020011""","*","*","*",7,0.9,10.8,8,1.1,12.5,6,0.8,9.1,"*","*","*"
"Norwalk School District","=""1030011""",122,1.1,10.3,126,1.1,10.3,130,1.1,9.9,143,1.2,10.1,156,1.3,10.2
"Norwich School District","=""1040011""",70,1.3,7.9,79,1.4,9.0,92,1.7,10.1,102,1.9,11.7,108,2.0,11.5
"Old Saybrook School District","=""1060011""",27,1.9,13.2,30,2.2,14.3,34,2.5,17.1,35,2.7,19.9,37,2.9,21.4
"Orange School District","=""1070011""",13,1.1,11.6,14,1.2,12.8,11,1.0,10.8,15,1.3,15.8,16,1.4,16.8
"Oxford School District","=""1080011""",27,1.3,17.5,29,1.4,13.9,29,1.4,12.5,32,1.6,13.1,30,1.5,12.2
"Plainfield School District","=""1090011""",39,1.6,13.3,35,1.5,12.7,33,1.5,10.7,43,2.0,14.3,39,1.8,13.0
"Plainville School District","=""1100011""",33,1.4,10.6,36,1.5,11.0,39,1.6,12.4,42,1.8,13.8,51,2.2,17.5
"Plymouth School District","=""1110011""",26,1.5,10.5,28,1.7,12.0,27,1.6,11.5,31,1.9,13.1,32,2.0,13.1
"Pomfret School District","=""1120011""",13,2.0,19.4,13,2.1,20.0,14,2.4,25.0,15,2.6,23.1,12,2.1,21.1
"Portland School District","=""1130011""",11,0.8,8.9,12,0.8,9.4,14,1.0,10.2,16,1.1,11.4,20,1.5,15.0
"Preston School District","=""1140011""",14,2.3,17.1,13,2.1,14.3,13,2.2,12.6,14,2.3,14.3,12,2.0,11.7
"Putnam School District","=""1160011""",31,2.6,17.8,29,2.5,15.2,31,2.6,17.2,28,2.5,14.7,26,2.3,13.1
"Redding School District","=""1170011""",15,1.4,11.2,14,1.4,10.8,12,1.3,9.6,9,1.0,7.8,12,1.3,11.1
"Regional School District 01","=""2010012""",6,1.4,10.3,8,1.9,13.1,8,2.0,11.8,9,2.1,12.9,12,3.0,17.1
"Regional School District 04","=""2040012""",24,2.4,17.3,25,2.5,17.2,20,2.0,15.2,27,2.8,18.9,30,3.1,20.1
"Regional School District 05","=""2050012""",38,1.6,13.7,40,1.7,14.9,44,1.9,16.3,40,1.7,14.4,40,1.8,14.4
"Regional School District 06","=""2060012""",8,0.9,7.2,9,1.1,8.1,8,1.0,7.4,11,1.4,9.3,11,1.4,8.7
"Regional School District 07","=""2070012""",17,1.6,15.0,17,1.6,14.0,13,1.3,11.2,13,1.3,10.8,14,1.4,11.3
"Regional School District 08","=""2080012""",18,1.0,7.9,16,0.9,7.3,19,1.1,8.6,21,1.2,10.4,26,1.6,12.9
"Regional School District 09","=""2090012""",15,1.4,12.2,14,1.3,11.2,17,1.6,14.0,21,2.0,16.2,26,2.6,21.7
"Regional School District 10","=""2100012""",38,1.4,14.5,38,1.5,15.1,44,1.7,17.4,42,1.7,17.0,44,1.8,17.4
"Regional School District 11","=""2110012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""",14,1.7,11.1,12,1.6,9.5,13,1.8,11.3,13,1.9,11.6,12,1.9,10.6
"Regional School District 13","=""2130012""",34,1.7,12.2,40,2.1,14.7,40,2.2,15.4,39,2.3,15.5,38,2.2,15.6
"Regional School District 14","=""2140012""",31,1.8,15.5,32,2.0,17.4,25,1.6,14.3,24,1.6,14.5,26,1.7,12.9
"Regional School District 15","=""2150012""",66,1.6,13.3,74,1.8,15.7,77,2.0,16.3,83,2.2,16.6,87,2.3,15.8
"Regional School District 16","=""2160012""",47,2.0,17.7,47,2.0,16.4,52,2.3,16.4,46,2.0,14.6,44,2.0,15.0
"Regional School District 17","=""2170012""",35,1.5,11.3,34,1.5,10.6,37,1.7,11.3,37,1.7,10.7,34,1.6,9.7
"Regional School District 18","=""2180012""",14,1.0,8.9,18,1.3,11.2,16,1.2,9.7,18,1.4,11.4,21,1.6,13.2
"Regional School District 19","=""2190012""",14,1.3,8.0,17,1.7,10.2,16,1.6,9.7,22,2.3,12.7,23,2.4,14.6
"Ridgefield School District","=""1180011""",72,1.4,16.1,70,1.3,15.5,71,1.4,15.2,69,1.4,15.3,75,1.5,15.9
"Rocky Hill School District","=""1190011""",36,1.4,16.6,35,1.4,15.5,39,1.5,16.2,44,1.6,16.8,41,1.5,15.5
"Salem School District","=""1210011""",9,1.3,14.5,10,1.5,14.9,11,1.7,14.3,12,1.9,12.8,16,2.6,15.1
"Salisbury School District","=""1220011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""",40,1.7,16.5,35,1.5,13.7,35,1.5,13.1,37,1.6,13.8,36,1.6,12.4
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",67,1.3,11.8,67,1.3,11.0,68,1.3,10.9,77,1.5,11.9,80,1.6,12.0
"Sherman School District","=""1270011""",6,1.1,8.7,9,1.7,13.6,10,2.0,13.9,7,1.5,11.3,7,1.5,12.1
"Simsbury School District","=""1280011""",98,2.1,18.4,101,2.3,18.8,100,2.3,17.8,94,2.2,17.1,99,2.4,17.7
"Somers School District","=""1290011""",16,1.0,9.7,"*","*","*",18,1.2,11.3,24,1.7,14.7,24,1.7,13.0
"South Windsor School District","=""1320011""",74,1.7,13.7,81,1.8,14.6,90,2.1,16.5,89,2.1,16.8,99,2.3,17.9
"Southington School District","=""1310011""",88,1.3,11.4,90,1.3,11.5,96,1.4,12.1,98,1.5,12.5,101,1.5,12.3
"Sprague School District","=""1330011""","*","*","*","*","*","*","*","*","*","*","*","*",8,1.8,11.6
"Stafford School District","=""1340011""",26,1.6,14.2,26,1.7,14.3,25,1.6,13.5,25,1.6,13.2,24,1.6,11.6
"Stamford School District","=""1350011""",126,0.8,8.2,130,0.8,7.8,155,1.0,8.9,167,1.1,9.2,191,1.2,9.9
"Sterling School District","=""1360011""",13,2.1,14.3,14,2.3,15.7,13,2.2,16.7,11,1.9,14.1,11,2.0,15.9
"Stonington School District","=""1370011""",47,2.0,15.4,44,1.9,14.3,48,2.1,14.4,50,2.3,15.1,43,2.0,13.2
