"Primary Disability (K-12), Trend"
"All Districts, Other Disabilities"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",0,0,0,0,0,0,0,0,0,"*","*","*",0,0,0
"Ansonia School District","=""0020011""",31,1.2,9.9,35,1.4,10.4,52,2.1,12.5,62,2.5,13.8,70,2.8,14.1
"Ashford School District","=""0030011""","*","*","*","*","*","*",6,1.6,12.8,6,1.6,13.6,"*","*","*"
"Avon School District","=""0040011""",26,0.8,7.3,33,1.0,9.5,30,0.9,9.6,26,0.8,9.0,26,0.8,8.3
"Barkhamsted School District","=""0050011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","*","*","*","*","*","*",23,0.8,7.3,27,0.9,8.1,32,1.1,9.2
"Bethany School District","=""0080011""","*","*","*",6,1.4,11.5,"*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",44,1.5,13.8,43,1.5,13.6,46,1.6,14.3,42,1.5,13.2,49,1.7,14.5
"Bloomfield School District","=""0110011""",21,1.0,9.4,26,1.2,11.0,31,1.4,11.2,37,1.7,11.7,34,1.6,10.3
"Bolton School District","=""0120011""","*","*","*","*","*","*",7,0.9,7.6,6,0.8,6.9,"*","*","*"
"Bozrah School District","=""0130011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",20,0.6,4.5,22,0.7,5.3,22,0.7,5.3,27,0.9,6.5,31,1.1,7.5
"Bridgeport School District","=""0150011""",355,1.6,12.8,353,1.6,12.5,372,1.7,11.7,409,1.8,12.1,397,1.7,11.0
"Bristol School District","=""0170011""",99,1.2,8.0,103,1.2,8.0,127,1.5,9.3,124,1.5,9.0,132,1.6,9.3
"Brookfield School District","=""0180011""","*","*","*","*","*","*","*","*","*",19,0.7,5.7,"*","*","*"
"Brooklyn School District","=""0190011""",13,1.1,9.2,12,1.0,8.5,8,0.7,6.3,9,0.8,7.0,"*","*","*"
"Canaan School District","=""0210011""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Canterbury School District","=""0220011""",7,1.0,10.4,10,1.5,14.9,8,1.2,11.3,"*","*","*","*","*","*"
"Canton School District","=""0230011""",11,0.6,7.1,"*","*","*",13,0.8,7.5,16,1.0,8.8,18,1.1,10.0
"Chaplin School District","=""0240011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Cheshire School District","=""0250011""",32,0.7,6.9,31,0.7,6.6,32,0.7,6.8,36,0.8,7.4,33,0.8,6.8
"Chester School District","=""0260011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","*","*","*",12,0.6,5.9,14,0.7,6.9,14,0.8,6.9,16,0.9,7.6
"Colchester School District","=""0280011""",11,0.4,3.2,12,0.4,3.3,12,0.4,3.3,9,0.3,2.5,11,0.4,3.0
"Colebrook School District","=""0290011""","*","*","*",0,0,0,"*","*","*","*","*","*",0,0,0
"Columbia School District","=""0300011""",7,1.0,10.1,8,1.1,11.6,6,0.9,8.0,9,1.3,9.9,"*","*","*"
"Connecticut Technical High School System","=""9000016""","*","*","*","*","*","*",10,0.1,1.0,"*","*","*","*","*","*"
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
"Coventry School District","=""0320011""",22,1.2,10.4,23,1.3,10.8,"*","*","*",20,1.2,9.6,18,1.1,8.4
"Cromwell School District","=""0330011""",25,1.2,12.6,22,1.1,10.7,16,0.8,7.5,19,0.9,8.6,16,0.8,6.9
"Danbury School District","=""0340011""",108,1.0,9.6,126,1.2,10.5,110,1.0,8.9,116,1.1,8.9,113,1.0,8.6
"Darien School District","=""0350011""",53,1.1,9.1,43,0.9,8.2,48,1.0,8.7,46,1.0,7.8,40,0.8,6.5
"Deep River School District","=""0360011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*",0,0,0,0,0,0,0,0,0,"*","*","*"
"Derby School District","=""0370011""",9,0.6,4.8,14,0.9,6.8,23,1.5,10.8,21,1.4,10.1,27,1.8,12.4
"East Granby School District","=""0400011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","*","*","*",12,1.0,6.9,9,0.8,5.3,"*","*","*","*","*","*"
"East Hampton School District","=""0420011""","*","*","*",6,0.3,3.9,"*","*","*","*","*","*",9,0.5,4.8
"East Hartford School District","=""0430011""",94,1.2,8.6,120,1.5,10.7,105,1.3,9.5,104,1.3,9.0,106,1.4,8.8
"East Haven School District","=""0440011""",46,1.3,10.4,45,1.3,10.3,36,1.1,8.4,39,1.2,8.9,44,1.4,9.9
"East Lyme School District","=""0450011""",17,0.6,5.2,16,0.6,4.8,17,0.7,5.0,10,0.4,3.1,15,0.6,4.3
"East Windsor School District","=""0470011""",14,1.1,6.9,12,0.9,6.1,14,1.1,6.4,12,1.0,6.3,15,1.3,8.0
"Eastford School District","=""0390011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","*","*","*",14,1.5,16.5,12,1.3,13.5,9,1.0,10.6,"*","*","*"
"Ellington School District","=""0480011""",34,1.2,11.8,37,1.4,12.5,29,1.1,10.0,30,1.1,10.1,29,1.1,9.2
"Enfield School District","=""0490011""",55,1.0,7.4,61,1.1,8.1,61,1.1,8.0,61,1.1,7.8,62,1.1,7.7
"Essex School District","=""0500011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""",41,0.4,3.7,53,0.5,4.9,44,0.4,4.0,44,0.4,4.1,51,0.5,4.6
"Farmington School District","=""0520011""",26,0.6,5.9,24,0.6,5.5,23,0.6,4.9,23,0.6,4.8,25,0.6,5.1
"Franklin School District","=""0530011""","*","*","*",0,0,0,"*","*","*","*","*","*",0,0,0
"Glastonbury School District","=""0540011""",42,0.6,6.9,39,0.6,6.4,41,0.7,6.6,35,0.6,5.5,48,0.8,7.5
"Granby School District","=""0560011""","*","*","*","*","*","*","*","*","*",7,0.4,3.3,7,0.4,3.2
"Greenwich School District","=""0570011""",37,0.4,4.3,28,0.3,3.3,29,0.3,3.3,24,0.3,2.7,27,0.3,2.9
"Griswold School District","=""0580011""","*","*","*",14,0.8,5.5,15,0.9,6.1,11,0.6,4.5,16,1.0,6.8
"Groton School District","=""0590011""",71,1.4,10.1,73,1.5,10.0,76,1.6,10.5,67,1.4,9.1,64,1.4,8.7
"Guilford School District","=""0600011""",17,0.5,4.6,20,0.6,5.4,23,0.7,5.9,25,0.7,6.3,37,1.1,8.8
"Hamden School District","=""0620011""",61,0.9,7.6,62,0.9,7.1,49,0.8,5.2,54,0.8,5.3,56,0.9,5.2
"Hampton School District","=""0630011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",252,1.2,7.4,256,1.3,7.5,288,1.4,8.1,292,1.4,7.8,277,1.4,7.0
"Hartland School District","=""0650011""",0,0,0,"*","*","*","*","*","*","*","*","*",0,0,0
"Hebron School District","=""0670011""",13,1.4,12.3,"*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Killingly School District","=""0690011""",36,1.5,9.8,29,1.2,7.7,30,1.3,7.5,30,1.3,7.7,28,1.2,7.2
"Lebanon School District","=""0710011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""",42,1.7,12.6,46,1.9,13.4,41,1.7,11.6,40,1.7,11.1,39,1.7,10.0
"Lisbon School District","=""0730011""","*","*","*",11,1.8,12.9,9,1.5,12.9,6,1.1,9.4,6,1.1,8.6
"Litchfield School District","=""0740011""",7,0.7,5.8,6,0.6,5.5,"*","*","*",12,1.3,10.6,14,1.5,10.7
"Madison School District","=""0760011""",19,0.6,5.4,14,0.4,3.9,17,0.5,4.7,14,0.5,4.0,16,0.6,4.4
"Manchester School District","=""0770011""",83,1.2,8.8,94,1.3,10.5,101,1.4,11.3,91,1.3,10.4,108,1.5,11.5
"Mansfield School District","=""0780011""",14,1.1,9.9,9,0.8,6.4,8,0.7,5.6,7,0.6,5.1,"*","*","*"
"Marlborough School District","=""0790011""","*","*","*","*","*","*","*","*","*","*","*","*",6,1.1,11.5
"Meriden School District","=""0800011""",132,1.5,10.2,141,1.6,10.0,132,1.5,8.9,129,1.5,8.5,135,1.5,8.6
"Middletown School District","=""0830011""",45,0.9,7.6,38,0.7,6.3,42,0.8,6.6,51,1.0,7.9,40,0.8,6.3
"Milford School District","=""0840011""",70,1.0,8.4,70,1.1,8.7,68,1.1,8.9,65,1.1,8.7,56,0.9,7.5
"Monroe School District","=""0850011""",14,0.4,3.8,16,0.5,4.5,22,0.7,6.3,11,0.3,3.1,7,0.2,2.0
"Montville School District","=""0860011""",24,1.0,8.4,"*","*","*","*","*","*",33,1.4,10.0,"*","*","*"
"Naugatuck School District","=""0880011""",39,0.9,6.7,36,0.8,6.0,35,0.8,5.5,37,0.8,5.5,30,0.7,4.5
"New Britain School District","=""0890011""",163,1.5,10.1,191,1.8,11.7,177,1.6,10.5,189,1.7,10.8,216,1.9,11.4
"New Canaan School District","=""0900011""",25,0.6,6.5,22,0.5,6.1,28,0.7,7.3,28,0.7,7.0,25,0.6,5.7
"New Fairfield School District","=""0910011""",36,1.3,13.1,29,1.1,11.3,31,1.2,12.8,27,1.1,11.7,21,0.9,9.5
"New Hartford School District","=""0920011""","*","*","*",6,1.1,11.3,6,1.2,11.3,"*","*","*","*","*","*"
"New Haven School District","=""0930011""",141,0.8,6.0,140,0.7,5.8,154,0.8,5.8,153,0.8,5.5,167,0.8,5.7
"New London School District","=""0950011""",36,1.0,5.8,34,1.0,5.3,29,0.8,4.4,37,1.1,5.6,41,1.1,6.3
"New Milford School District","=""0960011""",59,1.3,10.0,54,1.2,9.3,57,1.3,10.1,60,1.5,10.8,59,1.4,10.6
"Newington School District","=""0940011""",56,1.3,10.4,46,1.1,8.6,38,0.9,7.2,40,1.0,7.8,40,1.0,7.7
"Newtown School District","=""0970011""",28,0.5,7.1,31,0.6,7.6,35,0.7,8.0,26,0.6,5.5,27,0.6,5.5
"Norfolk School District","=""0980011""","*","*","*",0,0,0,"*","*","*",0,0,0,0,0,0
"North Branford School District","=""0990011""",15,0.7,5.4,12,0.6,4.2,16,0.8,5.5,14,0.7,5.0,12,0.6,4.7
"North Canaan School District","=""1000011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
