"District","District Code","School","School Code","Gender","Count","%"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Female","N/A","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Male","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",74,11.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",109,15.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",48,7.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",98,15.1
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Female",36,8.1
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Male",83,17.7
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Female","*","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Male","*","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Female","*","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Male","*","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Female","N/A","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Male","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Female","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Male","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Female","N/A","N/A"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Male","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Female","N/A","N/A"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Male",8,4.4
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Female","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Male","*","*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Female","*","*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Male","*","*"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Female",12,4.5
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Male",45,16.4
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Female","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Male","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Female","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Male","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Female","N/A","N/A"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Male","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Female","N/A","N/A"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Male",8,3.1
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Female","N/A","N/A"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Male","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Female","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Male","*","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Female","N/A","N/A"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Male",8,4.2
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Female","N/A","N/A"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Male",6,5.8
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Female",64,12.9
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Male",147,32.2
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Female","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Male",6,5.1
"East Haven School District","=""0440011""","Hays School","=""0441911""","Female","N/A","N/A"
"East Haven School District","=""0440011""","Hays School","=""0441911""","Male","N/A","N/A"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Female",50,23.5
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Male",93,34.4
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Female","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Male","*","*"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Female","N/A","N/A"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Male","N/A","N/A"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Female","N/A","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Male","N/A","N/A"
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""","Female","N/A","N/A"
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""","Male","*","*"
"East Lyme School District","=""0450011""","Comm Based PreK","=""0458741""","Female","N/A","*"
"East Lyme School District","=""0450011""","Comm Based PreK","=""0458741""","Male","N/A","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Female",21,3.4
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Male",36,6.0
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Female","*","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Male","*","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Female","N/A","N/A"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Male","N/A","N/A"
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","Female","N/A","N/A"
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","Male","N/A","N/A"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Female","N/A","N/A"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Male","N/A","N/A"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Female","N/A","N/A"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Male","N/A","N/A"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Female","N/A","N/A"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Male","N/A","N/A"
