"District","District Code","School","School Code","Race/Ethnicity","Count","%"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Black or African American","N/A","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Hispanic/Latino of any race","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Two or More Races","N/A","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","White","N/A","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","American Indian or Alaska Native","N/A","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Asian","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Black or African American",27,30.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Hispanic/Latino of any race",51,24.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Two or More Races","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","White",97,9.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","American Indian or Alaska Native","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Asian","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Black or African American",24,27.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Hispanic/Latino of any race",32,20.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Two or More Races","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","White",85,8.6
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","American Indian or Alaska Native","N/A","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Asian","N/A","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Black or African American",19,23.8
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Hispanic/Latino of any race",45,25.0
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Native Hawaiian or Other Pacific Islander","N/A","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Two or More Races",7,"*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","White",48,7.8
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","American Indian or Alaska Native","N/A","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Asian","N/A","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Black or African American","*","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Hispanic/Latino of any race","*","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Two or More Races","*","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","White","*","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","American Indian or Alaska Native","N/A","N/A"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Asian","N/A","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Black or African American","*","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Hispanic/Latino of any race","*","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Two or More Races","N/A","*"
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","White","*","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Asian","N/A","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Hispanic/Latino of any race","N/A","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","White","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Asian","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Black or African American","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Hispanic/Latino of any race","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Native Hawaiian or Other Pacific Islander","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Two or More Races","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","White",8,3.7
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Asian","N/A","N/A"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Black or African American","N/A","N/A"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Hispanic/Latino of any race","N/A","N/A"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Two or More Races","N/A","N/A"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","White","*","*"
