"District","reportingsdistrictcode","School","School Code","Count","%"
"Bridgeport School District",".","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",119,24.8
"Bridgeport School District",".","Barnum School","=""0150111""",69,10.6
"Bridgeport School District",".","Bassick High School","=""0156111""",384,38.0
"Bridgeport School District",".","Beardsley School","=""0150211""",38,10.1
"Bridgeport School District",".","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",110,23.2
"Bridgeport School District",".","Black Rock School","=""0150311""",32,6.7
"Bridgeport School District",".","Blackham School","=""0154011""",96,8.2
"Bridgeport School District",".","Bridgeport Learning Center","=""0159011""",9,12.2
"Bridgeport School District",".","Bridgeport Military Academy","=""0151611""",123,45.9
"Bridgeport School District",".","Bryant School","=""0150411""",26,6.5
"Bridgeport School District",".","Career and Craftsmanship","=""0152711""","N/A","N/A"
"Bridgeport School District",".","Central High School","=""0156211""",436,27.8
"Bridgeport School District",".","Cesar Batalla School","=""0151411""",144,11.7
"Bridgeport School District",".","Classical Studies Academy","=""0152111""",31,8.1
"Bridgeport School District",".","Columbus School","=""0150511""",74,8.0
"Bridgeport School District",".","Cross School","=""0153911""",111,27.3
"Bridgeport School District",".","Curiale School","=""0154211""",118,16.7
"Bridgeport School District",".","Dunbar School","=""0154111""",67,16.1
"Bridgeport School District",".","Edison School","=""0150711""","*","*"
"Bridgeport School District",".","Geraldine Johnson School","=""0153211""",61,7.6
"Bridgeport School District",".","Hall School","=""0151111""","*","*"
"Bridgeport School District",".","Hallen School","=""0151211""",19,5.8
"Bridgeport School District",".","Harding High School","=""0156311""",336,31.2
"Bridgeport School District",".","High Horizons Magnet School","=""0154511""",32,7.7
"Bridgeport School District",".","Hooker School","=""0151311""",59,17.1
"Bridgeport School District",".","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",143,29.5
"Bridgeport School District",".","Interdistrict Discovery Magnet School","=""0153711""",7,1.4
"Bridgeport School District",".","Jettie S. Tisdale School","=""0152211""",158,23.8
"Bridgeport School District",".","Luis Munoz Marin School","=""0151011""",118,13.0
"Bridgeport School District",".","Madison School","=""0152011""",35,6.8
"Bridgeport School District",".","Multicultural Magnet School","=""0154611""",9,2.0
"Bridgeport School District",".","Opportunities for Self-Discovery Community Partnership","=""0152811""","N/A","*"
