"Chronic Absenteeism, Trend"
"All Districts, All Schools, All Students"

"",,,,"% Chronically Absent",,,,
"District","District Code","School","School Code","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",8.1,3.4,6.1,10.6,10.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",2.6,2.6,3.5,5.3,5.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11.8,19.2,15.3,21.6,15.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*",14.9,13.8,17.0,14.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""",12.9,12.4,"*",14.5,15.5
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N/A","N/A","N/A",80.6,75.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",10.3,11.0,8.2,9.4,9.0
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",17.6,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",39.0,39.9,41.2,38.3,34.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",10.8,11.6,13.5,13.4,10.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",29.1,31.4,33.8,32.9,23.5
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",37.7,40.4,45.2,44.4,41.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",69.6,72.3,71.3,72.0,74.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",25.5,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",7.5,8.3,11.4,8.9,8.4
"Ashford School District","=""0030011""","Ashford School","=""0030111""",9.1,"*","*",6.9,5.2
"Avon School District","=""0040011""","Avon High School","=""0046111""",2.9,4.2,3.7,4.7,5.2
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",5.9,4.9,5.1,"*",3.3
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",5.4,5.8,5.0,0.0,3.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",3.6,"*",5.9,"*",6.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",5.1,6.2,4.9,4.5,3.1
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",3.2,4.0,3.5,2.0,"*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","N/A","N/A","N/A","N/A","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",7.8,7.0,9.4,13.3,6.2
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",7.8,8.2,3.5,3.0,2.7
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",2.9,3.7,2.6,2.0,3.4
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",3.1,2.3,1.4,1.7,"*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",2.9,3.4,3.6,2.6,"*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",4.9,5.0,5.2
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",6.1,5.3,3.8,5.5,4.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",7.7,8.6,9.9,3.9,9.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",7.4,8.4,4.4,6.3,3.8
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",2.3,"*","*",3.2,"*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",3.7,5.4,14.8,"*",14.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10.1,8.3,8.0,10.2,9.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",3.1,4.6,"*",5.7,4.4
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",9.1,6.2,7.4,7.0,4.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N/A",14.0,10.7,10.6,14.4
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",7.5,"N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","N/A",7.2,4.3,7.0,9.6
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N/A","*","*",68.2,"*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",4.0,3.0,2.7,4.8,5.0
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",7.1,"N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",6.2,10.2,22.5,15.7,11.7
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",2.4,3.9,5.8,5.9,3.6
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",3.0,3.1,4.5,5.3,"*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","N/A","N/A","N/A",30.4,20.2
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*",8.4,7.4,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",10.1,10.9,14.4,13.7,10.7
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N/A","N/A","N/A",56.3,74.0
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","N/A","N/A","N/A","N/A","*"
