"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","School","School Code","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",67.1,88.0,61.0,87.2,62.1,85.2,58.0,78.2,59.4,78.5
"Avon School District","=""0040011""","Avon High School","=""0046111""",81.8,96.9,84.3,95.2,86.4,95.0,86.8,94.2,88.2,95.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",75.7,94.4,83.5,92.3,81.7,93.2,82.5,95.8,88.1,92.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",78.3,89.4,81.1,90.7,77.9,92.8,70.6,91.3,77.7,85.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",66.0,79.4,76.3,84.9,66.2,74.5,68.2,84.1,73.2,81.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",N/A,N/A,N/A,N/A,N/A,N/A,56.3,*,73.1,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",86.4,93.0,88.2,93.3,87.9,93.1,88.8,94.4,84.4,92.6
"Branford School District","=""0140011""","Branford High School","=""0146111""",79.4,95.2,78.0,90.9,78.3,88.0,76.2,89.7,73.0,92.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",52.8,68.9,45.1,71.3,44.9,77.5,50.9,67.6,41.7,71.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",64.5,84.7,66.0,81.8,63.7,84.0,64.6,82.0,61.8,83.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",49.8,77.7,51.9,74.8,46.8,77.1,44.4,70.8,46.1,78.3
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",*,*,N/A,N/A,N/A,N/A,*,*,N/A,N/A
