"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","School","School Code","Gender","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",70.0,92.1,72.5,94.0,64.4,87.5,67.3,77.9,65.5,81.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",63.4,82.2,50.0,77.8,59.8,82.7,45.2,78.8,54.7,75.6
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",86.6,98.2,83.0,95.5,88.5,95.9,85.7,96.1,92.7,97.1
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",77.6,95.6,86.0,94.9,84.4,94.1,87.8,92.6,82.8,92.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",82.7,94.5,84.9,97.0,88.1,98.4,87.5,99.2,91.1,95.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",69.6,94.3,82.2,87.7,73.4,85.0,76.9,91.4,85.2,88.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",82.4,92.2,82.9,93.5,82.4,92.2,82.1,91.3,80.4,86.7
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",74.4,86.5,78.9,87.2,72.6,93.5,59.5,91.3,75.2,84.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",78.3,81.5,79.2,86.0,69.3,80.8,77.0,93.6,83.6,84.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",55.1,76.7,73.1,83.7,63.3,68.0,60.3,73.2,62.9,76.9
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Female",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",90.3,92.9,97.7,92.9,85.7,96.7,93.2,97.6,92.2,95.7
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",82.9,93.1,72.0,*,90.3,89.3,83.3,90.0,75.6,88.2
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",81.7,98.4,80.9,88.7,84.9,90.7,80.8,92.4,80.1,92.3
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",76.8,91.5,75.2,93.2,71.2,84.5,70.0,85.7,65.2,92.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",56.4,77.2,44.9,64.6,42.2,71.4,56.8,68.3,40.0,62.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",48.9,58.7,45.3,77.4,48.0,83.3,44.6,66.7,43.3,78.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",70.3,85.0,71.3,85.6,65.8,85.0,71.0,83.6,69.8,87.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",57.0,84.2,59.9,76.7,61.2,82.7,57.5,79.7,52.7,76.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",53.7,78.5,59.0,79.2,54.2,78.2,53.3,71.9,54.8,79.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",43.8,76.2,42.4,66.7,37.0,75.0,33.3,68.8,33.7,75.0
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Female",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Male",*,*,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","Male",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bridgeport School District","=""0150011""","The University School","=""0159111""","Female",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bridgeport School District","=""0150011""","The University School","=""0159111""","Male",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Male",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",64.9,85.7,71.0,93.9,70.2,91.5,69.4,86.0,70.2,90.9
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",68.7,85.1,60.9,78.2,55.5,88.4,62.3,87.2,56.8,83.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",76.0,86.5,75.0,82.9,71.0,92.2,76.5,91.2,75.3,93.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",67.3,90.3,68.2,83.5,60.9,92.6,57.2,79.5,57.3,85.4
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Female",*,*,*,*,*,*,*,*,*,*
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Male",*,*,*,*,*,*,*,*,*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",86.9,93.4,86.0,91.3,84.6,93.9,91.0,92.8,92.1,96.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",83.9,90.4,73.3,87.9,82.8,89.6,87.0,96.0,78.8,89.9
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",84.7,96.0,84.6,90.9,85.5,96.2,86.4,92.2,87.7,91.2
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",79.7,84.7,63.5,92.5,79.6,93.0,71.2,92.9,68.1,87.2
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",90.2,97.6,90.8,95.9,87.0,95.8,93.8,96.4,87.8,95.2
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",84.0,92.5,87.4,93.4,90.3,94.6,78.0,94.2,81.5,92.4
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Female",*,*,*,*,*,*,*,*,*,*
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Male",*,*,*,*,*,*,*,*,*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",71.8,92.2,74.7,89.3,75.4,100.0,73.8,95.8,82.8,87.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",79.7,89.1,65.2,86.0,60.7,91.9,78.5,86.3,70.0,95.9
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",83.8,95.2,81.3,93.0,82.7,91.8,82.4,90.3,87.5,94.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",73.3,83.8,79.0,83.0,72.4,76.3,69.0,83.8,67.0,86.3
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",83.7,95.1,77.8,88.9,71.6,89.6,82.6,89.5,76.8,96.2
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",64.5,82.5,50.8,90.9,63.4,75.6,59.0,88.9,64.4,84.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female",80.3,93.0,86.5,90.9,82.9,84.5,91.4,96.9,82.2,91.7
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male",70.8,78.4,70.0,89.8,73.1,93.9,68.3,83.7,73.7,95.2
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Female",*,*,*,*,*,*,*,*,*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Male",*,*,*,*,*,*,*,*,*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Female",71.5,91.8,70.6,91.9,76.5,89.1,76.4,91.7,73.5,86.4
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Male",65.2,89.4,68.5,86.0,63.2,84.2,65.9,85.6,62.7,88.4
"Darien School District","=""0350011""","Darien High School","=""0356111""","Female",88.7,94.1,87.4,97.1,87.4,97.1,91.0,97.2,91.4,99.3
"Darien School District","=""0350011""","Darien High School","=""0356111""","Male",78.0,94.5,75.8,95.0,85.6,97.6,89.4,98.5,87.1,94.4
"Derby School District","=""0370011""","Derby High School","=""0376111""","Female",60.0,81.5,70.2,87.9,70.7,93.1,77.8,76.2,60.4,78.1
"Derby School District","=""0370011""","Derby High School","=""0376111""","Male",46.3,*,48.8,100.0,55.1,81.5,62.2,91.3,47.8,63.6
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Female",91.7,95.5,85.0,97.1,76.7,87.0,71.9,100.0,83.3,95.0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Male",95.5,90.5,80.0,89.3,76.7,95.7,63.9,78.3,77.8,75.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Female",79.7,86.3,80.0,100.0,88.7,89.4,89.4,97.6,73.5,94.4
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Male",81.0,82.4,52.4,86.4,61.5,95.8,72.9,77.1,52.1,80.0
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Female",78.5,91.9,90.5,91.2,74.3,89.1,83.1,92.6,79.0,95.9
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Male",82.0,76.0,68.2,82.2,64.6,80.4,78.7,87.5,87.3,87.5
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Female",N/A,N/A,N/A,N/A,*,*,N/A,N/A,*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Male",*,*,*,*,*,*,*,*,N/A,N/A
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Female",80.0,*,*,*,100.0,100.0,95.8,100.0,93.5,93.1
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Male",*,*,*,*,*,*,*,*,*,*
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Female",74.4,86.8,71.0,75.8,73.4,81.2,69.3,82.3,71.1,77.1
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Male",51.9,84.5,54.8,82.6,63.5,81.4,59.1,73.1,56.1,65.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Female",25.8,*,16.7,*,*,*,35.3,*,*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Male",23.1,*,31.4,*,*,*,22.4,*,*,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Female",*,*,N/A,N/A,*,*,*,*,*,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Male",*,*,*,*,*,*,*,*,*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Female",69.7,92.9,76.3,88.3,76.3,90.5,78.4,85.5,73.1,96.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Male",55.0,86.7,63.1,85.7,66.7,85.4,60.0,84.2,58.8,74.6
"East Haven School District","=""0440011""","Pathways","=""0449011""","Female",*,*,*,*,N/A,N/A,*,*,*,*
"East Haven School District","=""0440011""","Pathways","=""0449011""","Male",*,*,*,*,*,*,*,*,*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Female",90.3,96.9,86.6,91.5,84.9,93.0,86.5,97.0,88.5,95.7
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Male",80.9,85.8,77.4,89.2,78.4,81.9,83.0,91.5,82.0,90.5
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Female",74.5,88.6,64.9,91.7,67.4,86.2,65.9,96.6,66.0,87.9
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Male",52.9,74.1,53.5,87.0,54.1,85.0,52.6,95.0,60.0,83.3
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Female",87.8,91.1,86.6,94.0,83.3,94.7,85.7,92.9,81.9,87.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Male",81.7,86.8,79.7,89.8,75.0,91.7,81.2,92.8,62.2,86.9
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Female",81.9,86.0,84.3,90.7,76.1,91.0,67.2,83.7,75.7,78.6
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Male",65.6,77.0,71.1,92.8,62.5,89.1,61.4,77.8,67.4,76.7
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Female",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Male",N/A,N/A,*,*,*,*,*,*,*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Female",84.8,88.9,76.3,86.7,78.7,89.2,73.7,91.1,80.0,83.8
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Male",72.3,82.7,70.7,83.9,60.4,87.7,66.1,79.2,62.3,83.1
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Female",89.0,96.9,83.1,96.1,88.7,93.6,82.6,95.4,87.2,94.2
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Male",81.1,92.7,79.9,95.9,80.8,88.1,85.9,94.3,78.3,91.9
