"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","School","School Code","Race/Ethnicity","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","American Indian or Alaska Native",*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian",*,*,*,*,*,*,*,*,N/A,N/A
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black or African American",71.1,74.1,55.6,85.0,64.3,*,63.9,78.3,57.7,*
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic or Latino",52.2,*,*,*,57.9,81.8,55.0,63.6,58.3,61.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander",N/A,N/A,N/A,N/A,*,*,*,*,N/A,N/A
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",67.4,92.2,61.0,95.7,61.9,89.2,55.3,82.7,61.4,90.7
"Avon School District","=""0040011""","Avon High School","=""0046111""","Asian",*,*,*,*,*,*,78.3,*,*,*
"Avon School District","=""0040011""","Avon High School","=""0046111""","Black or African American",*,*,*,*,*,*,*,*,*,*
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hispanic or Latino",*,*,*,*,*,*,*,*,*,*
"Avon School District","=""0040011""","Avon High School","=""0046111""","Native Hawaiian or Other Pacific Islander",N/A,N/A,N/A,N/A,*,*,N/A,N/A,*,*
"Avon School District","=""0040011""","Avon High School","=""0046111""","Two or More Races",N/A,N/A,*,*,*,*,*,*,*,*
"Avon School District","=""0040011""","Avon High School","=""0046111""","White",81.5,97.0,83.7,95.4,85.9,94.8,87.0,95.7,89.1,94.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","American Indian or Alaska Native",N/A,N/A,*,*,N/A,N/A,N/A,N/A,N/A,N/A
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Asian",*,*,*,*,*,*,*,*,*,*
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Black or African American",*,*,*,*,*,*,*,*,*,*
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Hispanic or Latino",*,*,*,*,*,*,*,*,*,*
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Two or More Races",N/A,N/A,*,*,*,*,*,*,*,*
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","White",75.9,94.0,83.5,92.5,81.9,92.7,83.4,96.8,87.8,94.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","American Indian or Alaska Native",*,*,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Asian",*,*,*,*,*,*,*,*,77.3,*
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Black or African American",*,*,*,*,*,*,*,*,*,*
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Hispanic or Latino",56.5,*,*,*,69.2,*,81.8,*,60.7,*
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Two or More Races",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","White",79.1,89.0,82.2,91.4,78.1,91.3,69.3,91.1,81.1,87.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","American Indian or Alaska Native",N/A,N/A,N/A,N/A,*,*,N/A,N/A,N/A,N/A
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Asian",*,*,*,*,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Black or African American",67.2,77.4,76.2,86.9,68.8,77.9,71.1,84.0,72.7,82.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Hispanic or Latino",*,*,*,*,*,*,*,*,*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Two or More Races",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","White",*,*,*,*,*,*,*,*,*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Black or African American",N/A,N/A,N/A,N/A,N/A,N/A,58.3,*,85.0,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Hispanic or Latino",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Two or More Races",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","White",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Black or African American",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Hispanic or Latino",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","White",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Asian",*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Black or African American",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Hispanic or Latino",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","White",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Asian",*,*,N/A,N/A,N/A,N/A,*,*,*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Black or African American",*,*,*,*,*,*,*,*,*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Hispanic or Latino",N/A,N/A,*,*,N/A,N/A,*,*,*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Two or More Races",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","White",85.7,*,89.1,93.0,*,*,88.3,94.1,86.0,93.2
"Branford School District","=""0140011""","Branford High School","=""0146111""","American Indian or Alaska Native",*,*,*,*,N/A,N/A,*,*,N/A,N/A
"Branford School District","=""0140011""","Branford High School","=""0146111""","Asian",*,*,*,*,*,*,*,*,81.8,*
"Branford School District","=""0140011""","Branford High School","=""0146111""","Black or African American",*,*,*,*,*,*,*,*,*,*
"Branford School District","=""0140011""","Branford High School","=""0146111""","Hispanic or Latino",*,*,*,*,*,*,*,*,71.4,*
"Branford School District","=""0140011""","Branford High School","=""0146111""","Two or More Races",N/A,N/A,*,*,*,*,*,*,*,*
"Branford School District","=""0140011""","Branford High School","=""0146111""","White",80.4,94.7,77.9,90.9,78.7,89.3,77.6,91.8,71.3,91.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","American Indian or Alaska Native",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Asian",*,*,*,*,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Black or African American",55.8,69.0,55.6,75.4,51.4,78.9,54.5,76.7,45.5,68.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Hispanic or Latino",44.1,73.3,31.5,57.1,34.3,75.0,43.4,52.8,34.0,74.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Two or More Races",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","White",*,*,*,*,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","American Indian or Alaska Native",N/A,N/A,74.1,88.4,72.1,84.1,67.9,*,*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Asian",81.8,*,73.9,*,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Black or African American",68.8,85.5,69.8,81.6,67.2,85.5,66.1,81.3,70.1,84.7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Hispanic or Latino",57.6,79.3,61.1,79.1,56.7,80.0,58.9,78.9,53.2,79.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Native Hawaiian or Other Pacific Islander",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Two or More Races",N/A,N/A,*,*,*,*,N/A,N/A,*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","White",59.7,91.9,54.3,*,60.0,83.3,72.7,87.5,47.1,87.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","American Indian or Alaska Native",N/A,N/A,*,*,N/A,N/A,N/A,N/A,*,*
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Asian",*,*,*,*,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Black or African American",58.3,76.2,62.9,75.8,48.4,74.6,53.0,71.0,58.2,75.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Hispanic or Latino",41.1,82.4,41.2,72.5,45.5,78.6,34.4,71.0,31.9,86.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","White",*,*,*,*,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Black or African American",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
