"Overall Expenditures, Trend"
"All Districts"

"",,"Year",,,,
"District","Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Instructional Staff and Services",3797374,5606717,5783041,6717091,6863137
,="Instructional Supplies and Equipment",572368,246664,287779,638398,646646
,="Instruction and Educational Media Services",1037685,146205,261499,167419,310629
,="Student Support Services",304577,198894,654782,162108,1086042
,="Administration and Support Services",1307992,1843391,2363489,2638821,3699477
,="Plant Operation and Maintenance",54251,27695,37713,83107,83095
,="Transportation",10016,34513,26792,44960,98398
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",30907,38346,39594,31346,17440
,="Total Expenditures",7115170,8142425,9454689,10483250,12804864
="Amistad Academy District",="Instructional Staff and Services",5124861,6664053,5821710,6610454,6249225
,="Instructional Supplies and Equipment",664047,343104,338218,339082,355875
,="Instruction and Educational Media Services",1487414,552144,467735,408911,466714
,="Student Support Services",1565054,1185400,1004385,822835,1218680
,="Administration and Support Services",1813450,2159797,2069216,3035797,2523973
,="Plant Operation and Maintenance",183148,424536,434951,451599,512598
,="Transportation",34872,105098,101092,114853,191428
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",489099,528689,515610,521168,590732
,="Total Expenditures",11361945,11962821,10752917,12304699,12109225
="Andover School District",="Instructional Staff and Services",2668054,2614956,2628879,2740679,2712516
,="Instructional Supplies and Equipment",107496,119862,83663,104999,122533
,="Instruction and Educational Media Services",74433,78502,78788,82287,84239
,="Student Support Services",155855,157650,156723,163260,157766
,="Administration and Support Services",584057,575755,609305,664002,615105
,="Plant Operation and Maintenance",454282,426314,439659,452540,489907
,="Transportation",199487,202872,253379,259261,192339
,="Students Tuitioned Out",98500,116908,228437,221859,67287
,="Other",0,0,0,0,0
,="Total Expenditures",4342164,4292819,4478833,4688887,4441692
="Ansonia School District",="Instructional Staff and Services",17155560,17318439,17067803,17277476,18603903
,="Instructional Supplies and Equipment",1031329,922445,930038,1681633,523762
,="Instruction and Educational Media Services",742401,482368,498703,557803,517593
,="Student Support Services",1596978,1466214,1269947,1137741,1523838
,="Administration and Support Services",3135683,3540175,3699976,3921772,3968787
,="Plant Operation and Maintenance",2807990,2660666,6856789,2815904,2915289
,="Transportation",1646977,1899704,1828625,1877652,2239547
,="Students Tuitioned Out",2654469,2781509,3204191,3656009,4120043
,="Other",753577,520247,556760,688317,601798
,="Total Expenditures",31524964,31591767,35912832,33614307,35014560
="Ashford School District",="Instructional Staff and Services",4523087,4521864,4401741,4502683,4435066
,="Instructional Supplies and Equipment",154631,289086,347458,305786,414340
,="Instruction and Educational Media Services",60156,76964,61423,63764,74245
,="Student Support Services",218756,228005,245823,259379,270144
,="Administration and Support Services",749377,803439,818106,877580,913197
,="Plant Operation and Maintenance",490706,576139,589430,744651,637922
,="Transportation",682905,625841,629916,440977,443685
,="Students Tuitioned Out",275469,189869,207689,225216,349950
,="Other",28354,39155,65097,34032,63305
,="Total Expenditures",7183441,7350362,7366683,7454068,7601854
="Avon School District",="Instructional Staff and Services",26598773,28312129,30476287,30147184,30874408
,="Instructional Supplies and Equipment",777325,1347112,895188,812467,1015549
,="Instruction and Educational Media Services",1221985,1004708,1090239,874568,1077534
,="Student Support Services",3390880,2974318,3624913,3608843,3666632
,="Administration and Support Services",4274196,4260952,4734968,5417351,6175923
,="Plant Operation and Maintenance",4530219,4738027,4345690,4708992,4535271
,="Transportation",2080192,2207861,2378017,2618100,2518388
,="Students Tuitioned Out",1891919,2260334,2111569,2348859,2681073
,="Other",983637,632470,101129,814054,1064743
,="Total Expenditures",45749126,47737911,49758000,51350418,53609521
="Barkhamsted School District",="Instructional Staff and Services",2513004,2474983,2557613,2530127,2609535
,="Instructional Supplies and Equipment",52197,53432,40472,72868,43321
,="Instruction and Educational Media Services",154229,142720,158624,197217,192124
,="Student Support Services",52131,53424,52808,53743,58613
,="Administration and Support Services",408337,417162,442772,462787,494930
,="Plant Operation and Maintenance",349664,428282,400895,425058,437061
,="Transportation",286405,281032,295329,270010,295868
,="Students Tuitioned Out",72913,70796,54088,128148,105726
,="Other",348,0,0,444,3387
,="Total Expenditures",3889228,3921831,4002601,4140402,4240565
="Berlin School District",="Instructional Staff and Services",22155615,22630456,22995835,23332208,23529251
,="Instructional Supplies and Equipment",1113711,1234527,1133391,1570577,981028
,="Instruction and Educational Media Services",1051149,966752,1273767,1263609,1754985
,="Student Support Services",3864780,3945559,4265593,5111618,4781649
,="Administration and Support Services",4415231,4480878,4841171,4587408,4710563
,="Plant Operation and Maintenance",5119088,6164589,5162991,5834822,5597824
,="Transportation",2067331,2195426,2198714,2328866,2436676
,="Students Tuitioned Out",1730737,1850964,1750418,1840108,2047913
,="Other",835852,880591,902448,990866,1143775
,="Total Expenditures",42353494,44349742,44524328,46860082,46983664
="Bethany School District",="Instructional Staff and Services",4022479,4183998,4222351,4157960,4186145
,="Instructional Supplies and Equipment",192584,133249,190697,316971,276873
,="Instruction and Educational Media Services",280283,85721,95823,90469,99900
,="Student Support Services",152068,175877,158112,176813,170134
,="Administration and Support Services",676492,800421,742263,784969,932341
,="Plant Operation and Maintenance",738102,816285,929967,950367,999508
,="Transportation",364148,323166,374604,340764,377227
,="Students Tuitioned Out",392395,288315,85985,41058,0
,="Other",0,0,0,0,0
,="Total Expenditures",6818551,6807032,6799802,6859371,7042128
="Bethel School District",="Instructional Staff and Services",24276902,24124957,25561882,25965355,25938730
,="Instructional Supplies and Equipment",595123,582603,691986,563467,754157
,="Instruction and Educational Media Services",2812383,3606688,2943917,3342847,3350534
,="Student Support Services",2841181,2838069,2949421,3279412,3449705
,="Administration and Support Services",3989553,3995638,4089152,4289083,4624333
,="Plant Operation and Maintenance",3637143,3649015,3639334,3824551,4004524
,="Transportation",2157785,2246891,2267646,2347409,2472202
,="Students Tuitioned Out",1687922,1473293,1326343,1368935,1660359
,="Other",524596,533670,589012,629612,647712
,="Total Expenditures",42522588,43050824,44058693,45610671,46902256
="Bloomfield School District",="Instructional Staff and Services",22290689,21527387,21783504,22949787,23751262
,="Instructional Supplies and Equipment",1157768,853258,850020,1560460,804486
,="Instruction and Educational Media Services",602428,1746375,1885343,1919984,1398784
,="Student Support Services",3209072,3002132,3000474,3081262,2986034
,="Administration and Support Services",6231879,6005823,6287655,6519565,6899306
,="Plant Operation and Maintenance",5197127,5097377,5380087,5077775,4868897
,="Transportation",1994144,2139395,2334557,2588202,2819981
,="Students Tuitioned Out",2126293,2232453,1850518,1958550,2755828
,="Other",537367,493769,495283,573188,662231
,="Total Expenditures",43346767,43097969,43867441,46228773,46946809
="Bolton School District",="Instructional Staff and Services",7380262,7442150,7574016,7587194,7461584
,="Instructional Supplies and Equipment",207494,219880,94249,409448,247952
,="Instruction and Educational Media Services",531443,523525,537589,467324,561255
,="Student Support Services",889937,874931,983209,971717,999296
,="Administration and Support Services",1394285,1576039,1542494,1701456,1916724
,="Plant Operation and Maintenance",1041909,1116411,1166820,1157061,1435957
,="Transportation",673712,673402,744702,701835,681494
,="Students Tuitioned Out",606032,671156,758507,852819,761523
,="Other",225757,203679,215110,235383,226062
,="Total Expenditures",12950831,13301173,13616696,14084237,14291847
="Booker T. Washington Academy District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,641184
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,45879
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,29482
,="Student Support Services",N/A,N/A,N/A,N/A,43249
,="Administration and Support Services",N/A,N/A,N/A,N/A,526782
