"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","School","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Amistad Academy",58.6,71.4,69.6,82.6,82.8
"Ansonia School District","Ansonia High School",70.5,76.5,76.1,80.0,88.9
"Avon School District","Avon High School",95.7,96.5,96.6,98.5,96.3
"Berlin School District","Berlin High School",93.8,95.4,96.2,95.3,94.3
"Bethel School District","Bethel High School",94.3,94.9,93.1,92.6,95.8
"Bloomfield School District","Bloomfield High School",74.3,83.3,91.2,90.2,87.1
"Bloomfield School District","Global Experience Magnet School","N/A","N/A","*","*",100.0
"Bloomfield School District","Learning Academy at Bloomfield","N/A","N/A","*","*",86.7
"Bloomfield School District","The Big Picture High School",92.3,81.3,"N/A","N/A","N/A"
"Bolton School District","Bolton High School",94.5,90.4,97.5,95.0,97.3
"Branford School District","Branford High School",94.9,95.2,92.9,92.8,91.9
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","N/A","N/A","N/A","N/A",93.5
"Bridgeport School District","Bassick High School",61.0,47.7,59.2,62.2,59.6
"Bridgeport School District","Central High School",73.8,78.4,77.6,80.6,76.8
"Bridgeport School District","Harding High School",45.1,66.1,60.9,69.8,54.1
"Bristol School District","Bristol Central High School",73.8,86.1,81.6,83.0,81.8
"Bristol School District","Bristol Eastern High School",80.7,86.2,81.5,84.3,86.7
"Brookfield School District","Brookfield High School",95.4,97.2,96.3,97.4,96.5
"Canton School District","Canton High School",94.9,97.5,95.1,94.8,96.9
"Capitol Region Education Council","Academy of Aerospace and Engineering","N/A","N/A",86.8,84.8,82.0
"Capitol Region Education Council","Academy of Science and Innovation","N/A","N/A","N/A","N/A",97.5
"Capitol Region Education Council","Great Path Academy at MCC",87.3,81.0,"N/A","N/A","N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",79.0,87.9,82.8,84.2,91.0
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","N/A","N/A","N/A",93.5,"N/A"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",90.3,93.4,94.5,95.8,96.3
"Capitol Region Education Council","Public Safety Academy","N/A","N/A","N/A",84.4,88.9
"Cheshire School District","Cheshire High School",95.9,98.5,97.5,98.4,99.2
"Clinton School District","The Morgan School",92.4,92.6,89.5,94.5,90.6
"Colchester School District","Bacon Academy",92.8,94.7,94.0,95.6,95.4
"Common Ground High School District","Common Ground High School",86.8,90.3,89.5,89.7,100.0
"Connecticut Technical High School System","A. I. Prince Technical High School",92.7,92.9,88.4,95.6,97.4
"Connecticut Technical High School System","Bullard-Havens Technical High School",94.3,94.7,96.4,91.9,95.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School",94.1,93.0,95.5,95.1,97.0
"Connecticut Technical High School System","Eli Whitney Technical High School",81.3,92.0,83.3,91.9,90.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",96.0,94.2,98.0,94.5,95.3
"Connecticut Technical High School System","Emmett O'Brien Technical High School",92.6,97.0,96.6,96.1,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School",97.3,97.1,99.4,96.6,99.4
"Connecticut Technical High School System","H. H. Ellis Technical High School",89.1,96.2,100.0,96.4,96.5
"Connecticut Technical High School System","Henry Abbott Technical High School",91.3,96.9,96.6,95.8,99.3
"Connecticut Technical High School System","Howell Cheney Technical High School",98.5,97.2,97.0,99.4,95.5
"Connecticut Technical High School System","Norwich Technical High School",98.2,96.7,98.7,97.4,98.8
"Connecticut Technical High School System","Oliver Wolcott Technical High School",92.7,97.5,98.8,96.6,98.1
"Connecticut Technical High School System","Platt Technical High School",95.5,97.2,99.0,98.1,100.0
"Connecticut Technical High School System","Vinal Technical High School",92.6,96.2,94.3,94.3,98.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School",94.8,98.3,97.9,98.4,97.7
"Connecticut Technical High School System","Windham Technical High School",95.2,97.1,98.5,98.4,97.1
"Coventry School District","Coventry High School",90.1,86.8,90.4,97.7,98.1
"Cromwell School District","Cromwell High School",95.2,94.5,93.6,93.1,97.6
"Danbury School District","Alternative Center For Excellence","N/A","N/A","*","N/A","N/A"
"Danbury School District","Danbury High School",79.6,80.3,"*",82.4,79.5
"Darien School District","Darien High School",96.0,97.1,97.8,98.2,97.3
"Derby School District","Derby High School",71.3,77.5,68.6,81.4,83.2
"East Granby School District","East Granby High School",96.1,96.7,97.1,93.8,100.0
