"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, English Learner Status"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","English Learner Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELL","N/A","N/A","N/A","N/A","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Non-ELL","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","Amistad Academy","ELL","N/A","*","N/A","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",71.4,"*",82.6,"*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-ELL",77.3,77.0,"*","*","*"
"Avon School District","Avon High School","ELL","*","*","N/A","*","*"
"Avon School District","Avon High School","Non-ELL","*","*","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","ELL","N/A","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",83.3,91.1,90.7,87.7,93.2
"Bloomfield School District","Global Experience Magnet School","ELL","N/A","N/A","N/A","*","N/A"
"Bloomfield School District","Global Experience Magnet School","Non-ELL","N/A","*","*",100.0,100.0
"Bloomfield School District","Learning Academy at Bloomfield","ELL","N/A","*","N/A","N/A","N/A"
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL","N/A","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-ELL","*","N/A","N/A","N/A","N/A"
"Bolton School District","Bolton High School","ELL","N/A","N/A","N/A","N/A","N/A"
"Bolton School District","Bolton High School","Non-ELL",90.4,"*",95.0,"*",94.0
"Branford School District","Branford High School","ELL","*","*","*","*","*"
"Branford School District","Branford High School","Non-ELL","*","*","*","*",94.9
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELL","N/A","N/A","N/A","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-ELL","N/A","N/A","N/A","*","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELL","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Non-ELL","N/A","N/A","N/A","N/A",81.8
"Bridgeport School District","Bassick High School","ELL",40.0,56.4,61.7,52.8,50.9
"Bridgeport School District","Bassick High School","Non-ELL",50.2,59.8,62.4,60.6,63.1
