"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","Free/Reduced Price Meal Eligibility","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch","*",71.4,61.1,83.3,81.8
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch",69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",55.2,65.1,65.4,71.1,84.1
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",75.0,77.8,83.3,90.9,93.5
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",85.2,89.0,89.4,91.1,95.0
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*",90.0
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*",77.8
"Avon School District","Avon High School","Not Eligible For Lunch",95.6,97.1,97.2,98.4,97.4
"Berlin School District","Berlin High School","Eligible For Free Lunch","*",90.5,80.0,86.2,80.8
"Berlin School District","Berlin High School","Eligible For Reduced Lunch","*",88.9,100.0,100.0,100.0
"Berlin School District","Berlin High School","Not Eligible For Lunch",95.5,96.1,97.8,96.4,96.0
"Bethel School District","Bethel High School","Eligible For Free Lunch",75.0,85.7,72.0,72.2,83.3
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",100.0,100.0,86.7,100.0,100.0
"Bethel School District","Bethel High School","Not Eligible For Lunch",95.1,95.5,96.4,95.8,98.1
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",66.0,70.4,84.0,93.1,81.5
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",66.7,91.3,90.0,94.4,80.8
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",78.9,93.2,98.2,83.7,96.2
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch","N/A","N/A",90.0,92.9,100.0
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","N/A","N/A","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch","N/A","N/A",100.0,100.0,100.0
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch","N/A","N/A","*","*",90.0
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","N/A","N/A","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch",85.7,75.0,"N/A","N/A","N/A"
